"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"San Bartolo Tutotepec","1026","BASICA","2","248","157","0","0","0","7","0","0","10","1","2","0","0","6"
"San Bartolo Tutotepec","1026","CONTIGUA 1","1","274","129","0","1","0","23","0","0","7","0","3","3","0","4"
"San Bartolo Tutotepec","1026","CONTIGUA 2","4","268","123","0","3","0","11","3","0","11","4","2","0","0","11"
"San Bartolo Tutotepec","1027","BASICA","6","266","212","0","2","0","14","1","0","19","2","1","0","0","12"
"San Bartolo Tutotepec","1027","CONTIGUA 1","11","277","198","0","0","0","17","3","0","10","0","7","1","0","13"
"San Bartolo Tutotepec","1027","CONTIGUA 2","2","270","229","0","6","0","20","0","0","11","1","4","0","0","19"
"San Bartolo Tutotepec","1027","CONTIGUA 3","2","283","199","0","2","0","15","0","0","10","2","3","1","0","16"
"San Bartolo Tutotepec","1028","BASICA","1","131","121","0","0","0","4","0","0","3","0","0","0","0","3"
"San Bartolo Tutotepec","1029","BASICA","0","93","115","0","2","0","0","0","0","2","1","0","0","0","3"
"San Bartolo Tutotepec","1030","BASICA","0","169","87","0","0","0","88","0","0","1","0","2","0","0","10"
"San Bartolo Tutotepec","1030","CONTIGUA 1","3","162","78","0","2","0","103","0","0","0","2","5","0","0","10"
"San Bartolo Tutotepec","1031","BASICA","6","127","186","0","1","0","7","0","0","2","2","5","0","0","14"
"San Bartolo Tutotepec","1031","EXTRAORDINARIA 1","3","136","168","0","4","0","3","1","0","5","4","4","0","0","13"
"San Bartolo Tutotepec","1032","BASICA","2","223","281","0","0","0","2","1","0","5","3","3","0","0","27"
"San Bartolo Tutotepec","1033","BASICA","0","49","48","0","2","0","1","0","0","3","0","0","0","0","6"
"San Bartolo Tutotepec","1034","BASICA","3","61","80","0","3","0","3","1","0","3","0","3","0","0","16"
"San Bartolo Tutotepec","1034","EXTRAORDINARIA 1","1","137","211","0","2","0","3","4","0","0","2","3","0","0","27"
"San Bartolo Tutotepec","1035","BASICA","2","82","135","0","3","0","3","1","0","4","4","0","0","0","15"
"San Bartolo Tutotepec","1036","BASICA","3","91","238","0","3","0","3","0","0","3","0","12","0","0","22"
"San Bartolo Tutotepec","1036","CONTIGUA 1","2","116","206","0","4","0","9","1","0","10","1","9","0","0","29"
"San Bartolo Tutotepec","1037","BASICA","2","255","252","0","0","0","4","2","0","8","3","1","0","0","9"
"San Bartolo Tutotepec","1038","BASICA","4","72","139","0","2","0","4","0","0","1","1","3","0","0","12"
"San Bartolo Tutotepec","1039","BASICA","6","191","187","0","2","0","16","3","0","12","3","3","0","0","27"
"San Bartolo Tutotepec","1039","CONTIGUA 1","3","218","189","0","3","0","13","13","0","4","4","3","0","0","25"
"San Bartolo Tutotepec","1040","BASICA","0","55","107","0","2","0","8","2","0","3","0","0","0","0","13"
"San Bartolo Tutotepec","1041","BASICA","0","46","27","0","1","0","2","2","0","3","2","0","0","1","0"
"San Bartolo Tutotepec","1041","EXTRAORDINARIA 1","0","54","34","0","0","0","1","0","0","0","0","0","0","0","4"
"San Bartolo Tutotepec","1042","BASICA","5","76","83","0","5","0","3","4","0","4","0","1","0","0","9"
