"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","LISSET MARCELINO TOVAR","NO REGISTRADO","NULO"
"Progreso De Obregón","982","BASICA","0","142","39","5","0","4","25","8","15","145","0","4"
"Progreso De Obregón","982","CONTIGUA 1","2","154","24","1","0","5","20","14","12","127","0","9"
"Progreso De Obregón","982","CONTIGUA 2","3","137","20","3","0","2","31","12","18","138","0","6"
"Progreso De Obregón","983","BASICA","0","181","34","3","0","7","29","13","17","159","0","12"
"Progreso De Obregón","983","CONTIGUA 1","5","189","20","4","0","10","21","15","15","178","0","6"
"Progreso De Obregón","983","CONTIGUA 2","7","153","25","2","0","10","21","11","14","177","0","10"
"Progreso De Obregón","984","BASICA","0","168","35","0","0","6","31","3","16","153","0","13"
"Progreso De Obregón","984","CONTIGUA 1","5","204","27","2","0","2","35","3","15","109","0","6"
"Progreso De Obregón","985","BASICA","6","193","21","1","0","4","27","3","14","141","0","8"
"Progreso De Obregón","985","CONTIGUA 1","9","175","20","2","0","5","39","9","9","128","0","5"
"Progreso De Obregón","986","BASICA","6","159","10","10","0","7","23","2","22","115","1","6"
"Progreso De Obregón","986","CONTIGUA 1","8","173","17","8","0","6","30","8","9","104","0","7"
"Progreso De Obregón","986","CONTIGUA 2","4","175","17","5","0","1","28","8","22","107","1","5"
"Progreso De Obregón","987","BASICA","8","179","22","4","0","5","22","5","17","165","0","3"
"Progreso De Obregón","987","CONTIGUA 1","3","167","30","3","0","1","32","0","15","180","0","8"
"Progreso De Obregón","987","CONTIGUA 2","7","183","21","0","0","14","33","10","17","120","0","15"
"Progreso De Obregón","988","BASICA","4","169","14","5","0","7","25","14","23","186","0","6"
"Progreso De Obregón","988","CONTIGUA 1","3","162","20","3","0","8","28","7","19","166","0","8"
"Progreso De Obregón","988","CONTIGUA 2","6","187","23","3","0","14","16","15","10","192","0","2"
"Progreso De Obregón","989","BASICA","5","67","13","1","0","1","9","1","2","38","0","3"
"Progreso De Obregón","990","BASICA","8","182","22","5","0","8","18","9","19","179","0","6"
"Progreso De Obregón","991","BASICA","5","119","27","4","0","5","20","10","11","120","0","10"
"Progreso De Obregón","991","CONTIGUA 1","3","103","19","0","0","4","15","17","9","124","0","6"
"Progreso De Obregón","991","CONTIGUA 2","0","113","21","4","0","3","8","10","19","144","0","13"
"Progreso De Obregón","991","CONTIGUA 3","2","124","20","2","0","8","25","16","14","122","0","11"
"Progreso De Obregón","992","BASICA","5","138","20","3","0","7","22","10","21","226","0","21"
"Progreso De Obregón","992","CONTIGUA 1","3","122","24","1","0","7","21","7","14","257","0","11"
"Progreso De Obregón","993","BASICA","11","208","31","0","0","3","41","9","22","134","0","5"
