"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Alfajayucan","92","BASICA","24","95","85","2","144","0","10","13","5","0","6"
"Alfajayucan","92","CONTIGUA 1","28","94","95","0","133","0","11","15","6","0","10"
"Alfajayucan","92","CONTIGUA 2","23","81","101","0","136","0","6","20","2","0","2"
"Alfajayucan","93","BASICA","16","102","141","1","154","0","12","25","9","0","7"
"Alfajayucan","94","BASICA","3","55","31","1","107","0","5","5","4","0","14"
"Alfajayucan","95","BASICA","16","46","54","2","125","0","1","24","2","0","9"
"Alfajayucan","95","CONTIGUA 1","16","35","45","2","141","0","9","18","0","0","22"
"Alfajayucan","96","BASICA","27","63","70","0","105","0","4","17","1","0","17"
"Alfajayucan","97","BASICA","26","18","51","1","81","0","7","9","2","0","16"
"Alfajayucan","97","CONTIGUA 1","15","43","56","3","70","0","6","10","3","0","10"
"Alfajayucan","98","BASICA","6","66","33","1","112","0","5","9","0","0","7"
"Alfajayucan","99","BASICA","14","28","59","1","172","0","6","11","1","0","11"
"Alfajayucan","99","CONTIGUA 1","21","46","39","1","175",NA,"3","15","1","0","8"
"Alfajayucan","100","BASICA","4","26","51","0","124","0","1","3","1","0","14"
"Alfajayucan","100","CONTIGUA 1","6","26","52","2","107","0","10","8","1","0","12"
"Alfajayucan","101","BASICA","4","38","70","1","104","0","25","6","2","0","10"
"Alfajayucan","101","CONTIGUA 1","8","46","84","0","99","0","20","6","3","0","3"
"Alfajayucan","102","BASICA","7","49","6","0","98","0","5","3","3","0","4"
"Alfajayucan","103","BASICA","4","50","58","1","151","0","5","6","1","0","4"
"Alfajayucan","103","CONTIGUA 1","11","42","69","1","130","0","5","7","4","0","8"
"Alfajayucan","103","EXTRAORDINARIA 1","21","49","69","0","83","0","3","18","7","0","8"
"Alfajayucan","104","BASICA","7","24","54","3","99","0","5","12","7","0","12"
"Alfajayucan","104","CONTIGUA 1","19","39","37","1","92","0","2","12","4","0","11"
"Alfajayucan","105","BASICA","3","27","218","0","68","0","3","5","2","0","4"
"Alfajayucan","106","BASICA","6","60","102","0","86","0","10","4","0","0","11"
"Alfajayucan","106","CONTIGUA 1","8","59","84","0","80","0","27","4","8","0","5"
"Alfajayucan","107","BASICA","15","50","46","2","210","0","5","27","5","0","9"
"Alfajayucan","108","BASICA","7","32","22","1","175","0","5","1","1","0","10"
"Alfajayucan","109","BASICA","7","33","32","2","142","0","8","10","6","0","4"
"Alfajayucan","110","BASICA","2","13","12","3","147","0","2","14","4","0","7"
"Alfajayucan","111","BASICA","0","60","74","2","117","0","4","23","2","0","5"
"Alfajayucan","111","CONTIGUA 1","4","57","105","0","111","0","4","11","4","0","8"
"Alfajayucan","112","BASICA","6","16","9","0","73","0","2","3","0","0","3"
"Alfajayucan","113","BASICA","6","53","43","1","58","0","2","2","1","0","7"
