"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","JAVIER TELLEZ MENDOZA","NO REGISTRADO","NULO"
"San Salvador","1067","BASICA","3","76","176","0","1","14","62","35","2","3","1","0","0","111","2","14"
"San Salvador","1067","CONTIGUA 1","8","95","184","0","2","7","61","24","6","0","0","0","0","122","0","12"
"San Salvador","1068","BASICA","7","53","37","0","3","3","21","6","22","2","0","2","0","84","0","10"
"San Salvador","1068","CONTIGUA 1","1","58","31","0","5","5","24","13","15","5","1","1","0","90","0","9"
"San Salvador","1068","CONTIGUA 2","4","62","19","0","8","2","26","7","13","2","0","2","0","89","0","12"
"San Salvador","1069","BASICA","3","39","147","0","3","3","11","12","7","0","0","0","0","25","0","26"
"San Salvador","1070","BASICA","16","136","117","0","6","3","16","24","24","6","1","3","0","38","0","0"
"San Salvador","1070","CONTIGUA 1","11","137","90","0","7","5","29","27","24","3","1","2","0","52","0","8"
"San Salvador","1071","BASICA","5","127","155","0","0","4","6","11","6","0","0","0","0","40","0","7"
"San Salvador","1072","BASICA","4","103","120","0","4","3","24","18","24","7","1","0","0","36","0","5"
"San Salvador","1072","CONTIGUA 1","7","84","149","0","6","6","21","10","28","5","0","1","1","22","0","4"
"San Salvador","1073","BASICA","6","58","250","0","1","1","10","11","11","0","0","2","0","59","0","6"
"San Salvador","1073","CONTIGUA 1","3","51","242","0","1","3","6","10","9","2","0","2","0","19","6","0"
"San Salvador","1074","BASICA","15","53","107","0","1","4","16","15","8","3","0","3","0","32","0","7"
"San Salvador","1074","CONTIGUA 1","16","37","109","0","2","4","25","12","33","5","0","0","0","23","0","3"
"San Salvador","1075","BASICA","7","69","88","0","1","3","44","52","16","0","2","3","0","50","0","6"
"San Salvador","1076","BASICA","9","75","123","0","0","5","31","9","2","3","1","0","0","23","0","8"
"San Salvador","1076","CONTIGUA 1","12","61","114","0","0","2","19","7","1","4","0","0","0","35","0","11"
"San Salvador","1077","BASICA","4","89","140","0","4","11","61","16","25","3","0","5","1","56","0","6"
"San Salvador","1078","BASICA","5","79","91","0","5","6","91","14","15","10","0","5","1","90","0","17"
"San Salvador","1078","CONTIGUA 1","7","114","76","0","5","3","107","11","3","9","0","7","1","74","0","8"
"San Salvador","1079","BASICA","18","70","79","0","2","11","48","22","33","4","0","0","0","95","0","9"
"San Salvador","1079","CONTIGUA 1","25","57","92","0","3","13","24","19","33","4","2","1","0","94","0","8"
"San Salvador","1079","CONTIGUA 2","24","53","73","0","5","5","31","19","40","1","0","0","0","125","0","8"
"San Salvador","1080","BASICA","9","82","125","0","2","66","47","33","10","6","1","2","0","58","0","16"
"San Salvador","1081","BASICA","2","91","83","0","4","3","18","27","22","3","0","2","0","51","0","10"
"San Salvador","1081","CONTIGUA 1","1","39","72","0","2","3","18","33","26","2","0","2","0","48","0","11"
"San Salvador","1082","BASICA","0","73","138","0","4","2","32","17","20","4","0","3","0","31","0","5"
"San Salvador","1083","BASICA","3","34","89","0","2","17","24","15","10","1","1","1","1","26","0","16"
"San Salvador","1084","BASICA","9","35","74","0","0","4","42","37","27","1","0","1","0","63","0","7"
"San Salvador","1084","CONTIGUA 1","7","43","93","0","3","9","36","24","21","1","2","0","0","75","0","8"
"San Salvador","1085","BASICA","2","46","162","0","3","9","64","26","19","5","0","1","0","94","0","6"
"San Salvador","1085","CONTIGUA 1","9","63","125","0","2","5","42","28","36","4","2","3","0","75","3","8"
"San Salvador","1085","CONTIGUA 2","7","77","122",NA,"8","7","51","18","27","5","0","0","1","83","0","7"
"San Salvador","1085","CONTIGUA 3","9","60","114","0","1","7","50","17","36","4","2","1","0","61","0","6"
"San Salvador","1086","BASICA","1","34","20","0","2","0","12","7","32","0","2","1","0","0","0","8"
"San Salvador","1087","BASICA","4","71","45","0","3","4","14","7","132","5","2","7","0","96","0","17"
"San Salvador","1087","CONTIGUA 1","3","83","39","0","4","1","23","8","144","4","0","2","0","105","0","14"
"San Salvador","1087","CONTIGUA 2","5","70","33","0","0","1","24","12","139","8","0","0","0","114","0","20"
"San Salvador","1088","BASICA","4","45","23","0","3","2","10","6","15","0","2","2","0","294","0","11"
"San Salvador","1088","EXTRAORDINARIA 1","3","58","46","0","5","1","7","7","83","2","2","3","0","170","0","29"
"San Salvador","1089","BASICA","3","113","40","0","0","1","44","16","45","0","1","0","0","155","0","10"
"San Salvador","1090","BASICA","2","41","85","0","2","1","17","13","69","1","1","0","0","91","0","15"
"San Salvador","1090","CONTIGUA 1","6","36","71","0","1","0","16","6","65","4","1","0","0","111","0","11"
