"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","VÍCTOR AUGUSTO SÁNCHEZ DELGADO","NO REGISTRADO","NULO"
"Epazoyucan","358","BASICA","262","76","0","7","0","74","3","17","46","1","0","0","0","2","0","8"
"Epazoyucan","358","CONTIGUA 1","248","74","6","5","1","55","7","33","41","0","0","1","0","6","0","11"
"Epazoyucan","359","BASICA","201","80","0","1","4","53","15","15","21","0","0","0","0","7","1","9"
"Epazoyucan","359","CONTIGUA 1","240","88","1","0","0","49","1","10","17","0","1","0","0","4","0","2"
"Epazoyucan","360","BASICA","132","77","3","27","2","72","15","15","15","0","0","0","0","13","0","6"
"Epazoyucan","360","CONTIGUA 1","105","88","5","30","2","81","6","13","8","1","1","0","0","13","0","11"
"Epazoyucan","361","BASICA","82","79","2","5","1","59","2","8","9","0","1","0","0","5","0","9"
"Epazoyucan","361","CONTIGUA 1","63","72","4","10","2","76","8","8","8","0","0","0","0","8","0","9"
"Epazoyucan","362","BASICA","138","54","2","3","2","48","2","6","9","0","0","0","0","5","0","9"
"Epazoyucan","363","BASICA","128","67","7","4","3","69","6","17","23","1","0","0","0","14","0","10"
"Epazoyucan","363","CONTIGUA 1","157","77","5","4","4","46","4","8","25","0","0","0","0","5","0","11"
"Epazoyucan","363","CONTIGUA 2","147","72","3","6","2","66","7","17","30","0","0","0","0","7","0","4"
"Epazoyucan","364","BASICA","34","86","3","4","8","19","3","7","90","0","2","0","0","9","0","5"
"Epazoyucan","365","BASICA","119","90","2","3","0","15","7","17","64","0","1","0","0","2","0","10"
"Epazoyucan","366","BASICA","35","28","0","4","2","7","1","2","13","0","0","0","0","0","0","0"
"Epazoyucan","367","BASICA","46","113","4","3","1","58","8","13","16","0","1","0","0","6","0","6"
"Epazoyucan","367","CONTIGUA 1","31","63","7","6","4","76","9","24","18","0","1","2","0","4","0","4"
"Epazoyucan","367","EXTRAORDINARIA 1","58","72","8","3","5","14","9","14","58","0","0","0","0","17","0","9"
"Epazoyucan","368","BASICA","149","60","0","5","4","67","3","14","31","0","0","0","0","6","0","9"
"Epazoyucan","368","CONTIGUA 1","164","49","2","2","2","70","4","14","27","1","0","0","0","7","0","8"
"Epazoyucan","368","CONTIGUA 2","121","63","0","1","0","85","7","8","37","0","0","1","0","6","0","10"
