"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","CRISOFORO RUANO VITE","NO REGISTRADO","NULO","...20"
"Tlanchinol","1403","BASICA","179","189","3","0","2","0","12","3","93","0","0","0","0","11","0","15",NA
"Tlanchinol","1403","CONTIGUA 1","177","155","6","0","4","0","14","8","111","5","0","0","0","5","0","9",NA
"Tlanchinol","1403","CONTIGUA 2","212","147","10","0","1","0","17","4","89","2","1","0","0","7","0","14",NA
"Tlanchinol","1404","BASICA","138","50","0","0","2","0","2","1","31","1","0","0","0","2","0","10",NA
"Tlanchinol","1405","BASICA","124","30","2","0","0","0","7","4","71","0","0","0","0","5","0","23",NA
"Tlanchinol","1406","BASICA","174","118","8","0","0","0","14","8","101","0","0","0","0","16","0","40",NA
"Tlanchinol","1407","BASICA","241","180","0","0","6","0","14","4","129","0","0","0","0","4","0","34",NA
"Tlanchinol","1408","BASICA","146","75","1","0","1","0","3","1","68","0","0","0","0","3","0","4",NA
"Tlanchinol","1408","CONTIGUA 1","149","63","2","0","0","0","1","4","50","0","1","0","0","2","0","15",NA
"Tlanchinol","1409","BASICA","256","122","4","0","1","0","9","3","133","1","0","0","0","10","0","13",NA
"Tlanchinol","1410","BASICA","162","65","2","0","1","0","7","8","90","3","0","0","0","2","0","23",NA
"Tlanchinol","1410","CONTIGUA 1","162","68","2","0","1","0","4","8","91","0","0","0","0","1","0","0",NA
"Tlanchinol","1410","EXTRAORDINARIA 1","60","22","3","0","1","0","2","2","44","0","0","0","0","0","0","6",NA
"Tlanchinol","1410","EXTRAORDINARIA 2","115","70","3","0","0","0","4","9","72","0","0","0","0","2","0","12",NA
"Tlanchinol","1410","EXTRAORDINARIA 2 CONTIGUA 1","132","67","8","0","0","0","10","7","58","0","0","0","0","10","0","20",NA
"Tlanchinol","1411","BASICA","277","140","9","0","3","0","5","4","137","0","0","0","0","10","1","14",NA
"Tlanchinol","1412","BASICA","150","59","1","0","1","0","5","2","83","0","0","1","0","3","0","15",NA
"Tlanchinol","1412","CONTIGUA 1","123","71","0","0","1","0","6","2","78","1","0","0","0","6","0","14",NA
"Tlanchinol","1413","BASICA","138","164","4","0","1","0","7","2","136","2","0","0","0","5","0","35",NA
"Tlanchinol","1414","BASICA","123","92","10","0","4","0","11","6","233","0","0","0","0","6","0","33",NA
"Tlanchinol","1414","CONTIGUA 1","123","87","5","0","4","0","9","1","247","1","1","1","0","9","0","47",NA
"Tlanchinol","1415","BASICA","164","123","4","0","7","0","6","70","65","1","0","1","0","3","0","23",NA
"Tlanchinol","1415","CONTIGUA 1","227","130","2","0","2","0","2","62","82","0","0","0","0","1","0","16",NA
"Tlanchinol","1416","BASICA","110","106","2","0","1","0","11","7","53","0","0","0","1","0","0","6",NA
"Tlanchinol","1417","BASICA","112","94","1","0","0","0","0","3","86","0","0","0","0","6","0","21",NA
"Tlanchinol","1417","CONTIGUA 1","111","99","2","0","0","0","0","2","83","0","0","0","0","2","0","0",NA
"Tlanchinol","1418","BASICA","171","143","11","0","5","0","2","13","52","2","0","0","0","4","0","52",NA
"Tlanchinol","1419","BASICA","143","35","2","0","0","0","2","9","173","0","0","0","0","2","0","20",NA
"Tlanchinol","1419","CONTIGUA 1","175","41","0","0","2","0","4","7","156","0","1","1","0","4","0","30",NA
"Tlanchinol","1420","BASICA","66","75","49","0","2","0","5","10","47","0","0","0","0","3","0","14",NA
"Tlanchinol","1421","BASICA","116","136","2","0","1","0","6","5","35","0","2","0","0","3","0","14",NA
"Tlanchinol","1422","BASICA","178","265","17","0","8","0","5","7","46","1","0","0","0","0","0","34",NA
"Tlanchinol","1422","EXTRAORDINARIA 1","145","143","11","0","7","0","3","0","28","0","3","1","0","2","0","15",NA
"Tlanchinol","1423","BASICA","133","85","1",NA,"2",NA,"5","6","94","1","0","0","1","2","0","26",NA
"Tlanchinol","1423","CONTIGUA 1","136","112","1","0","1","0","4","1","99","2","2","0","0","3","0","20",NA
"Tlanchinol","1423","EXTRAORDINARIA 1","68","69","8","0","4","0","1","2","89","1","1","0","0","0","0","12",NA
"Tlanchinol","1424","BASICA","99","96","7","0","4","0","4","2","36","0","0","0","0","4","0","12",NA
"Tlanchinol","1424","CONTIGUA 1","110","100","3","0","1","0","6","1","33","1","1","0","0","2","0","12",NA
"Tlanchinol","1425","BASICA","127","148","2","0","1","0","5","4","137","0","0","0","0","4","0","15",NA
"Tlanchinol","1425","EXTRAORDINARIA 1","58","82","2","0","2","0","2","2","29","0","0","0","0","0","0","12",NA
"Tlanchinol","1426","BASICA","167","45","68","0","12","0","11","15","123","0","1","0","0","0","0","61","ANULADA"
"Tlanchinol","1427","BASICA","101","121","7","0","0","0","6","21","101","5","2","0","0","9","0","32",NA
"Tlanchinol","1428","BASICA","181","182","1","0","2","0","11","7","85","0","0","0","0","15","0","8",NA
"Tlanchinol","1428","CONTIGUA 1","154","197","8","0","5","0","14","5","95","3","2","0","0","7","0","11",NA
"Tlanchinol","1428","CONTIGUA 2","165","172","11","0","1","0","10","2","74","1","2","0","0","32","0","14",NA
"Tlanchinol","1428","ESPECIAL 1","7","10","0","0","0","0","0","6","6","1","0","0","0","2","0","21",NA
