"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO","...15"
"San Felipe Orizatlán","1043","BASICA","176","136","2","1","2","2","11","5","38","0","5",NA
"San Felipe Orizatlán","1043","CONTIGUA 1","182","134","0","1","1","0","10","7","25","0","7",NA
"San Felipe Orizatlán","1044","BASICA","182","169","3","0","1","3","22","3","49","0","18",NA
"San Felipe Orizatlán","1044","CONTIGUA 1","156","165","1","0","3","0","18","3","61","0","25",NA
"San Felipe Orizatlán","1044","CONTIGUA 2","179","139","1","2","0","2","34","0","87","0","12",NA
"San Felipe Orizatlán","1044","CONTIGUA 3","184","164","0","0","5","2","42","3","69","0","8",NA
"San Felipe Orizatlán","1045","BASICA","217","229","0","0","3","0","9","6","47","0","16",NA
"San Felipe Orizatlán","1045","CONTIGUA 1","179","219","3","1","1","4","7","4","68","0","23",NA
"San Felipe Orizatlán","1045","CONTIGUA 2","200","234","2","1","3","1","16","5","57","0","19",NA
"San Felipe Orizatlán","1046","BASICA","143","138","1","0","1","0","7","1","21","0","6",NA
"San Felipe Orizatlán","1046","CONTIGUA 1","140","150","1","0","2","1","10","3","31","0","7",NA
"San Felipe Orizatlán","1047","BASICA","166","250","0","2","1","0","1","0","7","0","18",NA
"San Felipe Orizatlán","1048","BASICA","168","192","2","3","1","0","14","1","72","0","26",NA
"San Felipe Orizatlán","1048","CONTIGUA 1","170","207","3","3","1","1","9","1","70","0","25",NA
"San Felipe Orizatlán","1049","BASICA","128","124","2","2","1","0","1","1","13","0","12",NA
"San Felipe Orizatlán","1049","CONTIGUA 1","106","120","2","3","1","0","3","0","30","0","14",NA
"San Felipe Orizatlán","1050","BASICA","146","121","0","0","1","0","13","0","42","0","15",NA
"San Felipe Orizatlán","1050","CONTIGUA 1","195","103","3","1","3","1","6","1","30","0","14",NA
"San Felipe Orizatlán","1051","BASICA","66","132","2","3","5","1","32","7","183","0","35",NA
"San Felipe Orizatlán","1052","BASICA","163","145","1","2","1","0","11","1","17","0","7",NA
"San Felipe Orizatlán","1053","BASICA","124","114","1","3","0","2","2","5","9","0","10","ANULADA"
"San Felipe Orizatlán","1053","CONTIGUA 1","134","128","1","0","1","2","3","2","4","0","16","ANULADA"
"San Felipe Orizatlán","1054","BASICA","80","100","2","0","1","1","3","0","15","0","17",NA
"San Felipe Orizatlán","1055","BASICA","181","131","2","4","1","2","18","1","39","0","23",NA
"San Felipe Orizatlán","1055","CONTIGUA 1","176","128","2","3","0","0","21","1","43","0","21",NA
"San Felipe Orizatlán","1056","BASICA","209","105","0","0","0","0","3","1","3","0","13",NA
"San Felipe Orizatlán","1056","CONTIGUA 1","211","95","3","0","0","0","8","3","3","0","19",NA
"San Felipe Orizatlán","1057","BASICA","154","116","6","2","2","1","13","5","20","0","26",NA
"San Felipe Orizatlán","1057","CONTIGUA 1","176","87","3","2","2","1","9","1","42","0","25",NA
"San Felipe Orizatlán","1058","BASICA","132","139","11","6","2","4","17","2","35","0","17",NA
"San Felipe Orizatlán","1059","BASICA","108","150","13","0","2","1","11","3","106","0","26",NA
"San Felipe Orizatlán","1059","CONTIGUA 1","112","148","19","4","3","1","18","5","98","0","36",NA
"San Felipe Orizatlán","1060","BASICA","97","125","34","1","0","4","17","2","55","0","23",NA
"San Felipe Orizatlán","1060","CONTIGUA 1","90","128","34","0","3","2","23","1","59","0","34",NA
"San Felipe Orizatlán","1060","CONTIGUA 2","81","109","32","3","1","0","29","1","80","0","20",NA
"San Felipe Orizatlán","1061","BASICA","187","175","2","0","1","3","11","0","32","0","10",NA
"San Felipe Orizatlán","1061","CONTIGUA 1","162","191","1","1","1","0","13","1","23","0","0",NA
"San Felipe Orizatlán","1061","CONTIGUA 2","197","164","2","1","3","1","18","1","32","0","11",NA
"San Felipe Orizatlán","1061","CONTIGUA 3","204","147","2","0","3","1","15","1","26","0","11",NA
"San Felipe Orizatlán","1062","BASICA","191","127","5","1","1","2","31","8","18","0","20",NA
"San Felipe Orizatlán","1062","CONTIGUA 1","191","127","5","3","6","5","32","3","23","0","30",NA
"San Felipe Orizatlán","1062","EXTRAORDINARIA 1","162","93","0","3","3","1","12","3","34","0","23",NA
"San Felipe Orizatlán","1062","EXTRAORDINARIA 1 CONTIGUA 1","147","120","1","1","2","0","24","0","32","0","19",NA
"San Felipe Orizatlán","1063","BASICA","163","151","3","1","3","3","10","2","16","0","25","ANULADA"
"San Felipe Orizatlán","1063","CONTIGUA 1","180","178","1","1","0","0","15","2","25","0","11",NA
"San Felipe Orizatlán","1064","BASICA","54","47","0","0","1","0","7","2","14","0","7",NA
"San Felipe Orizatlán","1064","EXTRAORDINARIA 1","117","29","4","1","1","0","4","0","18","0","7",NA
"San Felipe Orizatlán","1065","BASICA","26","100","2","0","0","0","7","4","129","0","26",NA
"San Felipe Orizatlán","1066","BASICA","82","99","1","1","2","2","54","2","1","0","22",NA
"San Felipe Orizatlán","1066","CONTIGUA 1","77","137","0","0","0","0","39","0","6","0","19",NA
