ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,12,262,1301,36,25,1003,29,26,523,8,4,13,,9,4,2,1,7,1,0,2,,,,,,,3256,2,88,3346,5346,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A01MR.jpg
32,ZACATECAS,2,APULCO,8,9,61,1022,43,,37,52,548,,,,965,,4,2,2,1,,,,,,,,,,,2737,1,119,2857,4343,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A02MR.jpg
32,ZACATECAS,3,ATOLINGA,8,8,425,328,17,,656,7,,,,2,,,6,4,0,0,,,,,,,,,,,1445,3,160,1608,2413,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A03MR.jpg
32,ZACATECAS,4,BENITO JUAREZ,9,9,1150,580,26,52,,9,94,426,48,4,,,4,11,3,0,9,5,1,5,,,,,,,2427,0,42,2469,3478,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A04MR.jpg
32,ZACATECAS,5,CALERA,21,50,8019,2696,534,308,1079,201,151,2523,133,572,25,376,176,140,19,3,59,32,5,16,,,,,,,17067,3,511,17581,28360,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A05MR.jpg
32,ZACATECAS,6,CAÑITAS ,10,12,52,854,16,27,1429,18,1154,159,30,319,4,100,0,3,0,0,1,5,0,2,,,,,,,4173,0,208,4381,6002,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A06MR.jpg
32,ZACATECAS,7,CONCEPCION DEL ORO,22,26,86,2073,75,57,1315,29,1992,477,11,199,,29,2,4,1,1,14,6,0,2,,,,,,,6373,0,284,6657,9441,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A07MR.jpg
32,ZACATECAS,8,CUAUHTEMOC,11,18,116,3044,416,272,2057,32,24,242,129,4,7,73,16,19,0,2,18,3,2,4,,,,,,,6480,2,266,6748,8968,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A08MR.jpg
32,ZACATECAS,9,CHALCHIHUITES,21,25,1023,3304,72,312,81,15,107,238,17,15,8,6,15,13,1,0,7,13,1,0,,,,,,,5248,1,186,5435,8424,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A09MR.jpg
32,ZACATECAS,10,FRESNILLO,205,322,8458,16960,2520,12683,3479,1239,2556,42728,1380,1990,866,1194,196,109,36,18,1047,864,85,150,,,,,,,98558,50,2995,101603,162936,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A10MR.jpg
32,ZACATECAS,11,TRINIDAD GARCIA,7,8,301,376,15,23,544,14,,344,11,11,,,6,6,1,0,6,0,0,4,,,,,,,1662,0,56,1718,2821,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A11MR.jpg
32,ZACATECAS,12,GENARO CODINA,16,18,266,820,653,115,950,46,19,454,356,30,,10,32,44,1,6,31,7,5,27,,,,,,294,4166,0,184,4350,6075,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A12MR.jpg
32,ZACATECAS,13,ENRIQUE ESTRADA,7,11,846,666,105,27,11,48,85,153,36,1171,10,11,18,19,3,0,4,2,1,1,,,,,,,3217,3,131,3351,4823,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A13MR.jpg
32,ZACATECAS,14,FRANCISCO R. MURGUIA,42,48,404,5830,85,481,,75,122,4172,75,,29,332,7,7,4,3,84,70,4,34,,,,,,,11818,0,377,12195,17409,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A14MR.jpg
32,ZACATECAS,15,EL PLATEADO,5,5,42,461,599,,3,6,3,,,,,,4,15,1,3,,,,,,,,,,,1137,0,33,1170,1635,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A15MR.jpg
32,ZACATECAS,16,PANFILO NATERA,24,35,401,4636,2820,985,,111,273,1636,607,,,26,122,59,1,17,128,47,27,53,,,,,,,11949,0,530,12479,17285,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A16MR.jpg
32,ZACATECAS,17,GUADALUPE,106,224,5660,21384,1126,4119,2067,1221,1243,34527,1166,3439,671,513,85,38,18,10,589,259,34,140,,,,,,,78309,24,2049,80382,126679,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A17MR.jpg
32,ZACATECAS,18,HUANUSCO,13,14,694,774,41,37,69,27,24,535,19,40,,,16,15,3,0,12,3,0,6,,,,,,,2315,0,91,2406,3934,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A18MR.jpg
32,ZACATECAS,19,JALPA,34,44,2816,2875,209,462,808,1122,367,1528,591,,141,,130,35,47,7,57,10,12,16,,,,,,,11233,2,418,11653,19875,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A19MR.jpg
32,ZACATECAS,20,JEREZ,94,118,8981,8594,337,917,2962,237,589,4927,210,188,183,151,112,76,16,5,54,42,4,20,,,,,275,,28880,8,1014,29902,51256,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A20MR.jpg
32,ZACATECAS,21,JIMENEZ DEL TEUL,10,11,138,810,356,46,11,20,8,690,27,188,,,12,34,0,2,19,14,0,7,,,,,,,2382,0,83,2465,3282,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A21MR.jpg
32,ZACATECAS,22,JUAN ALDAMA,23,33,3970,2922,88,1363,32,64,227,323,20,358,6,22,47,46,11,3,16,22,6,6,,,286,85,,,9923,0,284,10207,15891,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A22MR.jpg
32,ZACATECAS,23,JUCHIPILA,19,25,1985,881,255,185,111,70,178,2065,79,320,19,,45,38,6,3,32,13,0,20,,,,,,,6305,0,208,6513,10883,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A23MR.jpg
32,ZACATECAS,24,LORETO,31,62,1527,3279,571,7898,287,3504,225,2665,30,42,49,46,84,22,21,18,0,0,0,0,,,,,,,20238,7,782,21027,33654,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A24MR.jpg
32,ZACATECAS,25,LUIS MOYA,12,17,678,511,209,47,2060,1416,204,693,45,8,7,279,85,13,15,7,13,3,1,7,,,,,,,6301,1,203,6505,9211,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A25MR.jpg
32,ZACATECAS,26,MAZAPIL,49,52,63,4216,41,52,60,191,6008,318,12,5,,2,2,0,0,0,5,3,1,1,,,,,,,10980,2,501,11483,14626,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A26MR.jpg
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,0,255,10,19,,5,949,855,22,,,2,0,0,0,0,7,1,0,6,,,,,,,2131,0,38,2169,2499,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A27MR.jpg
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,87,107,826,44,,23,,453,11,0,,,11,27,1,3,3,3,2,2,,,,,,,1603,1,44,1648,2360,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A28MR.jpg
32,ZACATECAS,29,MIGUEL AUZA,21,33,426,3355,78,1061,,73,,3904,104,160,,54,5,3,0,1,63,86,5,11,,,,,,,9389,1,271,9661,16723,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A29MR.jpg
32,ZACATECAS,30,MOMAX,6,7,346,575,7,4,,1,514,32,0,5,,,2,2,1,0,0,0,1,0,,,,,,,1490,0,43,1533,2343,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A30MR.jpg
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,620,1601,28,106,1150,41,692,180,9,,206,,4,6,0,0,0,3,2,1,,,,,,,4649,0,193,4842,7745,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A31MR.jpg
32,ZACATECAS,32,MORELOS,9,18,317,1065,103,119,1263,224,1536,1128,36,519,104,135,13,4,4,0,11,11,2,5,,,,,,,6599,1,222,6822,9159,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A32MR.jpg
32,ZACATECAS,33,MOYAHUA,10,11,1159,964,225,18,22,28,,112,4,11,,,46,32,6,0,1,1,0,1,,,,,,,2630,0,93,2723,4440,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A33MR.jpg
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,43,58,3979,2264,324,3893,192,438,502,1394,83,,1,2,102,63,34,6,92,113,5,7,,,,,,,13494,18,709,14221,24642,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A34MR.jpg
32,ZACATECAS,35,NORIA DE ANGELES,16,23,115,3608,278,544,1086,107,97,556,49,50,1338,21,9,5,1,1,20,15,2,4,,,,,,,7906,3,332,8241,11322,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A35MR.jpg
32,ZACATECAS,36,OJOCALIENTE,42,62,2671,5132,249,4094,2973,105,382,1123,89,147,25,150,37,31,12,6,115,115,14,9,,,,,,,17479,11,559,18049,29423,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A36MR.jpg
32,ZACATECAS,37,PANUCO,14,25,230,3349,111,779,71,38,3692,340,18,28,2,6,21,9,4,2,31,35,3,2,,,,,,,8771,0,427,9198,12354,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A37MR.jpg
32,ZACATECAS,38,PINOS,95,114,1821,15790,2964,967,685,405,360,7032,162,64,72,1740,64,62,9,26,96,55,9,38,,,,,,,32421,23,1260,33704,49548,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A38MR.jpg
32,ZACATECAS,39,RIO GRANDE,63,99,6732,5482,3355,1619,2858,418,966,3435,291,315,585,99,187,318,32,16,106,71,22,35,,190,,,,,27132,30,1223,28385,49779,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A39MR.jpg
32,ZACATECAS,40,SAIN ALTO,27,35,512,3422,2772,420,,57,94,3240,55,52,30,,66,110,0,10,54,49,4,33,,,,,,,10980,0,383,11363,16473,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A40MR.jpg
32,ZACATECAS,41,EL SALVADOR,6,6,,31,,,1165,20,489,,,,,,,,,,,,,,,,,,,,1705,0,65,1770,2105,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A41MR.jpg
