CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,1,1,26,129,2,3,113,0,0,44,2,0,0,,0,0,0,0,0,0,0,0,,,,,,,319,1,5,325,482
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,2,1,28,95,1,2,80,4,2,65,1,0,1,,2,3,0,0,1,0,0,0,,,,,,,285,0,8,293,479
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,3,2,35,193,3,6,184,4,6,105,0,0,4,,2,0,1,0,1,0,0,0,,,,,,,544,1,22,567,911
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,4,1,11,137,1,0,98,4,3,40,0,0,6,,0,0,0,0,0,0,0,0,,,,,,,300,0,8,308,438
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,5,1,20,65,3,1,65,4,4,24,0,0,0,,2,0,0,0,0,0,0,0,,,,,,,188,0,5,193,319
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,6,1,56,121,16,3,105,10,5,57,0,3,0,,2,1,0,0,3,1,0,0,,,,,,,383,0,2,385,663
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,7,1,6,128,1,0,13,0,1,15,1,0,1,,0,0,0,1,0,0,0,0,,,,,,,167,0,5,172,313
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,8,1,15,174,2,4,108,1,2,58,3,0,0,,0,0,0,0,2,0,0,1,,,,,,,370,0,8,378,587
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,9,1,27,74,0,2,32,0,2,9,1,0,0,,1,0,0,0,0,0,0,0,,,,,,,148,0,2,150,247
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,10,1,14,101,2,1,62,0,1,45,0,1,1,,0,0,0,0,0,0,0,0,,,,,,,228,0,15,243,324
