municipality,section,PAN,PRI,PRD,PartCardenista,PT,total,uniqueid,valid,year,month,PVEM,listanominal,turnout,PRD_PT_PC_PVEM_PAS_PSN,PRI_PVEM,PC,PANAL,PAS,PRD_PT,PRD_PT_PC,PRD_PC,PAN_PRI,PAN_PRI_PVEM,PAN_PVEM,PAN_PVEM_PANAL,PAN_PANAL,PRI_PVEM_PANAL,PAN_PRI_PVEM_PANAL,PAN_PRI_PANAL,PRI_PRD_PVEM_PC_PANAL,PT_PC,PRD_PT_PMC,MC,MORENA,PES,PAN_PRD_MC,PAN_MC,PAN_PRD,PRD_MC,PRD_PVEM,PT_MORENA,CI_1,CI_2,PH,PRD_PT_PANAL,PRD_PT_PANAL_PES,PRD_PANAL,PRD_PANAL_PES,PT_PANAL_PH,PAN_PH,PAN_PRD_PT,PRD_PES,PRD_PT_PES,PT_PES_PH,PT_PES,PRD_PT_PANAL_PH,PRD_PT_PH,PT_MC,PT_PH,PAN_PT,PAN_PRI_PRD_PANAL_PH_PES,PAN_PRD_PT_PANAL_PES,PAN_PRD_PT_PANAL_PH,PAN_PRD_PANAL,PRI_PT_PVEM
ACUITZIO,4,100,0,0,NA,0,605,16001,571,2015,June,0,986,0.613590240478516,NA,69,NA,9,NA,134,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,35,NA,0,0,NA,NA,NA,224,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,3,103,0,0,NA,0,598,16001,569,2015,June,0,906,0.660044133663177,NA,70,NA,16,NA,163,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22,NA,0,0,NA,NA,NA,195,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,8,41,0,0,NA,0,221,16001,212,2015,June,0,358,0.617318451404572,NA,22,NA,12,NA,86,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,NA,NA,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,5,84,0,0,NA,0,726,16001,701,2015,June,0,1058,0.686200380325317,NA,80,NA,27,NA,236,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,16,NA,0,0,NA,NA,NA,258,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,2,127,0,0,NA,0,860,16001,832,2015,June,0,1384,0.621387302875519,NA,122,NA,35,NA,261,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22,NA,0,0,NA,NA,NA,265,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,1,117,0,0,NA,0,884,16001,846,2015,June,0,1406,0.628733992576599,NA,176,NA,28,NA,288,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,NA,0,0,NA,NA,NA,227,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,6,22,0,0,NA,0,316,16001,295,2015,June,0,437,0.723112106323242,NA,61,NA,24,NA,78,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA,0,0,NA,NA,NA,106,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,7,62,0,0,NA,0,389,16001,373,2015,June,0,585,0.664957284927368,NA,36,NA,10,NA,140,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,0,0,NA,NA,NA,123,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,10,62,0,0,NA,0,538,16001,500,2015,June,0,817,0.658506751060486,NA,56,NA,29,NA,288,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,NA,0,0,NA,NA,NA,58,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ACUITZIO,9,18,0,0,NA,0,182,16001,180,2015,June,0,229,0.794759809970856,NA,54,NA,16,NA,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,NA,NA,21,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,22,0,0,0,NA,0,77,16002,75,2015,June,0,191,0.403141349554062,NA,33,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,20,0,0,0,NA,0,92,16002,92,2015,June,0,163,0.5644171833992,NA,25,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,25,2,0,0,NA,0,72,16002,72,2015,June,0,117,0.615384638309479,NA,37,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,18,5,0,0,NA,0,396,16002,389,2015,June,0,761,0.520367920398712,NA,95,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,NA,0,0,NA,NA,NA,0,NA,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,15,9,0,0,NA,0,272,16002,270,2015,June,0,491,0.553971469402313,NA,113,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,NA,0,0,NA,NA,NA,0,NA,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,17,1,0,0,NA,0,278,16002,273,2015,June,0,641,0.43369734287262,NA,20,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,0,NA,NA,NA,0,NA,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,14,40,0,0,NA,0,1016,16002,989,2015,June,0,1663,0.610944092273712,NA,400,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,NA,0,0,NA,NA,NA,0,NA,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,16,9,0,0,NA,0,1113,16002,1075,2015,June,0,2206,0.504533112049103,NA,379,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,0,NA,0,0,NA,NA,NA,0,NA,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,11,33,0,0,NA,0,1190,16002,1148,2015,June,0,2120,0.561320781707764,NA,503,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,0,NA,0,0,NA,NA,NA,0,NA,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,19,9,0,0,NA,0,342,16002,328,2015,June,0,512,0.66796875,NA,205,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,13,34,0,0,NA,0,1037,16002,999,2015,June,0,1954,0.530706226825714,NA,407,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,NA,0,0,NA,NA,NA,0,NA,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
AGUILILLA,23,0,0,0,NA,0,102,16002,100,2015,June,0,171,0.59649121761322,NA,35,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,0,NA,NA,NA,0,NA,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
