SECCION,TIPO,MUNICIPIO,PAN,PRI,PPS,PRD,PFCRN,PARM,PDM,PT,PVEM
1,N,Aconchi,462,387,0,0,0,0,0,0,0
2,N,Aconchi,148,211,0,0,0,0,0,0,0
3,N,Agua Prieta,493,242,0,0,0,0,0,65,0
4,N,Agua Prieta,171,148,0,0,0,0,0,18,0
5,N,Agua Prieta,259,207,0,0,0,0,0,31,0
6,N,Agua Prieta,520,381,0,0,0,0,0,48,0
7,N,Agua Prieta,523,287,0,0,0,0,0,41,0
8,N,Agua Prieta,692,301,0,0,0,0,0,59,0
9,N,Agua Prieta,551,298,0,0,0,0,0,73,0
10,N,Agua Prieta,716,365,0,0,0,0,0,98,0
11,N,Agua Prieta,421,261,0,0,0,0,0,63,0
12,N,Agua Prieta,423,269,0,0,0,0,0,65,0
13,N,Agua Prieta,500,299,0,0,0,0,0,43,0
14,N,Agua Prieta,441,319,0,0,0,0,0,56,0
15,N,Agua Prieta,443,222,0,0,0,0,0,40,0
16,N,Agua Prieta,248,161,0,0,0,0,0,28,0
17,N,Agua Prieta,106,120,0,0,0,0,0,14,0
18,N,Agua Prieta,482,330,0,0,0,0,0,56,0
19,N,Agua Prieta,122,99,0,0,0,0,0,22,0
20,N,Agua Prieta,478,469,0,0,0,0,0,71,0
21,N,Agua Prieta,444,315,0,0,0,0,0,50,0
22,N,Agua Prieta,601,498,0,0,0,0,0,97,0
23,N,Agua Prieta,325,306,0,0,0,0,0,31,0
24,N,Agua Prieta,169,203,0,0,0,0,0,21,0
25,N,Agua Prieta,677,406,0,0,0,0,0,68,0
26,N,Agua Prieta,79,83,0,0,0,0,0,5,0
27,N,Agua Prieta,13,55,0,0,0,0,0,8,0
28,N,Agua Prieta,0,35,0,0,0,0,0,2,0
29,N,Agua Prieta,40,22,0,0,0,0,0,2,0
30,N,Agua Prieta,91,80,0,0,0,0,0,0,0
31,N,Agua Prieta,286,209,0,0,0,0,0,50,0
32,N,Agua Prieta,55,77,0,0,0,0,0,8,0
33,N,Altar,406,325,0,0,0,0,0,0,0
34,N,Altar,449,237,0,0,0,0,0,0,0
35,N,Altar,533,509,0,0,0,0,0,0,0
36,N,Altar,12,11,0,0,0,0,0,0,0
37,N,Altar,44,146,0,0,0,0,0,0,0
38,N,Arivechi,0,359,0,0,0,0,0,0,0
39,N,Arivechi,0,120,0,0,0,0,0,0,0
40,N,Arivechi,0,72,0,0,0,0,0,0,0
41,N,Arizpe,102,305,0,0,0,0,0,0,0
42,N,Arizpe,155,414,0,0,0,0,0,0,0
43,N,Arizpe,63,157,0,0,0,0,0,0,0
44,N,Arizpe,35,182,0,0,0,0,0,0,0
45,N,Arizpe,5,174,0,0,0,0,0,0,0
46,N,Atil,0,286,0,0,0,0,0,0,0
47,N,Bacadehuachi,287,323,0,0,0,0,0,0,0
48,N,Bacanora,176,171,0,0,0,0,0,0,0
49,N,Bacanora,38,63,0,0,0,0,0,0,0
50,N,Bacanora,2,56,0,0,0,0,0,0,0
51,N,Bacanora,7,80,0,0,0,0,0,0,0
52,N,Bacerac,0,450,0,0,0,0,0,0,0
53,N,Bacerac,0,40,0,0,0,0,0,0,0
54,N,Bacoachi,0,349,0,275,0,0,0,0,0
55,N,Bacoachi,0,105,0,110,0,0,0,0,0
56,N,Banamichi,208,350,0,0,0,0,0,0,0
57,N,Banamichi,108,168,0,0,0,0,0,0,0
58,N,Baviacora,308,302,0,0,0,0,0,0,0
59,N,Baviacora,239,218,0,0,0,0,0,0,0
60,N,Baviacora,91,123,0,0,0,0,0,0,0
61,N,Baviacora,55,56,0,0,0,0,0,0,0
62,N,Baviacora,49,132,0,0,0,0,0,0,0
63,N,Baviacora,245,188,0,0,0,0,0,0,0
64,N,Bavispe,125,260,0,0,0,0,0,0,0
65,N,Bavispe,142,93,0,0,0,0,0,0,0
66,N,Benjamin Hill,159,333,0,0,0,0,0,220,0
67,N,Benjamin Hill,119,288,0,0,0,0,0,248,0
68,N,Benjamin Hill,119,262,0,0,0,0,0,282,0
69,N,Benjamin Hill,93,178,0,0,0,0,0,382,0
70,N,Cananea,0,578,0,253,0,0,18,80,0
71,N,Cananea,0,582,0,127,0,0,28,59,0
72,N,Cananea,0,629,0,187,0,0,32,93,0
73,N,Cananea,0,745,0,315,0,0,23,67,0
74,N,Cananea,0,615,0,212,0,0,20,68,0
75,N,Cananea,0,495,0,89,0,0,26,46,0
76,N,Cananea,0,588,0,86,0,0,18,72,0
77,N,Cananea,0,476,0,166,0,0,16,49,0
78,N,Cananea,0,484,0,212,0,0,23,39,0
79,N,Cananea,0,349,0,155,0,0,33,55,0
80,N,Cananea,0,286,0,75,0,0,40,42,0
81,N,Cananea,0,509,0,107,0,0,18,42,0
82,N,Cananea,0,722,0,129,0,0,17,68,0
83,N,Cananea,0,389,0,141,0,0,28,76,0
84,N,Cananea,0,605,0,189,0,0,43,102,0
85,N,Cananea,0,313,0,120,0,0,5,37,0
86,E,Cananea,0,83,0,59,0,0,3,4,0
86,N,Cananea,0,98,0,65,0,0,2,5,0
87,N,Cananea,0,94,0,34,0,0,5,12,0
88,E,Cananea,0,59,0,9,0,0,1,2,0
88,N,Cananea,0,186,0,65,0,0,0,5,0
89,N,Cucurpe,90,263,0,0,0,0,0,0,0
90,N,Cucurpe,9,77,0,0,0,0,0,0,0
91,N,Cucurpe,25,34,0,0,0,0,0,0,0
92,N,Cumpas,108,184,0,0,0,0,0,0,0
93,N,Cumpas,219,336,0,0,0,0,0,0,0
94,E,Cumpas,266,299,0,0,0,0,0,0,0
94,N,Cumpas,50,110,0,0,0,0,0,0,0
95,N,Cumpas,48,55,0,0,0,0,0,0,0
96,N,Cumpas,172,345,0,0,0,0,0,0,0
97,N,Cumpas,127,338,0,0,0,0,0,0,0
98,N,Cumpas,44,215,0,0,0,0,0,0,0
99,N,Cumpas,178,173,0,0,0,0,0,0,0
100,N,Divisaderos,167,322,0,0,0,0,0,0,0
101,N,Fronteras,276,381,0,0,0,0,0,13,0
102,N,Fronteras,41,124,0,0,0,0,0,0,0
103,E,Fronteras,20,146,0,0,0,0,0,3,0
103,N,Fronteras,74,244,0,0,0,0,0,51,0
104,N,Fronteras,160,569,0,0,0,0,0,58,0
105,N,Fronteras,242,299,0,0,0,0,0,17,0
106,N,Granados,259,386,0,0,0,0,0,0,0
107,N,Huachinera,97,340,0,0,0,0,0,0,0
108,N,Huachinera,45,101,0,0,0,0,0,0,0
109,N,Huasabas,0,371,0,0,0,0,0,0,0
110,N,Huepac,144,362,0,0,0,0,0,0,0
111,N,Huepac,21,105,0,0,0,0,0,0,0
112,N,Imuris,88,216,0,10,0,0,0,0,8
113,N,Imuris,383,615,0,32,0,0,0,0,11
