ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,12,CARICHI,16,18,1482,1442,501,29,23,442,28,78,26,6,9,2,1,31,3,5,2,1,0,112,4,4223,413,4640,7058,0.6574
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1199,992,636,44,202,406,122,287,4,0,4,1,0,6,10,3,1,1,4,483,0,4405,228,4633,9716,0.4768
8,CHIHUAHUA,14,CORONADO,4,5,611,584,5,3,152,9,4,10,1,1,1,0,0,0,1,1,0,0,0,94,0,1477,42,1519,1890,0.8037
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,826,669,4,0,3,0,9,4,4,1,1,0,0,6,0,2,0,0,0,35,0,1564,16,1580,2150,0.7349
8,CHIHUAHUA,16,LA CRUZ,5,7,778,793,87,5,3,58,59,24,9,1,6,1,1,11,2,7,0,1,0,292,0,2138,47,2185,3330,0.6562
8,CHIHUAHUA,17,CUAUHTEMOC,111,225,25896,11877,791,553,396,1421,859,980,71,12,49,1,8,114,11,28,8,8,28,7989,60,51100,1578,52738,121142,0.4353
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,1086,920,79,108,160,125,39,7,13,0,0,1,0,6,7,2,4,0,1,185,1,2743,126,2870,5164,0.5558
8,CHIHUAHUA,19,CHIHUAHUA,647,1205,179658,61522,2514,2322,2041,3949,4218,5487,768,103,131,53,23,509,87,125,15,21,125,74508,469,338179,6338,344986,651314,0.5297
8,CHIHUAHUA,20,CHINIPAS,8,15,831,2250,4,1,8,5,10,3,6,0,3,0,0,7,3,2,0,0,0,17,2,3150,113,3265,5146,0.6345
8,CHIHUAHUA,21,DELICIAS,109,195,19596,12540,4262,365,628,578,952,1415,137,15,19,3,1,84,13,35,1,4,2,11894,71,52544,1132,53747,108796,0.494
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,1024,643,9,5,4,12,32,17,8,2,4,1,0,2,0,12,0,1,0,47,1,1823,40,1864,3116,0.5982
8,CHIHUAHUA,23,GALEANA,3,8,497,1113,41,15,16,10,22,415,10,4,1,1,0,12,3,4,0,0,0,218,0,2382,89,2471,3999,0.6179
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1518,777,16,2,5,5,16,24,9,1,4,0,0,13,0,2,0,0,0,150,2,2542,57,2601,4035,0.6446
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,1238,1543,55,22,80,14,33,95,0,0,1,1,0,7,4,2,1,0,0,275,3,3371,182,3556,7285,0.4881
8,CHIHUAHUA,26,GRAN MORELOS,13,13,885,839,21,4,7,9,5,4,2,0,1,0,0,10,0,1,1,0,0,83,2,1872,61,1935,3243,0.5967
8,CHIHUAHUA,27,GUACHOCHI,43,67,5216,6662,293,220,210,311,525,146,83,17,67,11,4,157,52,106,7,17,4,1553,59,15661,1820,17540,33832,0.5184
