Municipio,Sección,Lista Nominal,Total,PAN,PRI,PRD,PT,PVEM,PC,PSN
AMEALCO DE BONFIL,1,954,705,254,95,0,157,161,157,0
AMEALCO DE BONFIL,2,757,554,165,105,0,84,162,84,0
AMEALCO DE BONFIL,3,1009,699,324,124,0,68,137,68,0
AMEALCO DE BONFIL,4,1065,730,240,143,0,99,205,99,0
AMEALCO DE BONFIL,5,864,746,194,134,0,69,144,69,0
AMEALCO DE BONFIL,6,660,386,155,194,0,8,13,8,0
AMEALCO DE BONFIL,7,382,262,80,141,0,2,21,2,0
AMEALCO DE BONFIL,8,785,528,254,196,0,9,53,9,0
AMEALCO DE BONFIL,9,1186,700,135,380,0,17,36,17,0
AMEALCO DE BONFIL,10,774,491,112,239,0,10,100,10,0
AMEALCO DE BONFIL,11,543,358,171,98,0,9,48,9,0
AMEALCO DE BONFIL,12,523,353,73,203,0,17,24,17,0
AMEALCO DE BONFIL,13,1163,731,335,225,0,24,91,24,0
AMEALCO DE BONFIL,14,1127,837,245,425,0,22,101,22,0
AMEALCO DE BONFIL,15,984,443,40,302,0,11,12,11,0
AMEALCO DE BONFIL,16,710,456,244,106,0,18,55,18,0
AMEALCO DE BONFIL,17,773,531,293,97,0,29,64,29,0
AMEALCO DE BONFIL,18,480,316,99,142,0,6,48,6,0
AMEALCO DE BONFIL,19,1513,657,143,307,0,55,47,55,0
AMEALCO DE BONFIL,20,641,400,249,79,0,13,38,13,0
AMEALCO DE BONFIL,21,381,222,68,127,0,9,7,9,0
AMEALCO DE BONFIL,22,1142,704,206,337,0,28,38,28,0
AMEALCO DE BONFIL,23,1284,800,278,357,0,20,71,20,0
AMEALCO DE BONFIL,24,1120,751,182,419,0,18,97,18,0
AMEALCO DE BONFIL,25,929,575,183,230,0,7,42,7,0
AMEALCO DE BONFIL,26,940,631,167,241,0,17,86,17,0
AMEALCO DE BONFIL,27,839,349,100,120,0,57,9,57,0
AMEALCO DE BONFIL,28,672,398,198,116,0,20,34,20,0
AMEALCO DE BONFIL,29,702,300,28,154,0,27,28,27,0
AMEALCO DE BONFIL,30,973,486,121,209,0,23,48,23,0
AMEALCO DE BONFIL,31,526,300,14,224,0,22,6,22,0
AMEALCO DE BONFIL,32,772,378,68,156,0,88,6,88,0
AMEALCO DE BONFIL,33,1550,717,187,287,0,59,26,59,0
AMEALCO DE BONFIL,34,621,324,170,122,0,7,14,7,0
ARROYO SECO,35,1094,718,91,425,74,1,0,0,0
ARROYO SECO,36,580,335,117,179,2,2,0,0,0
ARROYO SECO,37,227,151,7,98,4,0,0,0,0
ARROYO SECO,38,222,121,2,76,8,0,0,0,0
ARROYO SECO,39,1296,758,62,429,138,1,0,0,0
ARROYO SECO,40,277,184,5,101,42,0,0,0,0
ARROYO SECO,41,805,537,28,219,184,1,0,0,0
ARROYO SECO,42,700,439,33,213,140,0,0,0,0
ARROYO SECO,43,666,434,34,282,29,0,0,0,0
ARROYO SECO,44,303,222,36,61,55,1,0,0,0
ARROYO SECO,45,1533,984,64,373,239,4,0,0,0
CADEREYTA DE MONTES,46,1554,993,389,140,134,3,243,3,0
CADEREYTA DE MONTES,47,1169,840,367,103,255,3,36,3,0
CADEREYTA DE MONTES,48,935,645,275,86,182,1,17,1,0
CADEREYTA DE MONTES,49,1210,769,447,138,109,2,34,2,0
CADEREYTA DE MONTES,50,1536,962,553,201,125,5,11,5,0
CADEREYTA DE MONTES,51,1199,792,339,179,102,2,14,2,0
CADEREYTA DE MONTES,52,763,361,138,128,32,5,5,5,0
CADEREYTA DE MONTES,53,618,304,158,62,19,1,2,1,0
CADEREYTA DE MONTES,54,540,326,81,78,21,4,10,4,0
CADEREYTA DE MONTES,55,878,556,127,268,37,2,4,2,0
CADEREYTA DE MONTES,56,748,421,74,96,76,22,7,22,0
CADEREYTA DE MONTES,57,548,348,110,108,23,2,3,2,0
CADEREYTA DE MONTES,58,741,463,119,202,23,1,4,1,0
CADEREYTA DE MONTES,59,808,426,84,173,57,4,10,4,0
