SECCION,NOMBRE,DISTRITO,LISTANOMINAL,PAN,PRI,PRD,Convergencia,NA,PSD,PT,PVEM,NULOS,VALIDOS,TOTAL
1,AMEALCO DE BONFIL,8,1040,356,295,4,36,,,9,9,15,709,724
2,AMEALCO DE BONFIL,8,838,243,261,3,41,,,1,4,11,553,564
3,AMEALCO DE BONFIL,8,1289,357,313,6,75,,,18,15,19,784,803
4,AMEALCO DE BONFIL,8,1445,385,398,17,37,,,26,7,20,870,890
5,AMEALCO DE BONFIL,8,1219,371,354,12,51,,,10,9,14,807,821
6,AMEALCO DE BONFIL,8,809,241,149,17,10,,,5,11,13,433,446
7,AMEALCO DE BONFIL,8,563,125,150,18,11,,,10,5,21,319,340
8,AMEALCO DE BONFIL,8,1039,253,228,17,31,,,9,7,26,545,571
9,AMEALCO DE BONFIL,8,1606,409,184,54,25,,,10,12,46,694,740
10,AMEALCO DE BONFIL,8,969,275,124,2,102,,,6,3,22,512,534
11,AMEALCO DE BONFIL,8,950,306,143,19,72,,,7,8,26,555,581
12,AMEALCO DE BONFIL,8,655,217,138,12,19,,,8,8,16,402,418
13,AMEALCO DE BONFIL,8,1426,590,141,12,99,,,9,12,30,863,893
14,AMEALCO DE BONFIL,8,1675,649,278,26,66,,,23,15,93,1057,1150
15,AMEALCO DE BONFIL,8,1434,403,250,23,59,,,8,10,50,753,803
16,AMEALCO DE BONFIL,8,910,372,103,11,49,,,7,5,27,547,574
17,AMEALCO DE BONFIL,8,1065,426,149,8,56,,,4,4,15,647,662
18,AMEALCO DE BONFIL,8,559,236,75,2,21,,,1,4,14,339,353
19,AMEALCO DE BONFIL,8,2433,637,312,79,111,,,14,15,71,1168,1239
20,AMEALCO DE BONFIL,8,753,284,100,14,33,,,6,4,22,441,463
21,AMEALCO DE BONFIL,8,476,157,70,26,10,,,13,1,13,277,290
22,AMEALCO DE BONFIL,8,1581,491,243,25,49,,,9,16,65,833,898
23,AMEALCO DE BONFIL,8,1666,449,319,39,88,,,14,11,31,920,951
24,AMEALCO DE BONFIL,8,1603,467,200,43,343,,,11,7,55,1071,1126
25,AMEALCO DE BONFIL,8,1236,414,271,22,32,,,4,3,28,746,774
26,AMEALCO DE BONFIL,8,1177,584,110,9,32,,,12,9,28,756,784
27,AMEALCO DE BONFIL,8,1043,223,184,29,28,,,2,14,45,480,525
28,AMEALCO DE BONFIL,8,802,256,154,17,7,,,5,8,16,447,463
29,AMEALCO DE BONFIL,8,889,154,144,41,34,,,5,6,29,384,413
30,AMEALCO DE BONFIL,8,1223,303,182,55,59,,,4,6,38,609,647
31,AMEALCO DE BONFIL,8,751,85,169,19,93,,,3,2,27,371,398
32,AMEALCO DE BONFIL,8,1079,93,233,37,100,,,1,5,40,469,509
33,AMEALCO DE BONFIL,8,1976,270,344,190,93,,,6,11,88,914,1002
34,AMEALCO DE BONFIL,8,739,225,47,38,31,,,5,2,21,348,369
35,ARROYO SECO,15,1428,443,321,133,1,7,,8,21,19,934,953
36,ARROYO SECO,15,736,244,59,68,3,1,,3,3,23,381,404
37,ARROYO SECO,15,300,119,19,10,1,0,,1,7,2,157,159
38,ARROYO SECO,15,237,39,63,30,0,0,,0,0,5,132,137
39,ARROYO SECO,15,1812,384,312,410,2,0,,6,7,44,1121,1165
40,ARROYO SECO,15,294,65,54,45,0,1,,1,1,15,167,182
41,ARROYO SECO,15,929,221,110,249,2,1,,6,4,25,593,618
42,ARROYO SECO,15,930,202,154,184,1,7,,17,2,22,567,589
43,ARROYO SECO,15,843,274,174,62,0,0,,8,0,15,518,533
44,ARROYO SECO,15,322,43,68,108,0,1,,0,1,13,221,234
45,ARROYO SECO,15,2069,443,340,407,3,56,,48,3,38,1300,1338
46,CADEREYTA DE MONTES,14,2322,623,361,36,23,,2,353,33,51,1431,1482
47,CADEREYTA DE MONTES,14,1691,578,351,11,14,,4,112,11,42,1081,1123
48,CADEREYTA DE MONTES,14,1168,354,338,13,7,,1,72,8,11,793,804
49,CADEREYTA DE MONTES,14,1763,475,365,18,8,,1,170,16,30,1053,1083
50,CADEREYTA DE MONTES,14,2150,446,450,29,5,,6,308,27,32,1271,1303
51,CADEREYTA DE MONTES,14,1647,381,438,10,59,,0,142,14,37,1044,1081
52,CADEREYTA DE MONTES,14,1067,194,76,10,0,,3,14,8,15,305,320
53,CADEREYTA DE MONTES,14,875,222,82,4,6,,5,8,9,16,336,352
54,CADEREYTA DE MONTES,14,768,184,188,6,23,,3,14,6,32,424,456
55,CADEREYTA DE MONTES,14,1131,279,386,12,3,,2,7,21,15,710,725
56,CADEREYTA DE MONTES,14,955,290,112,24,12,,3,24,4,38,469,507
57,CADEREYTA DE MONTES,14,660,220,105,10,9,,0,16,15,28,375,403
58,CADEREYTA DE MONTES,14,975,257,165,16,6,,0,20,7,18,471,489
59,CADEREYTA DE MONTES,14,938,166,148,14,8,,2,19,9,48,366,414
