Municipio,Sección,Lista Nominal,Total,PAN,PRI,PRD,PT,PVEM
AMEALCO DE BONFIL,1,852,638,481,104,12,0,3
AMEALCO DE BONFIL,2,726,530,363,134,1,3,4
AMEALCO DE BONFIL,3,899,658,463,155,10,1,1
AMEALCO DE BONFIL,4,922,647,429,166,12,1,6
AMEALCO DE BONFIL,5,767,566,342,149,24,1,5
AMEALCO DE BONFIL,6,600,386,122,219,11,5,10
AMEALCO DE BONFIL,7,329,250,83,126,12,9,4
AMEALCO DE BONFIL,8,721,537,231,200,8,9,11
AMEALCO DE BONFIL,9,971,673,221,376,20,11,4
AMEALCO DE BONFIL,10,693,448,167,245,10,2,4
AMEALCO DE BONFIL,11,506,353,155,134,7,2,5
AMEALCO DE BONFIL,12,502,376,71,168,33,4,5
AMEALCO DE BONFIL,13,1071,716,280,275,67,11,13
AMEALCO DE BONFIL,14,1009,762,224,430,14,6,13
AMEALCO DE BONFIL,15,827,380,86,151,38,8,3
AMEALCO DE BONFIL,16,652,430,266,85,35,3,3
AMEALCO DE BONFIL,17,710,506,176,57,59,4,5
AMEALCO DE BONFIL,18,428,293,107,98,33,3,1
AMEALCO DE BONFIL,19,1154,477,112,93,38,6,6
AMEALCO DE BONFIL,20,595,400,228,84,16,6,4
AMEALCO DE BONFIL,21,337,218,65,87,6,6,1
AMEALCO DE BONFIL,22,1024,609,199,160,74,7,13
AMEALCO DE BONFIL,23,1152,700,136,372,19,9,2
AMEALCO DE BONFIL,24,950,673,225,264,11,4,8
AMEALCO DE BONFIL,25,851,557,80,243,14,30,6
AMEALCO DE BONFIL,26,840,563,142,176,11,6,5
AMEALCO DE BONFIL,27,677,0,0,0,0,0,0
AMEALCO DE BONFIL,28,621,353,121,178,16,4,4
AMEALCO DE BONFIL,29,588,294,10,117,8,21,1
AMEALCO DE BONFIL,30,888,483,61,207,28,4,3
AMEALCO DE BONFIL,31,470,244,8,136,21,9,2
AMEALCO DE BONFIL,32,632,278,6,77,50,7,2
AMEALCO DE BONFIL,33,1252,335,13,101,22,4,3
AMEALCO DE BONFIL,34,580,370,51,159,73,5,5
ARROYO SECO,35,1016,716,14,428,163,4,0
ARROYO SECO,36,519,344,3,192,10,1,0
ARROYO SECO,37,188,130,5,99,14,0,0
ARROYO SECO,38,203,141,2,106,22,1,0
ARROYO SECO,39,1044,649,7,448,137,0,0
ARROYO SECO,40,275,181,2,92,56,0,0
ARROYO SECO,41,714,551,8,286,215,9,0
ARROYO SECO,42,610,436,4,225,179,0,0
ARROYO SECO,43,571,418,9,315,86,0,0
ARROYO SECO,44,268,215,4,132,55,3,0
ARROYO SECO,45,1313,865,30,510,268,4,0
CADEREYTA DE MONTES,46,1347,869,385,330,52,9,0
CADEREYTA DE MONTES,47,1056,741,263,305,26,8,0
CADEREYTA DE MONTES,48,886,557,199,239,22,4,0
CADEREYTA DE MONTES,49,1066,685,326,260,28,5,0
CADEREYTA DE MONTES,50,1358,857,283,376,46,10,3
CADEREYTA DE MONTES,51,1079,702,212,322,31,5,0
CADEREYTA DE MONTES,52,590,150,0,37,17,4,0
CADEREYTA DE MONTES,53,519,236,29,31,43,10,0
CADEREYTA DE MONTES,54,492,328,64,156,21,29,0
CADEREYTA DE MONTES,55,819,534,147,311,26,1,0
CADEREYTA DE MONTES,56,652,352,95,75,147,2,0
CADEREYTA DE MONTES,57,511,345,72,118,49,23,0
CADEREYTA DE MONTES,58,668,347,58,124,18,2,0
CADEREYTA DE MONTES,59,739,394,38,226,31,8,0
CADEREYTA DE MONTES,60,947,460,119,171,72,6,0
CADEREYTA DE MONTES,61,1194,844,554,131,18,74,0
CADEREYTA DE MONTES,62,279,158,58,69,2,12,0
CADEREYTA DE MONTES,63,565,318,55,189,22,3,0
CADEREYTA DE MONTES,64,503,339,149,120,3,42,0
CADEREYTA DE MONTES,65,961,640,109,410,18,36,0
CADEREYTA DE MONTES,66,1676,1219,354,576,83,33,0
CADEREYTA DE MONTES,67,598,317,28,165,24,2,0
CADEREYTA DE MONTES,68,368,230,11,171,7,2,0
CADEREYTA DE MONTES,69,1269,879,239,524,50,2,0
CADEREYTA DE MONTES,70,1625,1051,421,413,59,19,0
CADEREYTA DE MONTES,71,1149,763,248,392,58,12,0
CADEREYTA DE MONTES,72,795,529,180,183,30,2,0
CADEREYTA DE MONTES,73,1424,743,42,306,244,7,0
CADEREYTA DE MONTES,74,443,278,15,179,49,5,0
CADEREYTA DE MONTES,75,1021,639,137,331,45,25,0
COLÓN,76,1018,831,389,333,74,24,0
COLÓN,77,920,646,344,224,53,13,0
COLÓN,78,845,573,304,206,38,12,0
COLÓN,79,1342,862,399,297,118,41,0
COLÓN,80,424,280,26,227,18,6,0
COLÓN,81,879,558,70,442,14,29,0
COLÓN,82,690,418,81,268,49,16,0
COLÓN,83,1351,816,176,511,28,95,0
COLÓN,84,666,390,54,259,45,28,0
COLÓN,85,582,427,199,199,11,8,0
COLÓN,86,750,443,32,307,66,36,0
COLÓN,87,983,685,251,374,28,29,0
COLÓN,88,1313,899,320,486,33,14,0
COLÓN,89,1374,842,237,439,52,18,0
COLÓN,90,627,467,46,418,2,0,0
COLÓN,91,759,545,68,449,12,3,0
COLÓN,92,1806,1017,311,506,122,53,0
COLÓN,93,1524,892,315,451,83,13,0
COLÓN,94,1207,756,343,366,20,23,0
COLÓN,95,918,540,280,188,9,6,0
COLÓN,96,1290,868,225,396,61,128,0
CORREGIDORA,97,1277,904,317,299,224,3,15
CORREGIDORA,98,1380,945,276,359,240,10,13
CORREGIDORA,99,1408,940,223,349,280,23,23
CORREGIDORA,100,1398,1049,456,361,158,3,45
CORREGIDORA,101,1223,923,263,464,144,12,22
CORREGIDORA,102,1200,874,260,353,175,24,25
CORREGIDORA,103,1213,824,250,340,160,20,18
CORREGIDORA,104,1275,879,314,273,205,28,24
CORREGIDORA,105,1394,1001,221,396,310,4,35
CORREGIDORA,106,1336,911,287,247,281,26,30
CORREGIDORA,107,1233,858,339,222,217,11,20
CORREGIDORA,108,1201,767,360,211,117,19,15
CORREGIDORA,109,1227,836,422,206,146,17,14
CORREGIDORA,110,1286,883,376,278,150,15,30
CORREGIDORA,111,1157,805,338,247,153,9,21
CORREGIDORA,112,1769,1253,663,269,194,26,44
CORREGIDORA,113,2694,2015,1197,434,257,10,66
CORREGIDORA,114,1379,974,302,454,155,23,14
CORREGIDORA,115,1841,1358,603,429,132,86,15
CORREGIDORA,116,860,626,183,277,96,21,15
CORREGIDORA,117,440,327,63,189,54,3,5
CORREGIDORA,118,1086,716,39,453,170,9,2
CORREGIDORA,119,562,439,44,305,55,10,0
CORREGIDORA,120,1334,865,75,452,250,28,10
CORREGIDORA,121,1548,1065,81,481,426,12,5
EZEQUIEL MONTES,122,1040,726,395,250,26,3,0
EZEQUIEL MONTES,123,707,528,330,169,8,0,0
EZEQUIEL MONTES,124,938,725,452,250,8,2,0
EZEQUIEL MONTES,125,880,649,464,158,16,0,0
EZEQUIEL MONTES,126,1036,795,492,271,12,0,0
EZEQUIEL MONTES,127,868,654,409,210,18,2,0
EZEQUIEL MONTES,128,1203,893,555,286,20,1,0
EZEQUIEL MONTES,129,755,538,254,279,3,1,0
EZEQUIEL MONTES,130,757,529,269,235,7,4,0
EZEQUIEL MONTES,131,560,414,215,169,4,1,0
EZEQUIEL MONTES,132,574,414,227,138,4,20,0
EZEQUIEL MONTES,133,829,549,315,191,19,1,0
EZEQUIEL MONTES,134,656,484,283,162,16,3,0
EZEQUIEL MONTES,135,775,563,238,304,6,2,0
EZEQUIEL MONTES,136,721,466,321,115,9,1,0
EZEQUIEL MONTES,137,695,537,209,278,9,3,0
EZEQUIEL MONTES,138,353,307,117,177,2,1,0
HUIMILPAN,139,1161,752,407,248,51,2,0
HUIMILPAN,140,867,565,268,224,26,3,0
HUIMILPAN,141,1148,773,175,473,61,22,0
HUIMILPAN,142,467,297,91,156,28,14,0
HUIMILPAN,143,928,476,179,215,13,38,0
HUIMILPAN,144,965,586,147,322,31,22,0
HUIMILPAN,145,1003,714,162,392,52,41,0
HUIMILPAN,146,573,359,144,172,16,6,0
HUIMILPAN,147,1425,745,237,338,98,8,0
HUIMILPAN,148,728,481,33,331,30,60,0
HUIMILPAN,149,695,453,146,235,40,2,0
HUIMILPAN,150,1009,548,167,320,34,8,0
HUIMILPAN,151,682,383,181,138,38,4,0
HUIMILPAN,152,1220,764,412,221,79,4,0
JALPAN DE SERRA,153,1061,718,167,419,89,7,0
JALPAN DE SERRA,154,1153,737,157,448,68,3,0
JALPAN DE SERRA,155,760,496,85,282,69,4,0
JALPAN DE SERRA,156,887,576,155,350,39,2,0
JALPAN DE SERRA,157,586,321,29,180,31,7,0
JALPAN DE SERRA,158,851,442,54,277,26,13,0
JALPAN DE SERRA,159,354,226,28,158,5,2,0
JALPAN DE SERRA,160,423,299,27,178,50,10,0
JALPAN DE SERRA,161,708,420,62,235,69,3,0
JALPAN DE SERRA,162,488,313,35,194,44,5,0
JALPAN DE SERRA,163,726,432,45,335,31,8,0
JALPAN DE SERRA,164,587,280,31,142,18,8,0
JALPAN DE SERRA,165,433,244,20,141,49,7,0
JALPAN DE SERRA,166,452,282,40,119,76,16,0
JALPAN DE SERRA,167,931,518,100,288,28,42,0
LANDA DE MATAMOROS,168,1082,677,69,512,39,1,0
LANDA DE MATAMOROS,169,554,325,54,207,32,2,0
LANDA DE MATAMOROS,170,516,326,26,212,12,6,0
LANDA DE MATAMOROS,171,992,618,105,424,21,2,0
LANDA DE MATAMOROS,172,484,331,28,248,10,8,0
LANDA DE MATAMOROS,173,401,264,172,74,1,2,0
LANDA DE MATAMOROS,174,695,395,40,268,46,4,0
LANDA DE MATAMOROS,175,578,410,123,241,5,2,0
LANDA DE MATAMOROS,176,1114,781,363,341,22,9,0
LANDA DE MATAMOROS,177,369,267,50,160,36,0,0
LANDA DE MATAMOROS,178,356,230,23,173,5,0,0
LANDA DE MATAMOROS,179,242,193,97,77,3,1,0
LANDA DE MATAMOROS,180,956,680,175,423,19,4,1
LANDA DE MATAMOROS,181,280,209,7,175,19,0,0
EL MARQUÉS,182,1362,853,475,213,25,54,0
EL MARQUÉS,183,1462,994,510,266,37,26,0
EL MARQUÉS,184,1113,759,387,256,33,9,0
EL MARQUÉS,185,1305,904,412,327,48,13,0
EL MARQUÉS,186,335,228,6,172,12,7,0
EL MARQUÉS,187,480,281,31,131,21,73,0
EL MARQUÉS,188,1577,914,80,509,30,205,0
EL MARQUÉS,189,1211,749,64,403,196,22,2
EL MARQUÉS,190,1356,800,205,263,53,188,0
EL MARQUÉS,191,1692,1070,165,518,109,153,0
EL MARQUÉS,192,1174,722,100,407,75,15,0
EL MARQUÉS,193,858,567,59,428,37,9,0
EL MARQUÉS,194,751,468,62,307,20,12,0
EL MARQUÉS,195,1319,919,111,565,123,23,0
EL MARQUÉS,196,1295,835,99,346,151,9,2
EL MARQUÉS,197,1053,636,135,323,41,66,0
EL MARQUÉS,198,1071,750,189,324,53,111,0
EL MARQUÉS,199,1235,815,186,425,55,30,0
EL MARQUÉS,200,1000,333,118,127,37,15,0
EL MARQUÉS,201,1488,1036,222,479,113,15,0
EL MARQUÉS,202,1632,896,249,465,107,37,0
EL MARQUÉS,203,1650,1154,460,383,113,111,0
EL MARQUÉS,204,1314,922,182,435,89,93,0
EL MARQUÉS,205,1600,1133,464,334,113,59,0
EL MARQUÉS,206,1017,722,285,185,57,21,0
EL MARQUÉS,207,1177,824,386,236,40,23,0
EL MARQUÉS,208,1366,912,263,248,61,207,0
EL MARQUÉS,209,894,655,150,367,20,74,0
PEDRO ESCOBEDO,210,935,702,322,297,47,5,8
PEDRO ESCOBEDO,211,964,710,428,222,37,3,6
PEDRO ESCOBEDO,212,964,773,296,411,36,6,3
PEDRO ESCOBEDO,213,893,691,477,158,27,2,11
PEDRO ESCOBEDO,214,898,625,273,231,93,3,3
PEDRO ESCOBEDO,215,1020,677,275,355,18,8,6
PEDRO ESCOBEDO,216,1297,969,482,261,39,43,108
PEDRO ESCOBEDO,217,1017,737,277,379,36,0,7
PEDRO ESCOBEDO,218,687,487,200,242,12,1,7
PEDRO ESCOBEDO,219,873,671,250,318,57,2,11
PEDRO ESCOBEDO,220,919,673,284,297,55,5,8
PEDRO ESCOBEDO,221,1017,611,297,183,49,2,8
PEDRO ESCOBEDO,222,1362,937,370,401,82,21,6
PEDRO ESCOBEDO,223,1129,885,386,357,98,18,8
PEDRO ESCOBEDO,224,1407,1141,421,456,192,11,23
PEDRO ESCOBEDO,225,995,767,362,287,81,0,16
PEDRO ESCOBEDO,226,1148,896,188,525,109,14,14
PEDRO ESCOBEDO,227,1255,905,466,320,52,8,3
PEDRO ESCOBEDO,228,1038,745,373,261,44,9,1
PEDRO ESCOBEDO,229,520,389,72,233,32,26,3
PEDRO ESCOBEDO,230,1864,1373,474,665,61,31,13
PEDRO ESCOBEDO,231,1363,966,261,450,76,130,11
PEDRO ESCOBEDO,232,445,310,42,206,20,1,3
PEDRO ESCOBEDO,233,952,741,370,279,63,1,7
PEÑAMILLER,234,854,630,5,255,341,0,0
PEÑAMILLER,235,304,233,3,183,31,0,0
PEÑAMILLER,236,267,202,6,156,29,0,0
PEÑAMILLER,237,1106,720,14,495,134,0,0
PEÑAMILLER,238,413,237,6,118,96,0,0
PEÑAMILLER,239,341,213,4,122,80,0,0
PEÑAMILLER,240,819,601,41,409,86,0,0
PEÑAMILLER,241,720,452,2,335,95,0,1
PEÑAMILLER,242,696,435,56,320,38,0,0
PEÑAMILLER,243,445,303,4,145,136,0,0
PEÑAMILLER,244,305,227,4,147,68,0,0
PEÑAMILLER,245,1103,791,3,585,166,0,0
PEÑAMILLER,246,88,64,0,55,6,0,0
PEÑAMILLER,247,1038,729,8,563,150,0,0
PINAL DE AMOLES,248,1052,724,15,325,41,3,0
PINAL DE AMOLES,249,656,472,10,235,15,1,0
PINAL DE AMOLES,250,961,645,50,446,35,1,0
PINAL DE AMOLES,251,971,653,30,446,64,2,2
PINAL DE AMOLES,252,474,291,77,146,7,6,0
PINAL DE AMOLES,253,1160,737,174,370,12,6,0
PINAL DE AMOLES,254,756,481,27,390,3,0,0
PINAL DE AMOLES,255,255,129,4,102,1,0,0
PINAL DE AMOLES,256,584,361,9,268,16,15,0
PINAL DE AMOLES,257,271,194,8,136,4,2,0
PINAL DE AMOLES,258,807,634,41,438,45,16,0
PINAL DE AMOLES,259,699,459,41,324,18,3,0
PINAL DE AMOLES,260,862,442,111,165,34,7,0
PINAL DE AMOLES,261,822,505,33,377,13,9,0
