CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA_PT,NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,NVA_ALIANZA_PT,PVEM_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,PAN_PRD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,1,2,323,344,2,18,20,10,2,6,,0,,,,,,,,6,,,,,,,,,,,,1,731,12,744,1019
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,2,2,227,311,3,15,10,7,1,4,,0,,,,,,,,1,,,,,,,,,,,,1,579,20,600,828
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,3,3,442,542,16,16,21,17,4,5,,5,,,,,,,,4,,,,,,,,,,,,0,1072,23,1095,1405
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,4,3,418,487,14,17,41,7,6,14,,9,,,,,,,,2,,,,,,,,,,,,1,1015,22,1038,1569
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,5,2,406,479,8,18,22,5,5,12,,4,,,,,,,,2,,,,,,,,,,,,2,961,34,997,1427
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,6,2,290,235,3,2,4,9,1,1,,4,,,,,,,,1,,,,,,,,,,,,0,550,22,572,873
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,7,1,243,188,3,2,5,6,2,4,,4,,,,,,,,0,,,,,,,,,,,,0,457,31,488,684
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,8,2,442,273,6,1,6,3,8,1,,3,,,,,,,,0,,,,,,,,,,,,0,743,34,777,1148
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,9,3,598,242,9,0,9,13,5,6,,6,,,,,,,,0,,,,,,,,,,,,0,888,42,930,1691
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,10,2,256,320,2,2,6,6,2,1,,1,,,,,,,,1,,,,,,,,,,,,0,597,27,624,1029
