ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA_PVEM,PRI_NVA_ALIANZA_PT,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
22,QUERETARO,1,AMEALCO DE BONFIL,34,84,14051,,391,183,343,406,220,174,,,,,,,12230,,,0,0,0,0,0,0,0,17,27998,1218,29233,42416,0.6892
22,QUERETARO,2,ARROYO SECO,11,22,3959,,475,,,,,201,,,,,,,2655,73,,0,0,0,0,0,0,0,0,7363,186,7549,10479,0.7204
22,QUERETARO,3,CADEREYTA DE MONTES,30,82,9586,,217,362,587,2211,261,298,496,,,,,,7095,,,0,0,0,6659,0,0,0,15,27772,1267,29054,46624,0.6232
22,QUERETARO,4,COLON,21,65,9682,7788,563,4261,,1295,413,299,273,297,,,,,,,,0,0,0,0,0,0,0,11,24871,989,25871,39490,0.6551
22,QUERETARO,5,CORREGIDORA,62,187,34164,,1741,537,,,1383,2753,1289,593,,17828,,,,,,0,0,0,0,0,2720,0,77,63008,2520,65605,113775,0.5766
22,QUERETARO,6,EL MARQUES,33,145,22848,,1461,603,,,800,1688,,1043,,25611,,,,,,0,0,0,0,0,0,567,115,54621,1375,56111,88846,0.6316
22,QUERETARO,7,EZEQUIEL MONTES,17,48,4517,,1409,487,,1816,72,611,420,,,,5577,,,,,0,553,0,0,2800,0,0,7,18262,540,18809,28020,0.6713
22,QUERETARO,8,HUIMILPAN,14,43,,,,,,,1263,158,,127,,4225,,,,,3993,0,0,0,0,0,0,0,319,9766,600,10685,25116,0.4254
22,QUERETARO,9,JALPAN DE SERRA,15,41,6649,,136,,100,52,142,159,,,,,,,5540,,,0,0,0,0,0,0,0,2,12778,417,13197,19170,0.6884
22,QUERETARO,10,LANDA DE MATAMOROS,14,30,4656,,,,288,188,,95,,,,,,,4596,,,0,0,0,0,0,0,0,1,9823,395,10219,14989,0.6818
22,QUERETARO,11,PEDRO ESCOBEDO,24,80,6581,,9303,1142,,,307,1367,,,10526,,,,,,,0,0,0,0,0,0,0,9,29226,945,30180,46464,0.6495
22,QUERETARO,12,PEÑAMILLER,14,30,4369,,115,343,499,,,28,,55,,,,4316,,,,0,0,0,0,0,0,0,0,9725,317,10042,13170,0.7625
22,QUERETARO,13,PINAL DE AMOLES,18,39,6939,,222,128,63,65,22,146,,,,,,,4348,,,0,0,0,0,0,0,0,1,11933,475,12409,18555,0.6688
22,QUERETARO,14,QUERETARO,400,1085,172578,,6888,5575,,,6381,15838,6095,3851,,110440,,,,,,0,0,0,0,0,0,0,353,327646,12121,340120,650827,0.5226
22,QUERETARO,15,SAN JOAQUIN,7,15,1722,,181,,145,,,55,,,,,,,2003,,,0,0,0,0,0,0,0,2,4106,167,4275,6317,0.6767
22,QUERETARO,16,SAN JUAN DEL RIO,102,316,40600,,1504,987,,,2261,2536,8964,1275,,37065,,,,,,0,0,0,0,0,0,0,101,95192,3195,98488,183073,0.5380
22,QUERETARO,17,TEQUISQUIAPAN,30,81,5279,,710,1211,,,988,1875,,,,,,,8582,12028,,0,0,0,0,0,0,0,18,30673,1212,31903,47927,0.6657
22,QUERETARO,18,TOLIMAN,13,34,1826,2380,1022,158,2446,2406,123,199,490,113,,,,,,,,487,0,1518,0,0,0,0,0,13168,625,13793,18529,0.7444
