id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD-ADC,PT-PC,Coalicion,NULOS,TOTAL
6,2/7/2006,12,Ayuntamientos,6,0,1,C,Contigua,0,IXTLAHUACAN,,6,IXTLAHUACAN,471,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,192,13,134,18,164,0,15,344
6,2/7/2006,12,Ayuntamientos,6,0,1,B,Basica,0,IXTLAHUACAN,,6,IXTLAHUACAN,473,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,199,11,168,21,60,0,16,276
6,2/7/2006,12,Ayuntamientos,6,0,1,B,Basica,0,MANZANILLO,,7,MANZANILLO,581,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,208,155,166,15,4,1,3,344
6,2/7/2006,12,Ayuntamientos,6,0,1,B,Basica,0,MANZANILLO,,7,MANZANILLO,739,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,210,172,188,13,9,2,8,392
6,2/7/2006,12,Ayuntamientos,6,0,1,C,Contigua,0,MANZANILLO,,7,MANZANILLO,583,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,211,130,143,25,7,2,6,313
6,2/7/2006,12,Ayuntamientos,6,0,1,B,Basica,0,MANZANILLO,,7,MANZANILLO,387,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,218,117,100,15,13,1,4,250
6,2/7/2006,12,Ayuntamientos,6,0,1,B,Basica,0,MANZANILLO,,7,MANZANILLO,528,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,225,134,124,9,1,0,19,287
6,2/7/2006,12,Ayuntamientos,6,0,1,E,Extraordinaria,0,MANZANILLO,,7,MANZANILLO,150,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,231,59,35,4,0,0,4,102
6,2/7/2006,12,Ayuntamientos,6,0,1,B,Basica,0,MANZANILLO,,7,MANZANILLO,612,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,232,186,181,13,8,2,10,400
6,2/7/2006,12,Ayuntamientos,6,0,1,C,Contigua,0,MANZANILLO,,7,MANZANILLO,512,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,235,115,117,22,0,2,12,268
