ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PD,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,DURANGO,48,147,8869,8309,2955,2179,5513,4074,2955,1330,11724,1141,,,,49049,49,2304,51402,95637,
10,DURANGO,2,DURANGO,66,159,8979,9058,2244,1874,5356,3075,2244,1288,11523,771,2371,,,48783,59,2083,50925,94281,
10,DURANGO,3,DURANGO,48,148,8932,11378,2729,1730,5070,2938,2729,1647,10525,989,,,,48667,30,2147,50844,94875,
10,DURANGO,4,DURANGO,66,166,8892,7980,2716,1509,5797,3143,2716,995,10021,675,,4787,,49231,75,2420,51726,95844,
10,DURANGO,5,DURANGO,101,180,11520,10933,4243,3262,5294,4159,3637,1811,12901,1178,,,,58938,57,2580,61575,100043,
10,DURANGO,6,PUEBLO NUEVO,115,165,6610,8439,1836,1867,3150,649,1836,848,8458,2223,,,,35916,27,1981,37924,71660,
10,DURANGO,7,SANTIAGO PAPASQUIARO,151,195,6663,10264,2220,1149,2078,540,2220,949,10212,522,,,,36817,14,1957,38788,75368,
10,DURANGO,8,EL ORO,182,234,8832,12121,3090,1252,2538,485,2649,1006,10441,545,,,,42959,4,2342,45305,86926,
10,DURANGO,9,MAPIMI,107,165,7266,11219,1923,819,2785,784,1923,1191,13663,836,,,,42409,22,2159,44590,76330,
10,DURANGO,10,GOMEZ PALACIO,73,141,6012,7963,1288,898,2047,2200,1288,1034,16911,1820,,,,41461,16,1925,43402,82336,
10,DURANGO,11,GOMEZ PALACIO,77,161,8075,11249,1513,1781,2113,1135,1513,1194,20307,1416,,,,50296,41,2195,52532,91358,
10,DURANGO,12,GOMEZ PALACIO,56,136,7526,9809,1410,1557,2043,1124,1410,986,18631,1199,,,,45695,28,1852,47575,82966,
10,DURANGO,13,LERDO,52,139,7353,9769,1608,1028,1907,629,1608,682,14156,583,,,6512,45835,29,1652,47516,81931,
10,DURANGO,14,CUENCAME,112,174,7286,10532,2049,5115,3039,1409,2049,954,7926,3625,,,,43984,10,2851,46845,81812,
10,DURANGO,15,NOMBRE DE DIOS,100,169,4371,20749,971,6680,4504,1234,971,663,7613,808,,,,48564,11,2609,51184,84053,
