ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,C_COMUN_PAN_PRD_PD,PRI,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,CANATLAN,37,54,4223,2848,434,1694,278,375,3543,345,130,,,,13870,3,752,14625,25042,
10,DURANGO,2,CANELAS,12,13,383,394,19,146,15,14,415,15,6,,,,1407,0,52,1459,3149,
10,DURANGO,3,CONETO DE COMONFORT,9,11,829,594,17,114,19,10,168,16,4,,,,1771,0,74,1845,3411,
10,DURANGO,4,CUENCAME,37,54,2977,2867,870,612,267,574,2822,2392,134,,,,13515,3,853,14371,26223,
10,DURANGO,5,DURANGO,329,800,76360,47658,10554,25653,17389,7071,55315,4754,2756,2371,4787,,254668,270,11534,266472,480680,
10,DURANGO,6,SIMON BOLIVAR,15,22,1872,1863,191,127,33,26,365,87,14,,,,4578,1,263,4842,7751,
10,DURANGO,7,GOMEZ PALACIO,206,438,30035,29021,4236,5867,4459,3214,55511,4435,674,,,,137452,85,5972,143509,256660,
10,DURANGO,8,GUADALUPE VICTORIA,26,54,3512,3016,2949,1712,648,226,2932,531,135,,,,15661,4,986,16651,29624,
10,DURANGO,9,GUANACEVI,21,28,1459,1792,63,243,44,92,492,50,16,,,,4251,0,199,4450,8084,
10,DURANGO,10,HIDALGO,7,10,520,606,18,220,16,24,423,49,10,,,,1886,2,109,1997,3319,
10,DURANGO,11,INDE,16,17,912,875,34,84,22,17,298,6,2,,,,2250,0,141,2391,4391,
10,DURANGO,12,LERDO,79,190,14304,13874,1377,2840,899,929,18895,851,315,,,6512,60796,32,2437,63265,108732,
10,DURANGO,13,MAPIMI,24,42,2222,2919,195,568,238,188,3297,235,51,,,,9913,5,532,10450,19027,
10,DURANGO,14,MEZQUITAL,32,61,744,9323,4079,1892,82,97,1417,64,72,,,,17770,2,1089,18861,28358,
10,DURANGO,15,NAZAS,17,20,1362,1270,137,391,89,74,1804,113,57,,,,5297,12,276,5585,8829,
10,DURANGO,16,NOMBRE DE DIOS,19,28,1262,2884,519,900,235,163,1462,214,70,,,,7709,2,401,8112,14367,
10,DURANGO,17,NUEVO IDEAL,29,44,2910,1881,260,507,144,195,2565,169,86,,,,8717,1,501,9219,20705,
10,DURANGO,18,OCAMPO,16,17,1327,1132,41,169,41,46,994,22,19,,,,3791,0,267,4058,6784,
10,DURANGO,19,EL ORO,22,28,1435,963,91,291,63,106,1607,62,45,,,,4663,1,224,4888,10313,
10,DURANGO,20,OTAEZ,14,16,798,655,27,95,81,15,353,25,4,,,,2053,0,114,2167,3765,
10,DURANGO,21,PANUCO DE CORONADO,16,24,2299,1547,448,468,34,37,832,43,54,,,,5762,1,266,6029,10836,
10,DURANGO,22,PEÑON BLANCO,14,20,1065,1028,583,172,383,53,1019,305,17,,,,4625,2,375,5002,8515,
10,DURANGO,23,POANAS,23,36,2208,4025,1123,761,553,213,2046,141,61,,,,11131,1,521,11653,19213,
10,DURANGO,24,PUEBLO NUEVO,45,69,4664,4137,1335,922,196,380,3056,673,92,,,,15455,23,861,16339,33121,
10,DURANGO,25,RODEO,19,25,1156,1373,180,215,38,413,1826,61,48,,,,5310,1,303,5614,9836,
10,DURANGO,26,SAN BERNARDO,11,13,246,551,23,73,23,34,459,24,9,,,,1442,0,89,1531,2730,
10,DURANGO,27,SAN DIMAS,33,42,1395,1454,98,404,175,93,1729,1205,38,,,,6591,1,368,6960,13497,
10,DURANGO,28,SAN JUAN DE GUADALUPE,12,13,1020,978,135,101,21,11,184,92,9,,,,2551,0,117,2668,4421,
10,DURANGO,29,SAN JUAN DEL RIO,23,27,1998,1413,95,215,57,56,1041,92,35,,,,5002,0,278,5280,9836,
10,DURANGO,30,SAN LUIS DEL CORDERO,4,5,465,336,3,36,10,17,95,17,3,,,,982,0,33,1015,1653,
10,DURANGO,31,SAN PEDRO DEL GALLO,5,5,308,307,5,82,4,4,114,11,3,,,,838,0,40,878,1680,
10,DURANGO,32,SANTA CLARA,8,11,938,780,387,149,57,64,438,218,23,,,,3054,0,257,3311,5278,
10,DURANGO,33,SANTIAGO PAPASQUIARO,58,81,5909,5975,437,915,187,695,3984,303,110,,,,18515,12,986,19513,37582,
10,DURANGO,34,SUCHIL,10,13,302,1360,320,352,27,41,435,19,25,,,,2881,0,108,2989,5221,
10,DURANGO,35,TAMAZULA,30,37,1740,1582,108,386,83,88,3464,67,48,,,,7566,1,356,7923,15729,
10,DURANGO,36,TEPEHUANES,24,32,1482,966,471,214,129,87,1012,61,25,,,,4447,1,281,4729,9484,
10,DURANGO,37,TLAHUALILO,23,32,2500,1676,112,315,157,637,2950,143,42,,,,8532,0,384,8916,15021,
10,DURANGO,38,TOPIA,13,16,791,692,87,217,45,50,879,51,17,,,,2829,0,168,2997,5659,
10,DURANGO,39,VICENTE GUERRERO,16,31,1797,3157,639,458,337,149,2111,370,55,,,,9073,6,490,9569,16894,
