CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,B,1,0,B,94,40,15,9,13,40,4,81,6,1,,,,,,,,,,,,,303,0,6,309,644,Acta casilla,,,http://iem.org.mx/actas/D1571B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,C,1,0,C01,104,36,21,5,5,34,4,48,3,1,,,,,,,,,,,,,261,0,16,277,644,Acta casilla,,,http://iem.org.mx/actas/D1571C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,C,2,0,C02,83,52,19,8,11,50,3,47,2,3,,,,,,,,,,,,,278,0,22,300,644,Acta casilla,,,http://iem.org.mx/actas/D1571C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,C,3,0,C03,101,40,16,6,10,45,3,67,3,0,,,,,,,,,,,,,291,0,14,305,644,Acta casilla,,,http://iem.org.mx/actas/D1571C03.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,C,4,0,C04,98,42,23,6,11,42,8,61,8,2,,,,,,,,,,,,,301,0,19,320,644,Acta casilla,,,http://iem.org.mx/actas/D1571C04.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,C,5,0,C05,97,37,20,7,7,36,3,50,7,2,,,,,,,,,,,,,266,0,20,286,644,Acta casilla,,,http://iem.org.mx/actas/D1571C05.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1572,B,1,0,B,106,68,19,8,8,45,2,70,6,1,,,,,,,,,,,,,333,0,11,344,647,Acta casilla,,,http://iem.org.mx/actas/D1572B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1572,C,1,0,C01,75,50,20,7,6,45,2,69,6,3,,,,,,,,,,,,,283,1,14,298,647,Acta casilla,,,http://iem.org.mx/actas/D1572C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1572,C,2,0,C02,75,66,17,6,9,30,4,68,9,0,,,,,,,,,,,,,284,0,16,300,646,Acta casilla,,,http://iem.org.mx/actas/D1572C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1572,C,3,0,C03,81,49,17,4,10,41,5,54,4,1,,,,,,,,,,,,,266,0,15,281,646,Acta casilla,,,http://iem.org.mx/actas/D1572C03.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1572,C,4,0,C04,103,64,19,11,8,37,5,76,8,4,,,,,,,,,,,,,335,0,16,351,646,Acta casilla,,,http://iem.org.mx/actas/D1572C04.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1573,B,1,0,B,79,61,10,11,11,17,6,50,2,1,,,,,,,,,,,,,248,0,11,259,628,Acta casilla,,,http://iem.org.mx/actas/D1573B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1573,C,1,0,C01,104,54,26,18,14,18,1,68,0,1,,,,,,,,,,,,,304,0,4,308,628,Acta casilla,,,http://iem.org.mx/actas/D1573C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1573,C,2,0,C02,117,64,13,16,5,15,3,52,4,4,,,,,,,,,,,,,293,0,12,305,628,Acta casilla,,,http://iem.org.mx/actas/D1573C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1574,B,1,0,B,43,34,10,5,3,14,8,81,4,0,,,,,,,,,,,,,202,0,8,210,369,Acta casilla,,,http://iem.org.mx/actas/D1574B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1575,B,1,0,B,56,22,8,10,2,12,0,35,0,2,,,,,,,,,,,,,147,0,10,157,393,Acta casilla,,,http://iem.org.mx/actas/D1575B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1576,B,1,0,B,210,22,0,11,11,32,3,35,10,0,,,,,,,,,,,,,334,0,0,334,702,Acta casilla,,,http://iem.org.mx/actas/D1576B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1577,B,1,0,B,113,42,15,14,12,27,12,39,4,6,,,,,,,,,,,,,284,0,12,296,559,Acta casilla,,,http://iem.org.mx/actas/D1577B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1577,C,1,0,C01,115,47,24,14,8,47,18,44,19,0,,,,,,,,,,,,,336,0,12,348,559,Acta casilla,,,http://iem.org.mx/actas/D1577C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1578,B,1,0,B,91,47,38,9,1,9,2,43,3,0,,,,,,,,,,,,,243,0,12,255,525,Acta casilla,,,http://iem.org.mx/actas/D1578B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1579,B,1,0,B,134,47,30,8,7,18,2,23,3,1,,,,,,,,,,,,,273,0,17,290,602,Acta casilla,,,http://iem.org.mx/actas/D1579B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1580,B,1,0,B,65,46,20,10,2,11,0,24,4,4,,,,,,,,,,,,,186,0,6,192,426,Acta casilla,,,http://iem.org.mx/actas/D1580B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1580,C,1,0,C01,66,44,26,11,6,10,0,32,3,2,,,,,,,,,,,,,200,0,11,211,426,Acta casilla,,,http://iem.org.mx/actas/D1580C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1581,B,1,0,B,70,29,12,6,2,4,6,29,1,0,,,,,,,,,,,,,159,0,6,165,276,Acta casilla,,,http://iem.org.mx/actas/D1581B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1582,B,1,0,B,85,43,4,5,2,41,0,12,0,0,,,,,,,,,,,,,192,0,3,195,308,Acta casilla,,,http://iem.org.mx/actas/D1582B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1583,B,1,0,B,107,93,30,8,6,21,5,53,13,5,,,,,,,,,,,,,341,0,7,348,629,Acta casilla,,,http://iem.org.mx/actas/D1583B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1583,C,1,0,C01,100,42,26,5,4,35,1,52,6,0,,,,,,,,,,,,,271,0,11,282,629,Acta casilla,,,http://iem.org.mx/actas/D1583C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1583,C,2,0,C02,100,58,20,13,7,27,1,66,13,3,,,,,,,,,,,,,308,0,16,324,629,Acta casilla,,,http://iem.org.mx/actas/D1583C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1583,C,3,0,C03,104,35,25,11,3,26,4,64,11,4,,,,,,,,,,,,,287,0,14,301,628,Acta casilla,,,http://iem.org.mx/actas/D1583C03.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1584,B,1,0,B,74,35,18,12,4,16,4,46,5,0,,,,,,,,,,,,,214,0,9,223,649,Acta casilla,,,http://iem.org.mx/actas/D1584B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1584,C,1,0,C01,58,36,8,9,6,27,2,34,5,2,,,,,,,,,,,,,187,0,9,196,649,Acta casilla,,,http://iem.org.mx/actas/D1584C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1584,C,2,0,C02,74,29,4,4,5,21,1,36,6,0,,,,,,,,,,,,,180,0,10,190,649,Acta casilla,,,http://iem.org.mx/actas/D1584C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1584,C,3,0,C03,63,28,11,8,1,22,4,35,3,1,,,,,,,,,,,,,176,0,7,183,648,Acta casilla,,,http://iem.org.mx/actas/D1584C03.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1585,B,1,0,B,25,73,16,13,2,3,2,34,0,0,,,,,,,,,,,,,168,0,11,179,383,Acta casilla,,,http://iem.org.mx/actas/D1585B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1586,B,1,0,B,24,34,30,8,5,2,1,34,0,2,,,,,,,,,,,,,140,0,10,150,413,Acta casilla,,,http://iem.org.mx/actas/D1586B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1586,C,1,0,C01,32,34,35,7,1,4,1,34,1,0,,,,,,,,,,,,,149,0,7,156,412,Acta casilla,,,http://iem.org.mx/actas/D1586C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1587,B,1,0,B,53,28,22,20,3,8,2,20,3,1,,,,,,,,,,,,,160,0,25,185,524,Acta casilla,,,http://iem.org.mx/actas/D1587B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1587,C,1,0,C01,47,46,17,24,8,7,1,42,0,1,,,,,,,,,,,,,193,0,21,214,524,Acta casilla,,,http://iem.org.mx/actas/D1587C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1587,C,2,0,C02,46,35,20,20,1,4,2,35,2,1,,,,,,,,,,,,,166,0,10,176,524,Acta casilla,,,http://iem.org.mx/actas/D1587C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1588,B,1,0,B,19,40,26,4,7,8,7,24,2,0,,,,,,,,,,,,,137,0,8,145,271,Acta casilla,,,http://iem.org.mx/actas/D1588B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1589,B,1,0,B,84,48,53,16,9,16,6,75,1,4,,,,,,,,,,,,,312,0,20,332,700,Acta casilla,,,http://iem.org.mx/actas/D1589B.pdf
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1589,C,1,0,C01,98,55,45,9,6,18,1,80,0,3,,,,,,,,,,,,,315,0,28,343,700,Acta casilla,,,http://iem.org.mx/actas/D1589C01.pdf
