ID_ESTADO,NOMBRE_ESTADO,DISTRITOS_LOCALES,MUNICIPIOS,SECCIONES,CASILLAS,PAN_MC,PRI_PVEM_NA,PRD,PT_MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,OBSERVACIONES,RUTA_ACTA
31,YUCATAN,15,106,1116,2666,448865,410033,22028,231458,1112384,249,23437,1136070,1544062,,
31,YUCATAN,0,0,0,0,320,80,16,256,672,0,9,681,1030,,
