ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,EL FUERTE,247,258,14946,19675,1137,521,4456,488,814,10944,921,699,1555,9,56156,1204,57369,94928,0.6043
25,SINALOA,2,LOS MOCHIS,109,163,9370,12870,526,257,740,640,2126,8051,2080,465,3410,28,40535,941,41504,83631,0.4963
25,SINALOA,3,LOS MOCHIS,151,180,8261,17036,871,224,664,417,4262,8742,1688,176,1108,12,43449,1194,44655,82231,0.5430
25,SINALOA,4,LOS MOCHIS,160,191,9253,14675,733,357,448,570,1258,8961,1936,428,3189,53,41808,1033,42894,85626,0.5009
25,SINALOA,5,LOS MOCHIS,87,163,9617,11525,595,426,445,607,1786,6644,2100,438,3152,37,37335,997,38369,81752,0.4693
25,SINALOA,6,SINALOA DE LEYVA,228,229,3906,23455,801,246,990,483,613,12699,927,312,588,29,45020,1417,46466,78892,0.5890
25,SINALOA,7,GUASAVE,180,205,8412,23980,884,631,658,967,597,8701,1361,454,1219,37,47864,1147,49048,81359,0.6029
25,SINALOA,8,GUASAVE,167,191,6660,23789,916,501,797,799,637,10312,1170,307,804,22,46692,1131,47845,80877,0.5916
25,SINALOA,9,GUAMUCHIL,255,272,5179,23924,2157,348,725,860,682,18939,1005,1030,643,24,55492,1318,56834,95007,0.5982
25,SINALOA,10,MOCORITO,243,237,2704,20429,2231,466,2462,1038,522,15391,794,402,495,7,46934,1379,48320,80627,0.5993
25,SINALOA,11,NAVOLATO,127,165,4520,12518,480,280,4686,483,547,11776,1314,766,732,23,38102,937,39062,77195,0.5060
25,SINALOA,12,CULIACAN DE ROSALES,66,156,6186,13889,822,265,449,542,570,11978,2491,770,2775,49,40737,1077,41863,90143,0.4644
25,SINALOA,13,CULIACAN DE ROSALES,161,205,5625,16316,1108,303,473,682,445,10426,2087,737,2470,70,40672,1257,41999,95533,0.4396
25,SINALOA,14,CULIACAN DE ROSALES,270,293,9017,17613,1405,348,493,882,602,12412,2879,879,3881,63,50411,1613,52087,102901,0.5062
25,SINALOA,15,CULIACAN DE ROSALES,78,151,4812,10266,841,265,423,470,355,8086,2240,635,1752,29,30145,987,31161,80047,0.3893
25,SINALOA,16,CULIACAN DE ROSALES,55,128,4194,8283,509,367,397,444,308,7231,1652,597,1401,64,25383,805,26252,78013,0.3365
25,SINALOA,17,CULIACAN DE ROSALES,155,192,4777,11411,694,334,418,507,486,8673,2066,852,1465,65,31683,1167,32915,91431,0.3599
25,SINALOA,18,CULIACAN DE ROSALES,179,213,4083,14631,946,321,775,622,669,12261,1163,411,692,48,36574,1134,37756,88567,0.4263
25,SINALOA,19,LA CRUZ,187,214,5228,18241,953,291,516,479,904,18921,529,110,508,13,46680,1192,47885,82974,0.5771
25,SINALOA,20,MAZATLAN,94,167,8749,11471,291,800,653,810,355,7314,1759,311,850,61,33363,1008,34432,89493,0.3847
25,SINALOA,21,MAZATLAN,76,153,9295,11018,421,379,555,785,353,7539,2111,456,1320,41,34232,965,35238,85348,0.4129
25,SINALOA,22,MAZATLAN,189,214,11388,15010,320,598,882,784,491,8307,2592,432,1343,57,42147,1341,43545,95101,0.4579
25,SINALOA,23,MAZATLAN,188,210,10002,16006,483,632,897,536,600,8187,1650,332,729,34,40054,1269,41357,85883,0.4816
25,SINALOA,24,EL ROSARIO,152,181,14295,14159,2280,499,631,2482,1082,7157,1397,556,936,35,45474,1005,46514,76949,0.6045
