ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,C_COMUN_MC_PAS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,EL FUERTE,247,258,14946,19557,1137,521,4326,440,763,10896,921,699,115,124,34,26,96,1555,9,56156,1204,57369,94928,0.6043
25,SINALOA,2,LOS MOCHIS,109,163,9370,12654,526,257,576,604,1973,8015,2080,465,264,140,116,13,72,3410,28,40535,941,41504,83631,0.4963
25,SINALOA,3,LOS MOCHIS,151,180,8261,16925,871,224,585,360,4177,8684,1688,176,83,78,87,27,115,1108,12,43449,1194,44655,82231,0.5430
25,SINALOA,4,LOS MOCHIS,160,191,9253,14607,733,357,393,532,1217,8923,1936,428,48,66,37,13,76,3189,53,41808,1033,42894,85626,0.5009
25,SINALOA,5,LOS MOCHIS,87,163,9617,11457,595,426,396,580,1742,6616,2100,438,62,53,39,7,55,3152,37,37335,997,38369,81752,0.4693
25,SINALOA,6,SINALOA DE LEYVA,228,229,3906,23179,801,246,787,437,463,12652,927,312,202,261,154,12,93,588,29,45020,1417,46466,78892,0.5890
25,SINALOA,7,GUASAVE,180,205,8412,23893,884,631,584,897,547,8631,1361,454,75,86,38,12,140,1219,37,47864,1147,49048,81359,0.6029
25,SINALOA,8,GUASAVE,167,191,6660,23706,916,501,719,765,595,10278,1170,307,73,94,22,14,68,804,22,46692,1131,47845,80877,0.5916
25,SINALOA,9,GUAMUCHIL,255,272,5179,23841,2157,348,656,799,638,18878,1005,1030,58,86,39,13,122,643,24,55492,1318,56834,95007,0.5982
25,SINALOA,10,MOCORITO,243,237,2704,20333,2231,466,2372,995,484,15348,794,402,60,126,25,13,86,495,7,46934,1379,48320,80627,0.5993
25,SINALOA,11,NAVOLATO,127,165,4520,12378,480,280,4535,458,495,11750,1314,766,75,212,17,39,51,732,23,38102,937,39062,77195,0.5060
25,SINALOA,12,CULIACAN DE ROSALES,66,156,6186,13806,822,265,378,485,514,11921,2491,770,115,60,28,7,114,2775,49,40737,1077,41863,90143,0.4644
25,SINALOA,13,CULIACAN DE ROSALES,161,205,5625,16207,1108,303,366,621,338,10365,2087,737,161,129,29,4,122,2470,70,40672,1257,41999,95533,0.4396
25,SINALOA,14,CULIACAN DE ROSALES,270,293,9017,17474,1405,348,375,798,518,12327,2879,879,176,114,45,6,169,3881,63,50411,1613,52087,102901,0.5062
25,SINALOA,15,CULIACAN DE ROSALES,78,151,4812,10153,841,265,316,419,284,8034,2240,635,180,88,17,6,103,1752,29,30145,987,31161,80047,0.3893
25,SINALOA,16,CULIACAN DE ROSALES,55,128,4194,8231,509,367,348,410,277,7196,1652,597,66,48,12,6,69,1401,64,25383,805,26252,78013,0.3365
25,SINALOA,17,CULIACAN DE ROSALES,155,192,4777,11308,694,334,329,451,438,8616,2066,852,94,113,28,5,113,1465,65,31683,1167,32915,91431,0.3599
25,SINALOA,18,CULIACAN DE ROSALES,179,213,4083,14424,946,321,603,469,523,12108,1163,411,310,128,77,10,306,692,48,36574,1134,37756,88567,0.4263
25,SINALOA,19,LA CRUZ,187,214,5228,18045,953,291,391,388,760,18829,529,110,194,113,147,11,183,508,13,46680,1192,47885,82974,0.5771
25,SINALOA,20,MAZATLAN,94,167,8749,11373,291,800,562,777,316,7280,1759,311,83,120,20,5,67,850,61,33363,1008,34432,89493,0.3847
25,SINALOA,21,MAZATLAN,76,153,9295,10922,421,379,472,748,313,7501,2111,456,85,109,23,2,75,1320,41,34232,965,35238,85348,0.4129
25,SINALOA,22,MAZATLAN,189,214,11388,14806,320,598,692,726,384,8249,2592,432,249,203,38,11,116,1343,57,42147,1341,43545,95101,0.4579
25,SINALOA,23,MAZATLAN,188,210,10002,15827,483,632,745,493,501,8144,1650,332,187,167,63,13,86,729,34,40054,1269,41357,85883,0.4816
25,SINALOA,24,EL ROSARIO,152,181,14295,13943,2280,499,435,2399,894,7074,1397,556,262,136,120,82,166,936,35,45474,1005,46514,76949,0.6045
