ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,C_COMUN_MC_PAS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,AHOME,455,638,34572,50152,2335,1181,1855,1967,8950,28763,7441,1423,448,325,277,56,309,10278,114,150332,3856,154302,307269,0.5022
25,SINALOA,2,ANGOSTURA,106,108,1183,9084,1435,86,323,289,200,9835,293,240,22,22,10,8,80,176,4,23286,554,23844,35327,0.6750
25,SINALOA,3,BADIRAGUATO,65,67,419,6303,1772,289,542,358,126,2740,41,35,18,26,4,2,7,155,1,12837,573,13411,22191,0.6043
25,SINALOA,4,CONCORDIA,46,49,1611,5162,221,131,207,157,238,3300,336,79,19,25,36,4,13,121,7,11660,384,12051,20934,0.5757
25,SINALOA,5,COSALA,34,37,1384,2269,120,123,20,17,88,3558,37,2,8,2,10,0,19,35,0,7692,221,7913,11881,0.6660
25,SINALOA,6,CULIACAN,1013,1396,39880,97149,6754,2278,2918,3776,3037,74880,14742,4933,1179,759,298,49,1101,14506,393,268239,8365,276997,653066,0.4241
25,SINALOA,7,CHOIX,71,74,7677,6039,573,56,57,57,276,633,48,8,18,11,8,3,5,116,2,15585,333,15920,23430,0.6795
25,SINALOA,8,ELOTA,60,73,2200,6424,251,65,122,212,151,6232,243,52,13,21,8,3,34,331,8,16362,401,16771,28191,0.5949
25,SINALOA,9,ESCUINAPA,64,84,5413,6622,1203,468,391,2309,682,3207,1042,469,213,119,103,77,129,729,23,23176,483,23682,39585,0.5983
25,SINALOA,10,EL FUERTE,176,184,7269,13518,564,465,4269,383,487,10263,873,691,97,113,26,23,91,1439,7,40571,871,41449,71498,0.5797
25,SINALOA,11,GUASAVE,438,496,18334,57414,2367,1304,1685,1937,1422,24261,3139,992,311,355,202,37,272,2804,84,116836,2920,119840,204240,0.5868
25,SINALOA,12,MAZATLAN,501,695,37823,47766,1297,2275,2264,2584,1313,27853,7759,1452,587,573,107,27,330,4121,186,138131,4199,142516,334891,0.4256
25,SINALOA,13,MOCORITO,131,117,1280,8820,217,84,88,304,247,8586,279,126,32,22,14,4,64,157,4,20324,496,20824,35020,0.5946
25,SINALOA,14,ROSARIO,88,97,8903,7340,1097,53,65,113,231,3891,380,111,52,21,25,5,39,229,13,22555,522,23090,37364,0.6180
25,SINALOA,15,SALVADOR ALVARADO,149,164,3996,14757,722,262,333,510,438,9043,712,790,36,64,29,5,42,467,20,32206,764,32990,59680,0.5528
25,SINALOA,16,SAN IGNACIO,44,46,458,3806,153,28,46,36,376,4726,85,4,96,11,67,3,25,72,0,9992,245,10237,16471,0.6215
25,SINALOA,17,SINALOA,189,188,2573,18855,624,156,500,271,342,10775,682,165,48,98,14,5,38,388,20,35534,1084,36638,62859,0.5829
25,SINALOA,18,NAVOLATO,174,218,5525,17588,722,373,6277,791,606,15772,1788,1007,85,290,24,46,66,915,25,51875,1247,53147,100611,0.5282
