unqiueid,year,state,mun,section
5001,2006,COAHUILA,ABASOLO EXTRAORDINARIO,2
5001,2006,COAHUILA,ABASOLO EXTRAORDINARIO,1
5015,2009,COAHUILA,Ju�rez,250
5015,2009,COAHUILA,Ju�rez,251
5015,2009,COAHUILA,Ju�rez,252
5015,2009,COAHUILA,Ju�rez,253
5015,2009,COAHUILA,Ju�rez,254
5016,2009,COAHUILA,La Madrid,255
5016,2009,COAHUILA,La Madrid,256
12041,2008,GUERRERO,MALINALTEPEC,1699
12041,2008,GUERRERO,MALINALTEPEC,1700
12041,2008,GUERRERO,MALINALTEPEC,1701
12041,2008,GUERRERO,MALINALTEPEC,1702
12041,2008,GUERRERO,MALINALTEPEC,1703
12041,2008,GUERRERO,MALINALTEPEC,1704
12041,2008,GUERRERO,MALINALTEPEC,1705
12041,2008,GUERRERO,MALINALTEPEC,1706
12041,2008,GUERRERO,MALINALTEPEC,1707
12041,2008,GUERRERO,MALINALTEPEC,1708
12041,2008,GUERRERO,MALINALTEPEC,1709
12041,2008,GUERRERO,MALINALTEPEC,1710
12041,2008,GUERRERO,MALINALTEPEC,1711
12041,2008,GUERRERO,MALINALTEPEC,1712
12041,2008,GUERRERO,MALINALTEPEC,1713
12041,2008,GUERRERO,MALINALTEPEC,1714
12041,2008,GUERRERO,MALINALTEPEC,1715
12041,2008,GUERRERO,MALINALTEPEC,1716
12041,2008,GUERRERO,MALINALTEPEC,1717
12041,2008,GUERRERO,MALINALTEPEC,1718
14052,1998,JALISCO,JUCHITLAN EXTRAORDINARIO,1696
14052,1998,JALISCO,JUCHITLAN EXTRAORDINARIO,1697
14052,1998,JALISCO,JUCHITLAN EXTRAORDINARIO,1698
14052,1998,JALISCO,JUCHITLAN EXTRAORDINARIO,1699
14052,1998,JALISCO,JUCHITLAN EXTRAORDINARIO,1700
14052,1998,JALISCO,JUCHITLAN EXTRAORDINARIO,1701
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2223
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2224
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2225
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2226
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2227
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2228
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2229
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2230
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2231
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2232
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2233
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2234
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2235
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2236
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2237
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2238
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2239
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2240
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2241
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2242
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2243
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2244
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2245
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2246
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2247
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2248
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2249
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2250
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2251
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2252
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2253
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2254
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2255
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2256
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2257
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2258
14085,2003,JALISCO,TAMAZULA DE GORDIANO,2259
14107,2006,JALISCO,TUXCUECA,2767
14107,2006,JALISCO,TUXCUECA,2768
14107,2006,JALISCO,TUXCUECA,2769
14107,2006,JALISCO,TUXCUECA,2770
15028,2015,MEXICO,CHIAUTLA,1097
15028,2015,MEXICO,CHIAUTLA,1098
15028,2015,MEXICO,CHIAUTLA,1099
15028,2015,MEXICO,CHIAUTLA,1100
15028,2015,MEXICO,CHIAUTLA,1101
15028,2015,MEXICO,CHIAUTLA,1102
15028,2015,MEXICO,CHIAUTLA,1103
