uniqueid,year,state,mun,section
5015,2010,COAHUILA,JUÁREZ EXTRAORDINARIO,250
5015,2010,COAHUILA,JUÁREZ EXTRAORDINARIO,251
5015,2010,COAHUILA,JUÁREZ EXTRAORDINARIO,252
5015,2010,COAHUILA,JUÁREZ EXTRAORDINARIO,253
5015,2010,COAHUILA,JUÁREZ EXTRAORDINARIO,254
5016,2010,COAHUILA,LAMADRID EXTRAORDINARIO,255
5016,2010,COAHUILA,LAMADRID EXTRAORDINARIO,256
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1699
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1700
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1701
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1702
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1703
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1704
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1705
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1706
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1707
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1708
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1709
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1710
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1711
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1712
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1713
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1714
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1715
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1716
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1717
12041,2009,GUERRERO,MALINALTEPEC EXTRAORDINARIO,1718
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2223
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2224
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2225
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2226
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2227
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2228
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2229
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2230
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2231
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2232
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2233
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2234
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2235
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2236
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2237
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2238
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2239
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2240
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2241
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2242
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2243
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2244
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2245
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2246
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2247
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2248
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2249
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2250
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2251
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2252
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2253
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2254
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2255
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2256
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2257
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2258
14085,2004,JALISCO,TAMAZULA EXTRAORDINARIO,2259
14107,2007,JALISCO,TUXCUECA EXTRAORDINARIO,2767
14107,2007,JALISCO,TUXCUECA EXTRAORDINARIO,2768
14107,2007,JALISCO,TUXCUECA EXTRAORDINARIO,2769
14107,2007,JALISCO,TUXCUECA EXTRAORDINARIO,2770
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1097
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1098
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1099
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1100
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1101
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1102
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1103
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1104
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1105
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1106
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1107
