CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,C_COMUN_PAN_PRD_PD,PRI,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,10,DURANGO,5,DURANGO,5,DURANGO,274,B,1,0,B,72,55,9,29,26,9,60,8,9,,,,277,0,16,293,478,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,274,C,1,0,C01,69,50,7,29,12,8,55,10,4,,,,244,0,11,255,477,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,275,B,1,0,B,94,43,16,24,18,7,89,8,4,,,,303,0,15,318,580,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,275,C,1,0,C01,99,45,15,40,22,10,82,8,1,,,,322,3,15,340,579,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,275,C,2,0,C02,111,55,10,24,20,13,72,11,1,,,,317,0,8,325,579,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,284,B,1,0,B,65,70,6,37,21,13,74,14,5,,,,305,1,22,328,607,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,284,C,1,0,C01,95,67,13,31,28,9,78,6,2,,,,329,0,10,339,607,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,284,C,2,0,C02,70,74,18,38,27,9,90,7,3,,,,336,1,14,351,607,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,285,B,1,0,B,90,31,6,27,11,6,52,6,5,,,,234,0,12,246,437,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,285,C,1,0,C01,73,45,9,26,15,11,43,7,5,,,,234,1,18,253,437,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,286,B,1,0,B,95,57,18,39,23,13,82,6,4,,,,337,0,22,359,558,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,286,C,1,0,C01,76,71,9,38,21,12,81,3,5,,,,316,1,12,329,557,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,286,C,2,0,C02,88,58,17,35,31,9,74,7,2,,,,321,0,13,334,557,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,286,S,1,0,SMR01,4,2,1,4,0,0,7,0,0,,,,18,0,0,18,744,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,287,B,1,0,B,123,55,18,25,33,11,80,7,7,,,,359,0,16,375,559,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,288,B,1,0,B,77,79,15,30,17,11,75,7,2,,,,313,0,12,325,481,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,288,C,1,0,C01,83,85,15,38,16,8,49,7,3,,,,304,0,11,315,481,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,289,B,1,0,B,94,69,17,33,14,3,90,5,4,,,,329,1,17,347,561,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,289,C,1,0,C01,98,78,19,29,8,6,79,6,3,,,,326,0,19,345,561,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,290,B,1,0,B,111,80,20,31,19,12,96,8,3,,,,380,0,21,401,638,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,290,C,1,0,C01,94,90,18,46,16,16,84,11,3,,,,378,0,26,404,637,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,291,B,1,0,B,82,88,15,26,24,10,65,8,3,,,,321,0,19,340,528,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,291,C,1,0,C01,93,84,15,41,15,8,70,8,7,,,,341,0,13,354,528,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,292,B,1,0,B,97,73,23,52,21,9,81,12,5,,,,373,1,18,392,603,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,292,C,1,0,C01,103,96,19,44,16,10,75,5,3,,,,371,0,14,385,603,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,293,B,1,0,B,104,61,23,34,17,9,54,12,0,,,,314,0,14,328,518,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,293,C,1,0,C01,108,47,17,31,16,11,56,6,3,,,,295,0,17,312,518,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,293,C,2,0,C02,102,60,15,34,22,9,68,3,6,,,,319,0,15,334,518,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,294,B,1,0,B,95,81,21,42,15,6,9,4,2,,,,275,0,15,290,583,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,294,C,1,0,C01,115,73,19,33,21,9,77,7,8,,,,362,1,20,383,582,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,295,B,1,0,B,93,87,29,40,31,10,85,9,5,,,,389,0,14,403,616,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,295,C,1,0,C01,107,75,23,47,27,11,96,7,4,,,,397,4,15,416,615,ACTA CASILLA,,,
