CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,298,B,213,50,22,1,4,1,20,2,30,2,2,0,0,0,347,8,355,549,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3311-G3312.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,21,C01,84,51,18,24,5,2,41,9,8,0,7,0,0,0,249,6,255,533,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0987-G0988.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,21,B,70,68,16,35,5,1,41,7,8,3,5,0,0,1,259,10,270,534,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0985-G0986.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,23,C01,53,35,14,31,3,0,42,7,12,7,0,0,0,0,204,5,209,405,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0995-G0996.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,298,C01,180,64,10,1,5,0,29,0,21,2,2,1,0,0,315,4,319,549,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3313-G3314.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,22,B,65,38,18,39,4,4,37,14,8,2,4,1,0,0,234,4,238,519,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0989-G0990.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,23,B,51,31,17,43,0,1,44,12,0,0,0,0,0,0,199,7,206,406,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0993-G0994.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,182,B,191,125,4,22,2,1,9,3,11,6,7,0,0,1,381,8,390,683,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2663-G2664.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,299,B,192,86,16,3,4,2,18,4,29,1,2,0,0,0,357,15,372,587,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3315-G3316.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,24,B,72,74,22,43,2,1,50,13,11,1,6,0,0,0,295,9,304,564,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0997-G0998.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,299,C01,197,78,13,1,4,2,24,4,38,1,2,0,0,0,364,16,380,586,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3317-G3318.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,24,C01,77,62,27,45,3,4,52,15,3,3,3,0,0,0,294,5,299,564,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0999-G1000.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,182,C01,183,101,5,21,1,2,9,4,17,1,4,0,0,0,348,4,352,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2665-G2666.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,25,B,86,56,28,57,4,5,52,21,7,6,14,0,0,1,336,13,350,718,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1001-G1002.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,15,B,78,65,22,31,3,3,63,36,10,5,7,0,0,0,323,16,339,689,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1275-G1276.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,26,B,80,82,21,83,7,2,64,22,12,3,6,0,0,0,382,8,390,714,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1003-G1004.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,182,C02,175,140,9,16,0,0,13,2,16,2,5,0,0,0,378,9,387,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2667-G2668.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,303,B,196,82,11,6,2,1,24,4,29,0,3,0,0,0,358,9,367,582,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3319-G3320.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,27,B,45,54,16,54,4,2,39,12,8,2,5,0,1,0,242,14,256,512,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1005-G1006.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,15,C01,85,63,27,34,1,1,71,24,9,0,3,0,1,0,319,6,325,689,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1277-G1278.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,303,C01,221,72,24,4,6,3,24,3,23,0,1,0,0,0,381,10,391,582,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3321-G3322.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,27,C01,44,37,20,49,2,4,39,24,8,3,12,0,0,0,242,0,242,512,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1007-G1008.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,28,B,57,55,26,75,3,2,36,13,11,8,19,2,0,0,307,15,322,600,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1009-G1010.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,304,B,204,93,16,5,2,2,18,2,26,2,3,0,0,0,373,6,379,580,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3323-G3324.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,183,B,215,155,8,0,0,3,12,4,29,1,3,0,0,0,430,8,438,696,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2669-G2670.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,28,C01,55,63,17,64,6,1,30,13,8,7,8,0,1,0,273,8,281,600,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1011-G1012.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,304,C01,213,64,13,0,1,1,30,0,43,2,3,0,0,0,370,5,375,580,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3325-G3326.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,305,B,211,77,28,3,3,4,34,5,23,1,1,0,0,0,390,7,397,601,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3327-G3328.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,43,B,54,45,21,23,1,1,29,11,6,0,10,0,0,0,201,8,209,430,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1013-G1014.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,43,C01,68,46,13,31,0,3,38,15,13,3,11,1,0,0,242,8,250,430,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1015-G1016.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,305,C01,225,78,16,3,4,3,31,1,40,1,0,0,0,0,402,4,406,601,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3329-G3330.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,44,B,64,47,24,50,4,2,41,16,6,2,10,0,0,0,266,9,275,630,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1017-G1018.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,306,B,195,56,17,0,4,4,37,0,39,3,0,1,0,0,356,7,363,516,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3331-G3332.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,183,C01,173,131,7,9,1,0,12,6,14,3,5,0,0,0,361,13,374,696,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2671-G2672.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,15,C02,79,49,28,35,6,2,51,26,14,7,0,0,0,0,297,12,309,688,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1279-G1280.JPG
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,B,105,52,26,14,4,3,59,17,11,0,8,0,1,0,300,10,310,670,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1503-G1504.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,85,B,39,54,9,47,2,1,27,6,6,0,4,1,0,2,196,2,200,464,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0001-G0002.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,306,C01,195,74,21,2,0,4,24,2,37,6,2,0,0,1,367,1,369,515,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3333-G3334.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,44,C01,57,56,18,47,2,5,39,19,8,5,10,1,2,0,269,9,278,630,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1019-G1020.JPG
