ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PT,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,KANTUNILKIN,54,132,19924,20079,657,3762,1131,154,45553,1242,46949,75198,0.6243
23,QUINTANA ROO,2,CANCÚN,66,138,10181,14001,903,6137,2231,68,33453,1000,34521,81055,0.4259
23,QUINTANA ROO,3,CANCÚN,60,112,8720,11847,338,4597,2391,22,27893,941,28856,61851,0.4665
23,QUINTANA ROO,4,CANCÚN,62,115,9249,16367,379,4048,1696,34,31739,939,32712,63626,0.5141
23,QUINTANA ROO,5,CANCÚN,80,145,14420,13290,470,5481,1726,50,35387,1204,36641,76928,0.4763
23,QUINTANA ROO,6,CANCÚN,53,114,11415,13873,439,5266,1964,31,32957,1128,34116,67707,0.5039
23,QUINTANA ROO,7,CANCÚN,53,120,14257,12254,495,5541,1892,54,34439,1052,35545,71906,0.4943
23,QUINTANA ROO,8,CANCÚN,48,117,16345,11001,378,4136,1407,52,33267,986,34305,71606,0.4791
23,QUINTANA ROO,9,TULUM,127,208,22606,16683,460,7958,1061,39,48768,1278,50085,109016,0.4594
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,139,15588,9522,354,6151,920,41,32535,895,33471,79361,0.4218
23,QUINTANA ROO,11,COZUMEL,22,98,23704,14048,138,1277,270,14,39437,711,40162,63872,0.6288
23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,43,105,19575,17885,318,2222,1063,26,41063,1635,42724,58464,0.7308
23,QUINTANA ROO,13,BACALAR,65,125,19266,18433,2199,2736,766,27,43400,1723,45150,65955,0.6846
23,QUINTANA ROO,14,CHETUMAL,56,122,29962,11419,386,3089,325,27,45181,881,46089,67894,0.6788
23,QUINTANA ROO,15,CHETUMAL,78,127,28581,10696,257,2966,431,21,42931,906,43858,68858,0.6369
