ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,KANTUNILKIN,54,132,15911,13812,2362,4557,657,606,3762,1131,1651,377,671,41,15,154,45553,1242,46949,75198,0.6243
23,QUINTANA ROO,2,CANCÚN,66,138,7042,6401,2394,6417,903,383,6137,2231,745,213,564,5,18,68,33453,1000,34521,81055,0.4259
23,QUINTANA ROO,3,CANCÚN,60,112,5720,4729,2231,5955,338,392,4597,2391,769,215,514,25,17,22,27893,941,28856,61851,0.4665
23,QUINTANA ROO,4,CANCÚN,62,115,5903,6321,2416,7913,379,427,4048,1696,930,431,909,187,179,34,31739,939,32712,63626,0.5141
23,QUINTANA ROO,5,CANCÚN,80,145,10491,6404,2552,5403,470,352,5481,1726,1377,337,759,19,16,50,35387,1204,36641,76928,0.4763
23,QUINTANA ROO,6,CANCÚN,53,114,7987,6099,2406,6235,439,361,5266,1964,1022,281,870,15,12,31,32957,1128,34116,67707,0.5039
23,QUINTANA ROO,7,CANCÚN,53,120,10882,5873,2258,5075,495,388,5541,1892,1117,260,630,15,13,54,34439,1052,35545,71906,0.4943
23,QUINTANA ROO,8,CANCÚN,48,117,13391,4911,1785,5099,378,280,4136,1407,1169,178,506,14,13,52,33267,986,34305,71606,0.4791
23,QUINTANA ROO,9,TULUM,127,208,12852,14116,6499,1105,460,509,7958,1061,3255,403,492,48,10,39,48768,1278,50085,109016,0.4594
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,139,9720,8001,3848,539,354,306,6151,920,2020,398,252,19,7,41,32535,895,33471,79361,0.4218
23,QUINTANA ROO,11,COZUMEL,22,98,20946,12620,872,719,138,183,1277,270,1886,211,308,4,3,14,39437,711,40162,63872,0.6288
23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,43,105,7851,15807,8907,738,318,483,2222,1063,2817,391,415,42,9,26,41063,1635,42724,58464,0.7308
23,QUINTANA ROO,13,BACALAR,65,125,10552,14813,6353,1138,2199,1232,2736,766,2361,852,290,77,31,27,43400,1723,45150,65955,0.6846
23,QUINTANA ROO,14,CHETUMAL,56,122,24045,10251,2019,349,386,293,3089,325,3898,266,225,31,4,27,45181,881,46089,67894,0.6788
23,QUINTANA ROO,15,CHETUMAL,78,127,23538,9654,1611,322,257,279,2966,431,3432,190,225,19,7,21,42931,906,43858,68858,0.6369
