ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,BENITO JUÁREZ,448,908,65234,43100,16695,44862,3517,2683,36494,13701,7631,2011,5066,284,271,442,241549,7577,249568,520173,0.4798
23,QUINTANA ROO,2,COZUMEL,22,98,20946,12620,872,719,138,183,1277,270,1886,211,308,4,3,14,39437,711,40162,63872,0.6288
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,88,6132,12594,7196,467,286,394,2072,743,2558,340,372,27,8,23,33189,1388,34600,48700,0.7105
23,QUINTANA ROO,4,ISLA MUJERES,10,28,4276,4149,231,313,87,84,736,137,395,71,126,10,0,2,10615,200,10817,16921,0.6393
23,QUINTANA ROO,5,JOSÉ MARÍA MORELOS,22,44,4511,7177,3667,759,100,254,354,928,789,290,133,23,11,17,18996,682,19695,24212,0.8134
23,QUINTANA ROO,6,LÁZARO CÁRDENAS,14,36,5481,5281,860,296,199,330,549,443,337,146,118,26,6,9,14072,380,14461,18720,0.7725
23,QUINTANA ROO,7,OTHÓN P. BLANCO,160,295,51411,25555,5597,972,889,722,7173,809,8499,733,559,63,22,52,103004,2305,105361,160940,0.6547
23,QUINTANA ROO,8,SOLIDARIDAD,157,291,19552,16448,7447,1304,634,679,12695,1709,3921,641,559,48,14,75,65651,1765,67491,163475,0.4129
23,QUINTANA ROO,9,TULUM,41,56,3020,5669,2900,340,180,136,1414,272,1354,160,185,19,3,5,15652,408,16065,24902,0.6451
23,QUINTANA ROO,10,BACALAR,25,52,3932,5199,2430,349,1885,917,1414,105,662,336,91,56,10,9,17386,770,18165,27319,0.6649
23,QUINTANA ROO,11,PUERTO MORELOS,4,21,2336,2020,618,1183,256,92,1189,157,417,64,113,1,6,12,8452,335,8799,14063,0.6257
