CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1788,C,1,0,C01,45,89,1,2,4,95,5,59,2,3,0,0,0,305,0,10,315,549,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1789,B,1,0,B,29,24,5,5,4,133,0,105,3,0,0,0,0,308,0,12,320,513,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1789,C,1,0,C01,30,29,0,2,9,116,2,96,3,3,0,1,1,292,0,15,307,512,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1790,B,1,0,B,64,159,6,4,8,109,8,84,14,0,0,0,0,456,1,18,475,722,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1791,B,1,0,B,74,123,2,3,1,73,0,67,1,1,1,0,1,347,0,18,365,608,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1791,C,1,0,C01,96,83,6,7,7,88,6,65,4,0,1,0,0,363,1,16,380,608,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1831,B,1,0,B,139,101,0,2,2,66,2,18,1,0,0,0,0,331,0,11,342,598,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1831,C,1,0,C01,150,115,1,2,4,60,4,34,1,0,0,0,1,372,0,13,385,598,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1832,B,1,0,B,139,101,0,2,2,66,2,18,1,0,0,0,0,331,0,11,342,485,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1832,C,1,0,C01,109,86,1,2,1,80,3,29,2,0,0,0,0,313,0,11,324,485,ACTA CASILLA,,,
