ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT_MORENA_ES,MC,NA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,1,22,1197,517,112,87,3575,2713,139,8340,26,162,8528,0,
14,JALISCO,1,TEQUILA,218,487,21905,31606,1945,4279,40259,63015,4492,167501,45,6437,172605,270051,http://www.iepcjalisco.org.mx/sites/default/files/2018/dto_01_gobernador.pdf
14,JALISCO,2,LAGOS DE MORENO,178,452,35564,23484,1659,6843,22330,51598,4048,145526,170,6293,151470,259145,http://www.iepcjalisco.org.mx/sites/default/files/2018/dto_02_gobernador.pdf
14,JALISCO,3,TEPATITLAN DE MORELOS,217,556,46739,29268,1311,7107,21873,62771,5338,174407,146,7670,181626,329885,http://www.iepcjalisco.org.mx/sites/default/files/2018/dto_03_gobernador.pdf
14,JALISCO,4,ZAPOPAN,119,449,15505,29996,1123,3658,46124,57947,2777,157130,87,4297,159669,289174,
14,JALISCO,5,PUERTO VALLARTA,148,474,8225,18591,1998,4287,35425,59515,2377,130418,106,5453,153977,283360,
14,JALISCO,6,ZAPOPAN,165,503,19521,28691,1407,3967,46548,71791,2738,174663,99,4134,178902,318321,
14,JALISCO,7,TONALA,68,379,9091,25211,896,3197,40607,49322,3258,131582,84,3547,,254129,
14,JALISCO,8,GUADALAJARA,333,606,27606,40843,1096,3574,44955,91772,2664,212510,223,4719,217452,327935,
14,JALISCO,9,GUADALAJARA,193,501,,,,,,,,,,,,305245,
14,JALISCO,10,ZAPOPAN,109,455,26732,25106,1024,3238,36338,83133,2347,177918,168,3861,180615,295195,
14,JALISCO,11,GUADALAJARA,230,536,14198,34995,1278,3330,48998,78559,2954,184312,96,5099,189507,312730,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,129,518,10975,15926,1408,2835,48558,87742,2379,169823,112,4553,172515,332408,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,138,450,17771,28826,1077,2949,39981,73080,2120,165804,340,4363,170507,284968,
14,JALISCO,14,GUADALAJARA,226,538,17174,32470,1375,3286,48691,86463,3195,192654,291,5723,198668,315171,
14,JALISCO,15,LA BARCA,199,528,16011,25384,2682,10676,48517,60632,7101,171003,65,6973,178041,312487,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,115,459,10875,40561,1202,3028,45335,53333,2193,156527,85,5087,,297661,
14,JALISCO,17,JOCOTEPEC,171,443,14434,29717,1678,8922,36321,59662,3752,154486,21,4251,158758,261059,
14,JALISCO,18,AUTLAN DE NAVARRO,246,517,18059,33730,4647,4311,40091,65788,4849,171475,37,7446,178958,286529,
14,JALISCO,19,ZAPOTLAN EL GRANDE,254,535,13000,27440,4894,8858,54136,68164,5065,181557,221,7499,189277,298471,
14,JALISCO,20,TONALA,89,421,11900,24385,1379,4786,37386,58829,2089,140754,136,5007,145897,277118,
,,,,,,,,,,,,,,,,,,
