ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PT_MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND24,CAND_IND25,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND32,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,26,,735,,2151,,,276,,,4440,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8615,2,348,8965,16146,
14,JALISCO,2,ACATLAN DE JUAREZ,11,28,1316,726,1697,1407,,2249,131,,,,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,,,,9802,3,2134,11939,17497,
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,341,3893,112,233,160,4081,416,2958,63,80,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12401,1,271,12673,17472,
14,JALISCO,4,AMACUECA,4,9,,758,,,,,201,,,1131,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2843,,77,2920,4500,
14,JALISCO,5,AMATITAN,8,19,,1814,,455,,,2183,,,1763,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7475,1,205,7681,11215,
14,JALISCO,6,AMECA,43,90,1263,5769,564,2394,302,7782,5853,2044,119,195,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26350,6,949,27305,48084,
14,JALISCO,8,ARANDAS,30,91,,9693,,317,,,465,,,18559,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,816,,,,,,,,32020,,108,4855,55904,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,9,,1013,,81,,,1327,,,1109,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762,64,1159,33243,4790,
14,JALISCO,11,ATENGO,6,10,1387,965,600,17,,82,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3259,1,222,9366,4447,
14,JALISCO,12,ATENGUILLO,5,8,,744,,36,,,,,,1440,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,,82,3844,3517,
14,JALISCO,13,ATOTONILCO EL ALTO,27,78,,3747,,2556,,,3922,,,9739,3851,,,,,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25723,,105,3364,47109,
14,JALISCO,14,ATOYAC,6,14,,2177,,,,,53,,,1521,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,1,71,2397,6922,
14,JALISCO,15,AUTLAN DE NAVARRO,30,80,,6666,,604,,,614,,,8834,9148,,,,,,,,,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26579,7,949,26679,48322,
14,JALISCO,16,AYOTLAN,19,49,,1493,,6508,,,1519,,,1142,6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17180,,151,4561,28926,
14,JALISCO,17,AYUTLA,12,20,2398,536,,269,,3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6715,7,759,27345,10392,
14,JALISCO,19,BOLAÑOS,3,4,,540,,,,,,,,1031,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,2,731,17913,2186,
