ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND24,CAND_IND25,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND32,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,26,3536,735,129,2151,386,648,276,545,34,77,16,29,5,14,29,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8615,2,348,8965,16146,
14,JALISCO,2,ACATLAN DE JUAREZ,11,28,1316,726,1697,1407,76,2249,131,655,31,,,,,3,6,1,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,,,,9031,3,2134,11168,17497,
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,341,3843,112,233,160,4081,516,2959,63,41,4,15,12,35,10,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12440,1,281,12722,17472,
14,JALISCO,4,AMACUECA,4,9,254,758,60,,82,771,201,594,42,27,2,13,4,23,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2843,0,77,2920,4500,
14,JALISCO,5,AMATITAN,8,19,370,1814,872,455,74,398,2183,1136,19,73,22,15,13,18,10,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7480,1,205,7686,11215,
14,JALISCO,6,AMECA,43,90,1261,5734,565,2449,302,7762,5807,2089,120,98,16,61,20,31,24,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26349,6,950,27305,48084,
14,JALISCO,8,ARANDAS,30,91,6597,9693,395,317,205,10835,465,1304,198,427,45,230,30,49,12,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,816,,,,,,,,31920,64,1159,33143,55904,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,9,909,1013,31,81,62,90,1327,154,7,54,4,21,0,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762,0,82,3844,4790,
14,JALISCO,11,ATENGO,6,10,1387,965,600,17,24,82,,172,5,,,,,2,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3259,0,105,3364,4447,
14,JALISCO,12,ATENGUILLO,5,8,137,744,4,38,14,1276,,66,6,9,0,12,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309,1,71,2381,3517,
14,JALISCO,13,ATOTONILCO EL ALTO,27,78,3148,3747,367,2556,329,5872,3922,1458,1897,186,32,101,33,85,15,10,57,,,,,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25723,7,949,26679,47109,
14,JALISCO,14,ATOYAC,6,14,1141,2177,23,,492,241,53,129,11,68,4,42,2,14,10,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,0,151,4561,6922,
14,JALISCO,15,AUTLAN DE NAVARRO,30,80,2229,6666,378,604,614,5877,614,7786,414,231,22,69,28,165,102,11,56,,,,,,,,,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26579,7,759,27345,48322,
