CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND7,PRD_NVA_ALIANZA,PAN_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,B,60,57,157,6,1,72,5,16,0,3,,3,,0,380,11,391,621,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0001_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C01,61,68,155,9,2,40,6,8,0,3,,6,,0,358,12,370,621,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0001_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C02,59,59,166,16,5,47,2,14,0,2,,2,,0,372,23,395,620,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0001_C2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C03,63,63,139,14,4,76,5,7,1,3,,2,,0,377,19,396,620,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0001_C3.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,B,67,72,147,10,1,57,12,14,1,0,,2,,0,383,11,394,605,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0002_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C01,62,80,130,15,1,44,2,19,1,2,,6,,0,362,40,402,604,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0002_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C02,56,74,134,24,0,59,6,11,1,2,,4,,0,371,11,382,604,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0002_C2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,B,61,58,121,22,2,61,7,18,1,2,,0,,0,353,8,361,559,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0003_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,C01,54,56,123,21,2,47,7,32,0,1,,4,,0,347,11,358,559,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0003_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,B,37,69,108,13,0,58,7,18,0,5,,6,,0,321,7,328,521,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0004_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,C01,24,80,126,12,0,61,11,16,2,6,,1,,0,339,5,344,521,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0004_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,B,40,77,115,8,3,49,7,17,0,3,,3,,0,322,24,346,534,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0005_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,C01,45,68,142,6,1,31,4,15,0,0,,0,,0,312,12,324,533,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0005_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,C02,57,85,123,11,4,50,15,12,1,1,,0,,0,359,12,371,533,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0005_C2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,B,57,112,165,19,2,41,4,30,3,4,,2,,0,439,16,455,715,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0006_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,SMR01,2,2,0,0,0,1,0,0,0,0,,0,,0,5,0,5,0,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0006_EMR1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,SRP01,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0006_ERP1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,B,65,76,167,6,5,52,4,18,2,8,,4,,0,407,18,425,588,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0007_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,C01,63,103,141,12,3,52,5,21,2,8,,2,,0,412,17,429,587,Acta casilla,,,http://iepct.mx/resultados/2015/distrital/i_tenosique/0007_C1.jpg
