CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,C_COMUN_PAN_PRD_PRS_PHBCS,PRI,PT,PVEM,MC,NA,MORENA,ES,BCSC,MORENA_ES,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,1,1,106,174,7,2,0,0,118,10,0,1,,71,489,0,7,496,742
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,2,1,70,88,4,4,2,1,101,0,1,0,,38,309,0,3,312,459
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,3,3,170,255,11,6,5,3,300,17,4,10,,270,1051,0,19,1070,1604
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,4,1,88,161,2,0,0,7,94,4,1,3,,73,433,0,9,442,687
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,5,2,89,205,2,7,3,0,155,6,3,8,,117,595,0,10,605,929
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,6,1,73,121,0,3,1,1,94,7,1,2,,86,389,0,8,397,694
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,7,2,170,226,3,4,2,3,162,13,5,5,,132,725,0,12,737,1084
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,8,2,97,94,3,3,2,4,96,2,1,4,,54,360,0,13,373,478
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,9,1,58,73,2,1,1,2,69,1,0,3,,49,259,0,3,262,428
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,10,2,94,137,2,2,3,0,154,1,2,6,,82,483,0,11,494,784
