ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,TENOSIQUE,88,163,1308,11976,3669,5946,598,1334,504,25592,4789,55716,38,2451,58205,82753,http://iepct.mx/elecciones2018/DIP/RP/1.pdf
27,TABASCO,2,CARDENAS,50,129,558,1710,5680,7151,678,657,366,30743,603,48146,38,1613,49797,76228,http://iepct.mx/elecciones2018/DIP/RP/2.pdf
27,TABASCO,3,CARDENAS,51,125,359,3650,9297,1804,920,909,462,27391,428,45220,9,2211,47440,70580,http://iepct.mx/elecciones2018/DIP/RP/3.pdf
27,TABASCO,4,HUIMANGUILLO,51,135,482,5349,11272,1623,735,832,303,27883,1296,49775,40,2567,52382,75030,http://iepct.mx/elecciones2018/DIP/RP/4.pdf
27,TABASCO,5,CENTLA,64,135,1297,4586,7292,7505,1099,1263,716,23777,3520,51055,20,2420,53495,72426,http://iepct.mx/elecciones2018/DIP/RP/5.pdf
27,TABASCO,6,CENTRO,58,142,1345,4816,2151,3690,913,1103,601,38884,837,54340,47,2083,56470,83103,http://iepct.mx/elecciones2018/DIP/RP/6.pdf
27,TABASCO,7,CENTRO,30,116,635,8652,1983,757,1418,1143,392,30682,548,46210,10,2332,48552,74728,http://iepct.mx/elecciones2018/DIP/RP/7.pdf
27,TABASCO,8,CENTRO,51,133,1398,4648,2054,1646,1090,1038,606,38465,1967,52912,50,2018,54980,80597,http://iepct.mx/elecciones2018/DIP/RP/8.pdf
27,TABASCO,9,CENTRO,43,129,1454,4453,2072,2068,1322,1206,595,38460,636,52266,91,2129,54486,79284,http://iepct.mx/elecciones2018/DIP/RP/9.pdf
27,TABASCO,10,CENTRO,39,134,913,3088,3744,1796,1250,1457,702,39790,2001,54741,33,2294,57068,81767,http://iepct.mx/elecciones2018/DIP/RP/10.pdf
27,TABASCO,11,TACOTALPA,64,142,976,7079,6491,6829,1556,2603,1675,22605,828,50642,70,3097,53809,73544,http://iepct.mx/elecciones2018/DIP/RP/11.pdf
27,TABASCO,12,CENTRO,53,138,1706,4833,3124,1994,1117,1428,551,38489,699,53941,39,2318,56298,83021,http://iepct.mx/elecciones2018/DIP/RP/12.pdf
27,TABASCO,13,COMALCALCO,62,165,1113,9005,15181,1454,844,925,375,38719,659,68275,38,2315,70628,94695,http://iepct.mx/elecciones2018/DIP/RP/13.pdf
27,TABASCO,14,CUNDUACAN,48,123,1151,6054,6907,1658,1198,1291,556,25431,462,44708,45,2514,47267,73298,http://iepct.mx/elecciones2018/DIP/RP/14.pdf
27,TABASCO,15,EMILIANO ZAPATA,68,143,2498,6178,7771,5228,1112,1244,2616,25070,946,52663,103,2730,55496,74505,http://iepct.mx/elecciones2018/DIP/RP/15.pdf
27,TABASCO,16,HUIMANGUILLO,67,151,503,8095,13690,756,937,629,393,26088,576,51667,73,2902,54642,78982,http://iepct.mx/elecciones2018/DIP/RP/16.pdf
27,TABASCO,17,JALPA DE MENDEZ,54,150,939,7119,10283,6612,1102,1132,1028,38681,,66896,33,2463,69392,91359,http://iepct.mx/elecciones2018/DIP/RP/17.pdf
27,TABASCO,18,MACUSPANA,47,123,635,4380,2938,3781,950,634,505,30459,1568,45850,61,2562,48473,74787,http://iepct.mx/elecciones2018/DIP/RP/18.pdf
27,TABASCO,19,NACAJUCA,37,144,2367,4794,3634,6116,1264,1215,727,44471,538,65126,10,3128,68264,92145,http://iepct.mx/elecciones2018/DIP/RP/19.pdf
27,TABASCO,20,PARAISO,63,161,1081,7404,13688,2378,1418,1234,871,38874,437,67385,42,2723,70150,93468,http://iepct.mx/elecciones2018/DIP/RP/20.pdf
27,TABASCO,21,CENTRO,41,131,1057,6355,5317,4140,1598,1687,1851,27494,647,50146,45,2886,53077,81318,http://iepct.mx/elecciones2018/DIP/RP/21.pdf
