CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,4,31,157,138,271,37,57,9,524,178,5,2,0,1,,1410,1,85,1496,2666
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,3,19,147,109,267,21,46,8,471,145,0,2,1,3,,1239,1,49,1289,1946
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,2,13,81,45,167,12,5,4,268,109,1,0,0,0,,705,0,15,720,1098
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,2,6,103,49,170,11,16,5,281,97,1,0,0,1,,740,0,23,763,1061
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,3,16,111,85,224,17,23,6,431,139,1,0,0,1,,1054,0,61,1115,1688
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,2,23,69,82,93,10,11,3,366,131,15,0,1,0,,804,0,20,824,705
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,2,5,114,33,111,11,18,2,380,99,36,0,0,0,,809,0,42,851,1208
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,2,10,131,48,84,5,14,5,258,56,3,0,0,1,,615,0,42,657,1090
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,2,5,62,44,192,6,12,10,343,153,0,0,0,0,,827,0,49,876,1281
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,10,1,2,30,17,44,2,2,1,32,22,0,0,0,0,,152,0,2,154,201
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,11,1,7,10,10,87,4,5,2,100,137,21,0,0,0,,383,0,25,408,534
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,12,1,7,48,16,38,5,12,11,152,148,0,0,0,1,,438,0,26,464,639
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,2,3,73,38,148,10,20,10,341,30,5,0,0,0,,678,0,70,748,1062
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,14,1,5,34,26,85,4,15,1,268,37,3,0,0,0,,478,0,31,509,736
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,15,1,6,49,47,83,6,13,10,266,31,1,0,0,1,,513,0,28,541,722
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,16,1,4,44,17,92,0,10,3,280,43,0,0,0,0,,493,0,33,526,723
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,2,6,54,18,167,4,22,4,243,75,2,1,0,1,,597,0,36,633,857
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,18,2,17,127,10,74,3,11,5,163,266,4,0,0,0,,680,0,46,726,1022
2,27,TABASCO,1,TENOSIQUE,1,BALANCAN,19,1,1,19,9,27,1,3,1,44,55,0,0,0,0,,160,0,8,168,255
