CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT_MC,NVA_ALIANZA,MORENA,PH,ES,MHTG,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,2,233,,143,58,,46,12,35,,4,531,18,549,1009
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,122,1,150,,131,39,,34,7,26,,0,387,15,402,723
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,2,219,,171,66,,35,9,19,,1,520,19,539,850
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,2,255,,204,53,,40,16,27,,4,599,12,611,998
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,125,1,132,,132,32,,17,12,15,,1,341,6,347,567
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,126,1,174,,120,69,,22,12,9,,2,408,14,422,717
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,127,1,140,,102,63,,26,12,19,,0,362,8,370,736
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,128,1,113,,97,79,,18,8,13,,2,330,5,335,601
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,2,218,,103,96,,31,7,24,,0,479,19,498,958
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,130,1,64,,46,20,,7,8,13,,0,158,4,162,375
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,131,1,75,,71,37,,37,5,15,,1,241,4,245,514
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,132,1,61,,59,28,,19,7,17,,0,191,3,194,422
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,133,1,52,,52,22,,12,6,9,,1,154,8,162,362
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,134,1,56,,38,22,,14,4,5,,0,139,5,144,306
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,2,197,,153,112,,36,7,15,,1,521,20,541,1032
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,2,232,,91,83,,32,13,16,,2,469,10,479,792
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,2,189,,153,86,,22,14,20,,0,484,18,502,817
