CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRS,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT_MC,NVA_ALIANZA,MORENA,PH,ES,MHTG,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,B,115,,77,31,,21,7,16,,1,268,9,277,505,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,C01,118,,66,27,,25,5,19,,3,263,9,272,504,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,122,B,150,,131,39,,34,7,26,,0,387,15,402,723,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,B,110,,92,34,,15,5,9,,1,266,14,280,425,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,C01,109,,79,32,,20,4,10,,0,254,5,259,425,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,B,126,,100,23,,20,9,10,,1,289,8,297,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,C01,129,,104,30,,20,7,17,,3,310,4,314,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,125,B,132,,132,32,,17,12,15,,1,341,6,347,567,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,126,B,174,,120,69,,22,12,9,,2,408,14,422,717,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,127,B,140,,102,63,,26,12,19,,0,362,8,370,736,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,128,B,113,,97,79,,18,8,13,,2,330,5,335,601,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,B,111,,48,55,,19,5,8,,0,246,15,261,479,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,C01,107,,55,41,,12,2,16,,0,233,4,237,479,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,130,B,64,,46,20,,7,8,13,,0,158,4,162,375,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,131,B,75,,71,37,,37,5,15,,1,241,4,245,514,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,132,B,61,,59,28,,19,7,17,,0,191,3,194,422,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,133,B,52,,52,22,,12,6,9,,1,154,8,162,362,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,134,B,56,,38,22,,14,4,5,,0,139,5,144,306,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,B,109,,87,47,,20,4,8,,0,275,10,285,516,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,C01,88,,66,65,,16,3,7,,1,246,10,256,516,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,B,110,,50,44,,13,8,5,,0,230,8,238,396,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,C01,122,,41,39,,19,5,11,,2,239,2,241,396,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,B,85,,82,43,,15,4,9,,0,238,4,242,409,Grupo de Recuento,,,
