id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD,PT,PRS,PC,PSN,PAS,PSM,PRD-PT,Nulos,Total
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,56,SAN MARCOS,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2052,42,110,84,4,1,0,0,0,0,0,21,262
12,6/10/2002,12,Ayuntamientos,12,0,2,C,Contigua,0,56,SAN MARCOS,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2052,30,100,91,3,0,1,0,0,0,0,26,251
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,56,SAN MARCOS,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2057,39,53,25,2,0,68,0,2,0,0,13,202
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,56,SAN MARCOS,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2066,38,28,8,0,0,2,0,0,0,0,3,79
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,56,SAN MARCOS,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2068,81,97,11,0,7,1,0,13,0,0,21,231
12,6/10/2002,12,Ayuntamientos,12,0,1,C,Contigua,0,56,SAN MARCOS,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2076,26,48,94,0,1,76,0,0,0,0,9,254
12,6/10/2002,12,Ayuntamientos,12,0,1,E,Extraordinaria,0,56,SAN MARCOS,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2084,70,35,18,0,0,2,0,0,0,0,10,135
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,51,PETATLAN,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1875,1,98,184,4,0,0,0,0,0,0,0,287
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,51,PETATLAN,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1882,19,127,179,7,0,0,0,0,0,0,4,336
12,6/10/2002,12,Ayuntamientos,12,0,2,C,Contigua,0,51,PETATLAN,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1887,15,164,159,4,0,0,0,1,0,0,9,352
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,51,PETATLAN,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1890,0,10,32,0,0,0,0,0,0,0,0,42
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,51,PETATLAN,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1893,0,15,32,0,0,0,0,0,0,0,1,48
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,51,PETATLAN,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1897,1,120,14,2,0,0,0,0,0,0,8,145
12,6/10/2002,12,Ayuntamientos,12,0,1,B,Basica,0,51,PETATLAN,,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1911,5,134,125,2,0,0,0,4,0,0,0,270
