ENTIDAD,CVE_ENTIDAD,MUNICIPIO,CVE_MUNICIPIO,YEAR,PARTIDO_GOBERNADOR
AGUASCALIENTES,1,AGUASCALIENTES,1,1991,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1992,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1993,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1994,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1995,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1996,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1997,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1998,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,1999,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2000,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2001,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2002,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2003,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2004,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2005,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2006,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2007,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2008,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2009,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2010,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2011,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,2012,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,2013,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,2014,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,2015,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,2016,PRI
AGUASCALIENTES,1,AGUASCALIENTES,1,2017,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2018,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2019,PAN
AGUASCALIENTES,1,AGUASCALIENTES,1,2020,PAN
AGUASCALIENTES,1,ASIENTOS,2,1993,PRI
AGUASCALIENTES,1,ASIENTOS,2,1994,PRI
AGUASCALIENTES,1,ASIENTOS,2,1995,PRI
AGUASCALIENTES,1,ASIENTOS,2,1996,PRI
AGUASCALIENTES,1,ASIENTOS,2,1997,PRI
AGUASCALIENTES,1,ASIENTOS,2,1998,PRI
AGUASCALIENTES,1,ASIENTOS,2,1999,PAN
AGUASCALIENTES,1,ASIENTOS,2,2000,PAN
AGUASCALIENTES,1,ASIENTOS,2,2001,PAN
AGUASCALIENTES,1,ASIENTOS,2,2002,PAN
AGUASCALIENTES,1,ASIENTOS,2,2003,PAN
AGUASCALIENTES,1,ASIENTOS,2,2004,PAN
AGUASCALIENTES,1,ASIENTOS,2,2005,PAN
AGUASCALIENTES,1,ASIENTOS,2,2006,PAN
AGUASCALIENTES,1,ASIENTOS,2,2007,PAN
AGUASCALIENTES,1,ASIENTOS,2,2008,PAN
AGUASCALIENTES,1,ASIENTOS,2,2009,PAN
AGUASCALIENTES,1,ASIENTOS,2,2010,PAN
AGUASCALIENTES,1,ASIENTOS,2,2011,PRI
AGUASCALIENTES,1,ASIENTOS,2,2012,PRI
AGUASCALIENTES,1,ASIENTOS,2,2013,PRI
AGUASCALIENTES,1,ASIENTOS,2,2014,PRI
AGUASCALIENTES,1,ASIENTOS,2,2015,PRI
AGUASCALIENTES,1,ASIENTOS,2,2016,PRI
AGUASCALIENTES,1,ASIENTOS,2,2017,PAN
AGUASCALIENTES,1,ASIENTOS,2,2018,PAN
AGUASCALIENTES,1,ASIENTOS,2,2019,PAN
AGUASCALIENTES,1,ASIENTOS,2,2020,PAN
AGUASCALIENTES,1,CALVILLO,3,1993,PRI
AGUASCALIENTES,1,CALVILLO,3,1994,PRI
AGUASCALIENTES,1,CALVILLO,3,1995,PRI
AGUASCALIENTES,1,CALVILLO,3,1996,PRI
AGUASCALIENTES,1,CALVILLO,3,1997,PRI
AGUASCALIENTES,1,CALVILLO,3,1998,PRI
AGUASCALIENTES,1,CALVILLO,3,1999,PAN
AGUASCALIENTES,1,CALVILLO,3,2000,PAN
AGUASCALIENTES,1,CALVILLO,3,2001,PAN
AGUASCALIENTES,1,CALVILLO,3,2002,PAN
AGUASCALIENTES,1,CALVILLO,3,2003,PAN
AGUASCALIENTES,1,CALVILLO,3,2004,PAN
AGUASCALIENTES,1,CALVILLO,3,2005,PAN
AGUASCALIENTES,1,CALVILLO,3,2006,PAN
AGUASCALIENTES,1,CALVILLO,3,2007,PAN
AGUASCALIENTES,1,CALVILLO,3,2008,PAN
AGUASCALIENTES,1,CALVILLO,3,2009,PAN
AGUASCALIENTES,1,CALVILLO,3,2010,PAN
AGUASCALIENTES,1,CALVILLO,3,2011,PRI
AGUASCALIENTES,1,CALVILLO,3,2012,PRI
AGUASCALIENTES,1,CALVILLO,3,2013,PRI
AGUASCALIENTES,1,CALVILLO,3,2014,PRI
AGUASCALIENTES,1,CALVILLO,3,2015,PRI
AGUASCALIENTES,1,CALVILLO,3,2016,PRI
AGUASCALIENTES,1,CALVILLO,3,2017,PAN
AGUASCALIENTES,1,CALVILLO,3,2018,PAN
AGUASCALIENTES,1,CALVILLO,3,2019,PAN
AGUASCALIENTES,1,CALVILLO,3,2020,PAN
AGUASCALIENTES,1,COSIO,4,1993,PRI
AGUASCALIENTES,1,COSIO,4,1994,PRI
AGUASCALIENTES,1,COSIO,4,1995,PRI
AGUASCALIENTES,1,COSIO,4,1996,PRI
AGUASCALIENTES,1,COSIO,4,1997,PRI
AGUASCALIENTES,1,COSIO,4,1998,PRI
AGUASCALIENTES,1,COSIO,4,1999,PAN
AGUASCALIENTES,1,COSIO,4,2000,PAN
AGUASCALIENTES,1,COSIO,4,2001,PAN
AGUASCALIENTES,1,COSIO,4,2002,PAN
AGUASCALIENTES,1,COSIO,4,2003,PAN
AGUASCALIENTES,1,COSIO,4,2004,PAN
AGUASCALIENTES,1,COSIO,4,2005,PAN
AGUASCALIENTES,1,COSIO,4,2006,PAN
AGUASCALIENTES,1,COSIO,4,2007,PAN
AGUASCALIENTES,1,COSIO,4,2008,PAN
AGUASCALIENTES,1,COSIO,4,2009,PAN
AGUASCALIENTES,1,COSIO,4,2010,PAN
AGUASCALIENTES,1,COSIO,4,2011,PRI
AGUASCALIENTES,1,COSIO,4,2012,PRI
AGUASCALIENTES,1,COSIO,4,2013,PRI
AGUASCALIENTES,1,COSIO,4,2014,PRI
AGUASCALIENTES,1,COSIO,4,2015,PRI
AGUASCALIENTES,1,COSIO,4,2016,PRI
AGUASCALIENTES,1,COSIO,4,2017,PAN
AGUASCALIENTES,1,COSIO,4,2018,PAN
AGUASCALIENTES,1,COSIO,4,2019,PAN
AGUASCALIENTES,1,COSIO,4,2020,PAN
AGUASCALIENTES,1,EL LLANO,10,1993,PRI
AGUASCALIENTES,1,EL LLANO,10,1994,PRI
AGUASCALIENTES,1,EL LLANO,10,1995,PRI
AGUASCALIENTES,1,EL LLANO,10,1996,PRI
AGUASCALIENTES,1,EL LLANO,10,1997,PRI
AGUASCALIENTES,1,EL LLANO,10,1998,PRI
AGUASCALIENTES,1,EL LLANO,10,1999,PAN
AGUASCALIENTES,1,EL LLANO,10,2000,PAN
AGUASCALIENTES,1,EL LLANO,10,2001,PAN
AGUASCALIENTES,1,EL LLANO,10,2002,PAN
AGUASCALIENTES,1,EL LLANO,10,2003,PAN
AGUASCALIENTES,1,EL LLANO,10,2004,PAN
AGUASCALIENTES,1,EL LLANO,10,2005,PAN
AGUASCALIENTES,1,EL LLANO,10,2006,PAN
AGUASCALIENTES,1,EL LLANO,10,2007,PAN
AGUASCALIENTES,1,EL LLANO,10,2008,PAN
AGUASCALIENTES,1,EL LLANO,10,2009,PAN
AGUASCALIENTES,1,EL LLANO,10,2010,PAN
AGUASCALIENTES,1,EL LLANO,10,2011,PRI
AGUASCALIENTES,1,EL LLANO,10,2012,PRI
AGUASCALIENTES,1,EL LLANO,10,2013,PRI
AGUASCALIENTES,1,EL LLANO,10,2014,PRI
AGUASCALIENTES,1,EL LLANO,10,2015,PRI
AGUASCALIENTES,1,EL LLANO,10,2016,PRI
AGUASCALIENTES,1,EL LLANO,10,2017,PAN
AGUASCALIENTES,1,EL LLANO,10,2018,PAN
AGUASCALIENTES,1,EL LLANO,10,2019,PAN
AGUASCALIENTES,1,EL LLANO,10,2020,PAN
AGUASCALIENTES,1,JESUS MARIA,5,1993,PRI
AGUASCALIENTES,1,JESUS MARIA,5,1994,PRI
AGUASCALIENTES,1,JESUS MARIA,5,1995,PRI
AGUASCALIENTES,1,JESUS MARIA,5,1996,PRI
AGUASCALIENTES,1,JESUS MARIA,5,1997,PRI
AGUASCALIENTES,1,JESUS MARIA,5,1998,PRI
AGUASCALIENTES,1,JESUS MARIA,5,1999,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2000,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2001,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2002,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2003,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2004,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2005,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2006,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2007,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2008,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2009,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2010,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2011,PRI
AGUASCALIENTES,1,JESUS MARIA,5,2012,PRI
AGUASCALIENTES,1,JESUS MARIA,5,2013,PRI
AGUASCALIENTES,1,JESUS MARIA,5,2014,PRI
AGUASCALIENTES,1,JESUS MARIA,5,2015,PRI
AGUASCALIENTES,1,JESUS MARIA,5,2016,PRI
AGUASCALIENTES,1,JESUS MARIA,5,2017,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2018,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2019,PAN
AGUASCALIENTES,1,JESUS MARIA,5,2020,PAN
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,1993,PRI
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,1994,PRI
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,1995,PRI
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,1996,PRI
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,1997,PRI
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,1998,PRI
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,1999,PAN
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,2000,PAN
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,2001,PAN
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,2002,PAN
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,2003,PAN
AGUASCALIENTES,1,PABELLON DE ARTEAGA,6,2004,PAN
