ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,RED,PRI_PVEM,PT_MORENA_ES, CAND_IND41, CAND_IND42, CAND_IND43, CAND_IND44, CAND_IND45, CAND_IND46, CAND_IND47, CAND_IND48, CAND_IND49, CAND_IND50, CAND_IND51, CAND_IND52, CAND_IND53, CAND_IND54, CAND_IND55, CAND_IND56, CAND_IND57, CAND_IND58, CAND_IND59, CAND_IND60, CAND_IND61, CAND_IND62, CAND_IND63, CAND_IND64, CAND_IND65, CAND_IND66, CAND_IND67, CAND_IND68, CAND_IND69, CAND_IND70, CAND_IND71, CAND_IND72, CAND_IND73, CAND_IND74, CAND_IND75, CAND_IND76, CAND_IND77, CAND_IND78, CAND_IND79, CAND_IND80, CAND_IND81, CAND_IND82, CAND_IND83, CAND_IND84, CAND_IND85, CAND_IND86, CAND_IND87, CAND_IND88, CAND_IND89, CAND_IND90, CAND_IND91, CAND_IND92, CAND_IND93,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,ABASOLO,2,4,119,,31,,,436,34,98,460,63,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679,1,54,1734,2288,
19,NUEVO LEON,2,AGUALEGUAS,9,10,1216,1074,,1,,601,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,1,33,2938,3965,
19,NUEVO LEON,3,LOS ALDAMAS,5,5,626,,,,,,686,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349,0,20,1369,2160,
19,NUEVO LEON,4,ALLENDE,19,46,4633,4764,,90,,2039,1038,,,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13981,1,376,14358,27284,
19,NUEVO LEON,5,ANAHUAC,14,27,1582,3280,32,56,,851,25,,,324,,2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8931,0,287,9218,14525,
19,NUEVO LEON,6,APODACA,288,688,45430,62697,1329,5316,,9675,4404,,,45617,,,19036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193504,49,3602,197155,403094,
19,NUEVO LEON,7,ARAMBERRI,17,28,3611,4523,,43,,12,23,,,181,,,,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9357,5,334,9696,12010,
19,NUEVO LEON,8,BUSTAMANTE,4,5,1050,116,,27,,,1360,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589,0,43,2632,3293,
19,NUEVO LEON,9,CADEREYTA JIMENEZ,51,131,3973,,,,,950,900,,13147,11097,,,,,521,4312,3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38414,18,947,39379,77542,
19,NUEVO LEON,10,CARMEN,4,33,605,,,,,174,75,,4997,4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10262,3,186,10451,22227,
19,NUEVO LEON,11,CERRALVO,6,12,2667,137,,5,,23,21,,,533,,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019,0,95,4114,6507,
