ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED, CAND_IND41, CAND_IND42, CAND_IND43, CAND_IND44, CAND_IND45, CAND_IND46, CAND_IND47, CAND_IND48, CAND_IND49, CAND_IND50, CAND_IND51, CAND_IND52, CAND_IND53, CAND_IND54, CAND_IND55, CAND_IND56, CAND_IND57, CAND_IND58, CAND_IND59, CAND_IND60, CAND_IND61, CAND_IND62, CAND_IND63, CAND_IND64, CAND_IND65, CAND_IND66, CAND_IND67, CAND_IND68, CAND_IND69, CAND_IND70, CAND_IND71, CAND_IND72, CAND_IND73, CAND_IND74, CAND_IND75, CAND_IND76, CAND_IND77, CAND_IND78, CAND_IND79, CAND_IND80, CAND_IND81, CAND_IND82, CAND_IND83, CAND_IND84, CAND_IND85, CAND_IND86, CAND_IND87, CAND_IND88, CAND_IND89, CAND_IND90, CAND_IND91, CAND_IND92, CAND_IND93,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
19,NUEVO LEON,1,ABASOLO,2,4,119,441,31,19,35,436,34,23,5,98,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679,1,54,1734,2288
19,NUEVO LEON,2,AGUALEGUAS,9,10,1216,1074,,1,,601,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,1,33,2938,3965
19,NUEVO LEON,3,LOS ALDAMAS,5,5,626,28,,9,,,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349,0,20,1369,2160
19,NUEVO LEON,4,ALLENDE,19,46,4633,4764,,90,458,2039,1038,862,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13981,1,376,14358,27284
19,NUEVO LEON,5,ANAHUAC,14,27,1582,3280,32,56,67,851,25,247,10,,,2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8931,0,287,9218,14525
19,NUEVO LEON,6,APODACA,288,688,45430,62697,1329,5316,5654,9675,4404,37594,2369,,,,19036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193504,49,3602,197155,403094
19,NUEVO LEON,7,ARAMBERRI,17,28,3611,4523,,43,65,12,23,99,17,,,,,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9357,5,334,9696,12010
19,NUEVO LEON,8,BUSTAMANTE,4,5,1050,116,,27,2,,1360,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589,0,43,2632,3293
19,NUEVO LEON,9,CADEREYTA JIMENEZ,51,131,3973,3778,,9369,2404,950,900,7950,743,,,,,,521,4312,3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38414,18,947,39379,77542
19,NUEVO LEON,10,CARMEN,4,33,605,3858,,1139,2951,174,75,1145,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10262,3,186,10451,22227
19,NUEVO LEON,11,CERRALVO,6,12,2667,137,,5,94,23,21,412,27,,,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019,0,95,4114,6507
19,NUEVO LEON,12,CIENEGA DE FLORES,5,48,777,733,132,3247,281,482,1218,1172,182,343,,,,,,,,,5872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14439,1,451,14891,31320
19,NUEVO LEON,13,CHINA,11,18,1534,1038,,164,,,1765,,,,,,,,,,,,,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6178,0,148,6326,9483
19,NUEVO LEON,14,DR. ARROYO,37,56,7553,11403,135,22,157,21,68,195,27,,,,,,,,,,,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20761,14,860,21635,28105
19,NUEVO LEON,15,DR. COSS,5,6,437,660,,14,,,613,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,0,32,1784,2717
19,NUEVO LEON,16,DR. GONZALEZ,4,6,284,492,99,13,414,56,60,30,8,84,,,,,,,,,,,,,368,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117,0,70,2187,3153
19,NUEVO LEON,17,GALEANA,37,64,725,9408,,516,1175,206,1048,2068,460,17,,,,,,,,,,,,,,,2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18374,10,971,19355,30138
19,NUEVO LEON,18,GARCIA,114,269,7877,6780,1405,1368,2555,3516,1085,13383,822,473,,,,,,,,,,,,,,,,24009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63273,25,1546,64844,157626
19,NUEVO LEON,19,SAN PEDRO GARZA GARCIA,62,176,25169,2554,,478,424,,679,2489,164,98,,,,,,,,,,,,,,,,,3619,32326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000,9,936,68945,103718
19,NUEVO LEON,20,GRAL. BRAVO,6,9,1836,125,,14,11,,21,58,4,,,,,,,,,,,,,,,,,,,,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599,0,160,3759,5665
19,NUEVO LEON,21,GRAL. ESCOBEDO,125,461,33002,51910,1054,10036,5410,5114,1339,19235,1469,458,,,,,,,,,,,,,,,,,,,,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130326,54,6268,136648,292794
19,NUEVO LEON,22,GRAL. TERAN,15,24,306,2564,,667,175,1004,167,388,215,,,,,,,,,,,,,,,,,,,,,,1104,943,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7663,0,366,8029,13007
19,NUEVO LEON,23,GRAL. TREVINO,2,4,739,186,,,,,479,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,0,28,1462,1892
19,NUEVO LEON,24,GRAL. ZARAGOZA,5,11,48,1039,,22,1584,1,1164,62,44,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3984,0,62,4046,4977
19,NUEVO LEON,25,GRAL. ZUAZUA,45,70,3779,2994,939,3224,1229,732,210,2431,154,,,,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16688,0,317,17005,37967
19,NUEVO LEON,26,GUADALUPE,295,882,69354,63169,3324,6548,7033,10591,4050,31451,3201,583,,,,,,,,,,,,,,,,,,,,,,,,,,45267,841,4305,1907,837,1370,,,,,,,,,,,,,,,,,,,,,,,253831,123,8408,262362,540971
19,NUEVO LEON,27,LOS HERRERAS,6,6,639,30,,753,16,27,327,112,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,0,59,1967,2686
19,NUEVO LEON,28,HIDALGO,9,22,1095,721,649,1253,75,533,621,310,102,1483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,815,,,,,,,,,,,,,,,,,,,,,8575,1,251,8827,12798
19,NUEVO LEON,29,HIGUERAS,2,3,234,28,433,52,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,0,32,838,1438
19,NUEVO LEON,30,HUALAHUISES,8,12,665,2413,2,60,20,,316,45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,4177,1,78,4256,6147
19,NUEVO LEON,31,ITURBIDE,4,6,40,1242,,837,8,,2,58,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,2533,0,97,2630,3013
19,NUEVO LEON,32,JUAREZ,151,359,8365,26874,1915,2235,1853,5967,3419,11038,1693,2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25591,,,,,,,,,,,,,,,,,,91781,15,2205,94001,209923
19,NUEVO LEON,33,LAMPAZOS DE NARANJO,4,9,2541,929,,2,9,,5,20,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3517,0,65,3582,4754
19,NUEVO LEON,34,LINARES,47,110,15518,8732,198,635,676,244,4434,2001,177,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32651,1,1207,33859,63409
19,NUEVO LEON,35,MARIN,3,8,1116,,,1185,4,19,9,18,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383,0,56,2439,4575
19,NUEVO LEON,36,MELCHOR OCAMPO,2,3,19,,,3,541,,812,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,0,31,1417,1698
19,NUEVO LEON,37,MIER Y NORIEGA,9,13,42,2054,25,10,44,1,10,366,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159,,,,,,,,,,,,,,,,,4734,0,94,4828,6215
19,NUEVO LEON,38,MINA,7,11,46,1701,,126,18,120,28,17,4,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,,,,3410,0,113,3523,4709
19,NUEVO LEON,39,MONTEMORELOS,42,91,3058,8884,,357,3064,912,1179,7087,542,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,,,,,,,,,,,,,,,25755,5,775,26535,51570
19,NUEVO LEON,40,MONTERREY,715,1606,121505,127171,580,3101,44894,1600,1995,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,,,,,,,,,,,,,301992,79,6649,308720,939568
19,NUEVO LEON,41,PARAS,3,4,847,623,,7,4,,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0,26,1526,1851
19,NUEVO LEON,42,PESQUERIA,14,75,1128,8522,,1815,483,508,175,3132,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,,,,,,,,,,,,20162,12,747,20921,50678
19,NUEVO LEON,43,LOS RAMONES,12,13,1026,79,,881,8,3,26,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,,,,,,,,,,,2968,0,116,3084,5290
19,NUEVO LEON,44,RAYONES,5,7,1751,880,,,5,,43,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,2741,0,52,2793,3277
19,NUEVO LEON,45,SABINAS HIDALGO,24,50,9410,2901,84,1356,640,587,191,942,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,16347,0,381,16728,27700
19,NUEVO LEON,46,SALINAS VICTORIA,9,60,9980,5818,491,165,363,613,160,1634,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,,,,,,,,20284,1,591,20876,39283
19,NUEVO LEON,47,SAN NICOLAS DE LOS GARZA,239,616,107265,21226,2108,4941,5348,12791,3771,29386,2166,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13080,4241,9749,,,,,217049,303,4563,221915,365168
19,NUEVO LEON,48,SANTA CATARINA,87,331,53637,7197,545,2523,1872,3712,2116,10013,792,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17340,,,,100321,51,2512,102884,212885
19,NUEVO LEON,49,SANTIAGO,25,64,6561,7637,,434,1152,759,231,897,98,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,273,,18918,2,389,19309,37516
19,NUEVO LEON,50,VALLECILLO,6,6,26,300,283,3,509,232,14,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,1685,0,51,1736,2287
19,NUEVO LEON,51,VILLALDAMA,5,7,1201,28,13,4,245,1237,93,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2853,0,83,2936,3672
