ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,PAN_UDC_PPC_ES,PAN_UDC_PPC,PAN_UDC_ES,PAN_PPC_ES,UDC_PPC_ES,PAN_UDC,PAN_PPC,PAN_ES,UDC_PPC,UDC_ES,PPC_ES,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,1,ABASOLO,2,2,287,393,0,5,1,1,1,4,0,0,47,1,0,37,3,0,0,0,0,0,0,0,0,0,0,0,,,,0,780,12,792,1096,0.7226
5,COAHUILA,2,ACUÑA,64,173,5491,14632,9782,431,629,20405,497,543,170,78,2253,115,48,1749,361,36,30,10,7,0,512,2,3,6,2,0,,,,17,57792,1122,58931,112033,0.5260
5,COAHUILA,3,ALLENDE,15,32,2703,3779,124,199,64,2435,34,407,26,17,52,23,26,534,19,2,15,1,0,0,98,1,1,0,0,0,,,,2,10560,334,10896,19054,0.5718
5,COAHUILA,4,ARTEAGA,21,37,2399,5934,242,261,117,128,62,141,126,28,905,47,149,670,189,1,0,0,0,0,0,0,0,0,0,0,,,,13,11399,701,12113,18604,0.6511
5,COAHUILA,5,CANDELA,3,4,560,596,0,0,5,5,0,25,0,1,40,0,0,19,18,0,1,1,0,0,3,1,0,0,0,0,,,,0,1275,23,1298,1681,0.7722
5,COAHUILA,6,CASTAÑOS,23,40,1711,4056,3595,145,1199,53,45,195,53,21,139,15,8,781,300,3,2,3,0,0,6,1,12,0,2,0,,,,13,12345,616,12974,21467,0.6044
5,COAHUILA,7,CUATROCIENEGAS,14,23,2004,2599,283,97,35,39,451,101,27,17,69,13,9,271,17,3,2,0,0,0,7,2,0,1,0,0,,,,6,6047,449,6502,10008,0.6497
5,COAHUILA,8,ESCOBEDO,4,6,212,792,321,18,8,0,3,6,19,15,46,8,0,198,16,0,0,0,0,0,0,0,0,0,0,0,,,,0,1662,56,1718,2479,0.6930
5,COAHUILA,9,FRANCISCO I.MADERO,42,76,5351,8986,550,351,1282,949,140,1044,223,588,4527,472,32,2894,118,14,18,3,1,0,35,9,2,1,0,0,,,,7,27590,743,28340,43557,0.6506
5,COAHUILA,10,FRONTERA,41,95,8817,11097,426,2338,743,68,267,696,351,44,624,37,69,4925,165,7,2,2,0,0,8,2,3,0,0,1,,,,13,30692,686,31391,60794,0.5164
5,COAHUILA,11,GRAL. CEPEDA,16,20,2410,1967,50,28,54,16,27,115,2,10,247,24,819,407,22,0,0,0,0,0,0,0,0,0,0,0,,,,0,6198,191,6389,9565,0.6680
5,COAHUILA,12,GUERRERO,5,5,543,560,4,2,3,2,1,19,1,1,8,2,0,31,1,2,0,0,0,0,0,0,0,0,0,0,,,,0,1180,45,1225,1797,0.6817
5,COAHUILA,13,HIDALGO,2,3,143,465,2,0,0,118,2,44,0,0,24,3,0,5,4,1,6,0,0,0,5,0,0,0,0,0,,,,0,822,20,842,1160,0.7259
5,COAHUILA,14,JIMENEZ,10,15,739,1744,165,676,21,678,7,20,96,5,615,17,4,170,5,0,9,0,0,0,67,1,0,2,0,0,,,,0,5041,169,5210,8318,0.6264
5,COAHUILA,15,JUAREZ,4,4,180,440,206,4,0,5,21,6,29,2,8,4,1,11,43,0,0,0,0,0,0,0,1,0,0,0,,,,0,961,36,997,1433,0.6957
5,COAHUILA,16,LAMADRID,2,3,567,468,5,3,3,9,4,26,4,15,66,1,0,62,1,0,0,0,0,0,1,2,0,0,0,0,,,,0,1237,43,1280,1631,0.7848
5,COAHUILA,17,MATAMOROS,62,134,5661,19828,824,541,1047,1032,231,2842,302,14185,647,1788,459,4151,270,23,66,0,4,1,28,188,2,10,1,0,,,,18,54131,1028,55177,82229,0.6710
5,COAHUILA,18,MONCLOVA,124,282,33698,30544,1223,1831,2035,317,1053,1994,1118,143,1037,386,110,18245,655,32,3,7,1,0,19,5,9,0,1,1,,,,69,94467,1884,96420,173863,0.5546
5,COAHUILA,19,MORELOS,6,12,1423,1482,260,103,14,207,10,37,4,2,82,8,4,432,37,4,2,2,0,0,28,1,0,0,0,0,,,,0,4142,96,4238,6756,0.6273
5,COAHUILA,20,MUZQUIZ,48,91,5730,12026,157,403,237,3296,1765,856,71,167,212,52,88,2221,109,19,14,4,0,1,146,4,4,2,1,2,615,,,9,28202,742,28953,54044,0.5357
5,COAHUILA,21,NADADORES,8,12,1034,1560,28,230,8,52,12,118,7,3,178,2,2,182,8,3,1,2,0,0,7,0,2,0,0,0,,,,0,3439,89,3528,5292,0.6667
5,COAHUILA,22,NAVA,15,34,3178,4391,223,169,158,812,157,147,39,20,131,35,24,1090,47,10,7,2,2,0,82,1,2,0,0,0,,,,1,10727,300,11028,20513,0.5376
5,COAHUILA,23,OCAMPO,13,19,649,1543,85,18,17,29,1141,48,9,8,100,2,3,551,5,3,0,0,0,0,1,0,0,0,0,0,,,,2,4212,169,4383,7878,0.5564
5,COAHUILA,24,PARRAS,34,65,2148,4425,306,304,2484,448,97,2339,1321,85,921,83,3153,948,106,2,1,1,0,0,20,1,0,0,0,0,,,,4,19193,1125,20322,35742,0.5686
5,COAHUILA,25,PIEDRAS NEGRAS,87,207,20820,23376,1516,2203,1850,662,836,2146,866,148,1419,296,133,6853,591,39,13,5,3,0,31,10,7,1,2,0,,,,114,63826,1738,65678,128598,0.5107
5,COAHUILA,26,PROGRESO,6,6,166,1050,95,5,3,14,3,20,19,0,38,2,2,513,8,1,0,0,0,0,0,0,0,0,0,0,,,,0,1939,48,1987,3017,0.6586
