CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1712,B,26,135,102,1,7,21,63,21,4,7,2,2,0,1,1,0,393,14,407,664,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1713,C01,8,93,67,0,10,16,38,4,4,5,0,1,0,1,5,0,252,7,259,392,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1714,C01,9,150,58,5,4,16,22,11,1,10,0,0,0,0,2,0,288,9,297,476,ACTA CASILLA,,,
2,32,ZACATECAS,13,JALPA,34,NOCHISTLAN DE MEJIA,977,C01,48,53,12,21,4,2,70,18,5,1,1,0,0,1,1,0,237,7,244,422,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,50,TRANCOSO,525,B,7,58,88,16,3,4,94,6,1,0,0,0,0,0,1,0,278,19,297,392,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1713,B,5,73,71,1,7,14,23,16,15,3,0,2,1,0,1,0,232,9,241,392,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,50,TRANCOSO,530,C02,11,119,96,16,8,8,63,27,6,0,1,0,0,1,1,0,357,15,372,516,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1715,B,19,153,66,0,3,8,80,8,5,5,0,0,0,1,1,0,349,9,358,542,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1095,B,4,131,5,2,1,2,150,11,0,0,0,0,0,0,1,0,307,5,312,413,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,B,13,115,29,22,0,4,114,28,3,0,2,1,0,5,7,0,343,8,351,725,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,442,C01,5,41,27,42,42,45,38,32,1,0,7,5,1,1,0,0,287,10,297,440,ACTA CASILLA,,,
2,32,ZACATECAS,13,JALPA,34,NOCHISTLAN DE MEJIA,986,B,5,52,1,3,0,0,2,2,0,0,0,0,0,1,1,0,67,2,69,121,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,442,B,4,38,17,29,46,58,36,39,1,1,4,5,1,1,2,0,282,12,294,440,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,443,B,7,74,33,36,47,24,38,14,0,2,15,7,1,2,1,0,301,10,311,455,ACTA CASILLA,,,
2,32,ZACATECAS,18,JUAN ALDAMA,21,JUAN ALDAMA,718,C01,21,150,16,94,5,2,118,51,0,1,3,1,0,0,1,0,463,6,469,745,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,445,B,3,81,33,63,50,28,10,21,0,3,6,0,0,3,0,0,301,9,310,520,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,C06,11,113,26,24,9,2,127,25,2,0,2,0,0,7,10,0,358,8,366,725,ACTA CASILLA,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,125,B,11,73,16,58,1,1,19,14,1,0,1,1,0,0,0,0,196,6,202,318,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,18,JUAN ALDAMA,21,JUAN ALDAMA,719,B,12,110,6,46,7,4,79,50,0,1,6,0,0,0,0,0,321,6,327,553,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,52,VETAGRANDE,1602,C01,13,147,62,7,1,2,94,22,8,1,2,0,0,2,2,0,363,9,372,413,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1096,C01,8,112,13,1,1,2,142,13,1,2,1,0,0,3,1,0,300,3,303,397,ACTA CASILLA,,,
2,32,ZACATECAS,13,JALPA,34,NOCHISTLAN DE MEJIA,993,B,1,35,2,15,3,0,6,12,0,0,1,0,0,0,0,0,75,4,79,131,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,C11,13,108,36,25,4,3,136,20,4,1,2,0,0,6,2,0,360,11,371,724,ACTA CASILLA,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,119,B,28,185,27,53,1,5,88,30,1,2,2,0,0,1,0,0,423,4,427,671,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,130,B,12,104,8,34,2,7,23,26,1,1,0,2,0,0,0,0,220,11,231,401,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,125,E01,8,46,18,17,4,4,10,1,0,3,1,0,0,0,0,0,112,3,115,181,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,145,B,14,95,5,11,5,3,86,48,0,0,1,0,0,6,3,0,277,5,282,547,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,C12,12,108,21,18,9,5,110,16,1,1,0,0,0,2,9,0,312,6,318,724,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,142,C01,12,67,6,3,1,1,83,26,1,3,4,0,0,4,5,0,216,4,220,419,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,C13,19,99,22,30,7,4,128,27,4,1,1,1,0,5,8,0,356,10,366,724,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,448,C01,12,51,21,52,32,21,20,25,3,2,6,1,2,2,3,0,253,3,256,436,ACTA CASILLA,,,
2,32,ZACATECAS,13,JALPA,18,JALPA,569,B,75,96,9,4,10,16,99,15,4,0,1,0,0,2,4,0,335,4,339,598,ACTA CASILLA,,,
2,32,ZACATECAS,10,JEREZ,19,JEREZ,615,B,56,131,13,8,8,3,70,38,0,1,2,0,0,5,8,0,343,19,362,596,ACTA CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1820,B,15,90,21,11,3,1,158,23,1,1,1,0,0,6,5,0,336,4,340,643,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,174,B,32,71,17,6,4,0,117,33,0,1,3,0,0,9,1,7,294,0,301,623,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,547,B,6,162,22,10,6,1,52,13,2,0,1,0,0,0,0,0,275,0,275,371,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,50,TRANCOSO,529,C02,17,112,48,18,11,7,82,35,4,0,2,1,0,2,1,0,340,13,353,525,ACTA CASILLA,,,
2,32,ZACATECAS,16,RIO GRANDE,40,RIO GRANDE,1207,B,68,91,29,4,7,1,82,14,6,0,0,0,0,1,2,0,305,12,317,582,ACTA CASILLA,,,
