ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,APOZOL,11,12,706,685,117,24,44,474,976,59,28,10,0,40,5,9,20,1,3197,112,3310,5408,0.6121
32,ZACATECAS,2,APULCO,8,9,217,849,43,411,37,45,735,293,6,7,8,4,0,16,12,0,2683,105,2788,4278,0.6517
32,ZACATECAS,3,ATOLINGA,8,8,197,616,88,145,37,150,200,45,25,0,4,12,2,6,3,0,1530,84,1614,2455,0.6574
32,ZACATECAS,4,BENITO JUAREZ,9,9,867,776,42,6,22,4,584,15,11,1,10,1,1,6,10,0,2356,64,2420,3452,0.701
32,ZACATECAS,5,CALERA,21,48,2361,4240,897,385,163,208,3074,2301,292,28,22,4,2,243,318,7,14538,415,14960,27063,0.5528
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,913,692,97,42,453,208,977,817,37,13,45,3,3,32,22,1,4354,89,4444,6021,0.7381
32,ZACATECAS,7,CONCEPCION DEL ORO,22,25,109,2441,290,69,62,30,2902,266,17,3,8,1,1,39,25,3,6263,115,6381,9330,0.6839
32,ZACATECAS,8,CUAUHTEMOC,11,18,120,1867,723,635,356,54,975,1263,54,8,42,0,1,20,28,2,6146,185,6333,8644,0.7326
32,ZACATECAS,9,CHALCHIHUITES,21,25,279,2327,326,774,42,92,838,382,13,32,8,10,2,12,5,0,5142,119,5261,8408,0.6257
32,ZACATECAS,10,EL PLATEADO DE JOAQUIN AMARO,5,5,31,522,482,2,13,7,77,15,15,4,11,2,0,3,4,0,1188,13,1201,1656,0.7252
32,ZACATECAS,11,EL SALVADOR,6,6,6,172,389,2,853,6,197,39,16,0,17,0,5,3,0,0,1705,35,1740,2159,0.8059
32,ZACATECAS,12,GENERAL ENRIQUE ESTRADA,7,11,512,839,198,20,57,22,380,962,78,3,12,2,0,16,23,0,3124,87,3211,4638,0.6923
32,ZACATECAS,13,FRESNILLO,204,313,6070,28534,3929,2539,1549,1146,31316,9838,551,182,417,53,36,977,1174,53,88311,2416,90780,157447,0.5766
32,ZACATECAS,14,TRINIDAD GARCIA DE LA CADENA,7,8,355,683,46,33,17,2,446,20,19,0,5,2,1,6,6,1,1641,39,1681,2781,0.6045
32,ZACATECAS,15,GENARO CODINA,16,18,198,1221,466,97,466,26,618,373,57,24,114,4,3,73,133,1,3873,149,4023,5921,0.6794
32,ZACATECAS,16,GUADALUPE,106,214,3895,21702,5790,2211,1372,566,22741,4434,643,431,321,47,9,1058,1243,31,66463,1618,68112,117677,0.5788
32,ZACATECAS,17,HUANUSCO,13,14,578,918,89,14,35,8,394,112,58,8,17,3,1,5,7,1,2247,51,2299,3903,0.589
32,ZACATECAS,18,JALPA,34,44,2084,3319,302,479,312,310,2382,901,58,11,32,5,10,58,113,2,10376,383,10761,19495,0.552
32,ZACATECAS,19,JEREZ,95,115,5981,9531,1277,667,486,472,4805,2561,223,71,36,26,10,356,767,14,27269,1059,28342,49342,0.5744
32,ZACATECAS,20,JIMENEZ DEL TEUL,10,11,94,1053,147,43,37,43,634,123,31,19,2,10,2,10,4,0,2252,59,2311,3311,0.698
32,ZACATECAS,21,JUAN ALDAMA,23,32,403,2946,192,1685,146,86,2480,1227,12,18,58,6,2,27,35,0,9323,300,9623,15609,0.6165
32,ZACATECAS,22,JUCHIPILA,20,25,1553,1836,314,91,70,45,1754,154,89,3,13,4,1,66,52,0,6045,217,6262,10931,0.5729
32,ZACATECAS,23,LUIS MOYA,12,17,335,1757,115,37,292,85,1737,1318,32,46,36,4,3,27,39,0,5863,129,5992,9024,0.664
32,ZACATECAS,24,LORETO,31,61,527,4500,680,3184,538,204,6515,2254,58,29,59,6,8,84,150,3,18796,528,19327,32455,0.5955
32,ZACATECAS,25,MAZAPIL,47,50,54,4399,717,132,47,2414,2152,282,34,9,2,18,9,12,12,3,10293,290,10586,13853,0.7642
32,ZACATECAS,26,GENERAL FRANCISCO R. MURGUIA,42,48,167,5084,369,698,117,52,3623,465,26,14,30,6,2,40,47,1,10740,281,11022,17249,0.639
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,19,848,550,24,4,1,510,17,12,0,1,1,0,4,1,1,1992,58,2051,2395,0.8564
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,86,658,628,5,18,3,259,10,35,2,11,0,0,2,2,0,1719,27,1746,2357,0.7408
32,ZACATECAS,29,MIGUEL AUZA,21,33,661,2585,491,154,57,94,3685,1409,82,5,19,3,1,79,104,4,9429,215,9648,16269,0.593
32,ZACATECAS,30,MOMAX,6,7,216,589,7,136,17,214,192,76,2,1,3,5,1,4,6,1,1469,30,1500,2300,0.6522
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,1276,1525,99,764,106,30,612,285,38,10,13,5,2,13,20,1,4798,146,4945,7674,0.6444
32,ZACATECAS,32,MORELOS,9,18,417,1408,447,178,33,466,2130,498,47,3,8,6,2,266,230,0,6139,165,6304,8799,0.7164
32,ZACATECAS,33,MOYAHUA DE ESTRADA,10,11,522,1100,237,24,28,25,477,66,87,2,6,0,2,10,16,2,2602,78,2682,4463,0.6009
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,44,59,2007,3892,504,2292,200,98,2978,1489,171,27,102,8,2,56,118,0,13944,526,14470,24222,0.5974
32,ZACATECAS,35,NORIA DE ANGELES,16,23,149,2569,812,719,53,30,2753,386,98,10,20,2,1,34,34,1,7670,197,7868,11096,0.7091
32,ZACATECAS,36,OJOCALIENTE,42,63,916,5862,1113,2299,505,297,3057,1800,121,136,138,22,8,54,90,8,16418,543,16969,29141,0.5823
32,ZACATECAS,37,GENERAL PANFILO NATERA,24,36,242,1873,1554,1429,1948,1031,1379,961,71,40,205,98,31,47,34,5,10943,416,11364,17310,0.6565
32,ZACATECAS,38,PANUCO,14,25,408,3431,327,1303,59,58,1388,918,92,12,23,3,4,29,58,0,8113,196,8309,11926,0.6967
32,ZACATECAS,39,PINOS,95,114,323,15430,1092,657,511,229,13355,744,17,44,83,9,8,133,141,11,32776,876,33663,48705,0.6912
32,ZACATECAS,40,RIO GRANDE,63,97,2771,8306,2397,1601,490,351,6623,2136,418,30,69,14,11,126,132,7,25475,998,26480,48829,0.5423
32,ZACATECAS,41,SAIN ALTO,27,34,542,3235,3700,154,52,72,2223,354,182,6,26,2,1,11,21,0,10581,335,10916,16084,0.6787
32,ZACATECAS,42,SANTA MARIA DE LA PAZ,8,8,415,466,84,43,11,2,397,25,21,2,5,2,0,5,5,0,1483,42,1525,2411,0.6325
32,ZACATECAS,43,SOMBRERETE,89,113,4552,5470,3570,1089,667,503,5310,2839,918,121,55,34,13,98,145,17,25384,792,26193,46398,0.5645
32,ZACATECAS,44,SUSTICACAN,3,3,36,302,15,24,6,11,230,190,1,2,2,2,0,6,18,0,845,38,883,1249,0.707
32,ZACATECAS,45,TABASCO,21,26,1705,3407,292,157,129,112,812,515,110,16,81,5,3,19,53,0,7416,231,7647,12276,0.6229
32,ZACATECAS,46,TEPECHITLAN,19,21,528,1754,725,171,66,13,884,90,125,2,5,2,1,11,10,1,4387,111,4499,7104,0.6333
