ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PT,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,ZACATECAS,62,130,768,17128,2488,5645,13458,822,975,39,41284,911,42234,71939,0.5871
32,ZACATECAS,2,ZACATECAS,79,133,921,13515,3809,7670,14238,841,921,25,41915,1082,43022,69765,0.6167
32,ZACATECAS,3,GUADALUPE,59,114,1164,12164,2591,5570,12870,634,752,20,35745,927,36692,62877,0.5836
32,ZACATECAS,4,GUADALUPE,55,115,1231,11894,2286,6083,13575,489,510,13,36068,815,36896,62107,0.5941
32,ZACATECAS,5,FRESNILLO,70,116,1041,11984,3623,3235,12608,301,374,11,33166,940,34117,59251,0.5758
32,ZACATECAS,6,FRESNILLO,80,124,730,13014,4464,5638,11353,493,624,31,36316,906,37253,64515,0.5774
32,ZACATECAS,7,FRESNILLO,128,159,906,9474,3949,7223,16302,233,244,13,38331,1128,39472,65056,0.6067
32,ZACATECAS,8,OJOCALIENTE,74,118,3845,7116,3157,6461,14501,136,157,14,35373,1357,36744,57519,0.6388
32,ZACATECAS,9,LORETO,63,109,4276,12289,3495,2811,11758,181,240,5,35050,1000,36055,55891,0.6451
32,ZACATECAS,10,JEREZ,139,161,1475,6143,3207,9626,14864,389,823,15,36527,1361,37903,64535,0.5873
32,ZACATECAS,11,VILLANUEVA,104,137,1675,6217,4377,8415,16174,175,303,9,37336,1163,38508,59822,0.6437
32,ZACATECAS,12,VILLA DE COS,143,176,2489,9864,3020,7494,20611,406,435,17,44319,1210,45546,64180,0.7097
32,ZACATECAS,13,JALPA,125,157,3355,7378,3325,8752,14580,157,307,3,37854,1309,39166,65830,0.5950
32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,153,181,851,10193,1151,11365,16568,432,243,10,40803,1266,42079,67770,0.6209
32,ZACATECAS,15,PINOS,118,143,768,14829,1097,4439,20462,157,157,11,41909,1091,43011,61867,0.6952
32,ZACATECAS,16,RIO GRANDE,88,125,1500,8038,2916,9799,12200,130,145,5,34728,1258,35991,60053,0.5993
32,ZACATECAS,17,SOMBRERETE,120,149,1906,6789,3344,9930,10542,120,154,17,32785,970,33772,58117,0.5811
32,ZACATECAS,18,JUAN ALDAMA,98,132,2834,11573,3492,3661,13213,185,216,7,35174,960,36141,60008,0.6023
32,ZACATECAS,0,VOTO EN EL EXTRANJERO,0,0,1,18,0,24,31,4,2,0,80,0,80,357,0.2241
