uniqueid,year,incumbent_party_Horacio
10023,2016,PRI_PVEM_PD_PANAL
10023,2019,NA
10024,1995,PRI
10024,1998,PRI
10024,2001,PAN
10024,2004,PRI
10024,2007,PRI_PANAL
10024,2010,PAN_PRD_MC
10024,2013,PRI_PVEM_PANAL_PD
10024,2016,PRI_PVEM_PD_PANAL
10024,2019,NA
10025,1995,PRI
10025,1998,PRI
10025,2001,PRI
10025,2004,PRI
10025,2007,PRD
10025,2010,PAN_PRD_MC
10025,2013,PRI_PVEM_PANAL_PD
10025,2016,PRI
10025,2019,NA
10026,1995,PT
10026,1998,PRI
10026,2001,PRI
10026,2004,PRI
10026,2007,PAN
10026,2010,PRI_PVEM_PANAL_PD
10026,2013,MC
10026,2016,PRI_PVEM_PD_PANAL
10026,2019,NA
10027,1995,PAN
10027,1998,PRI
10027,2001,PAN
10027,2004,PD
10027,2007,PAN
10027,2010,PRI_PVEM_PANAL_PD
10027,2013,NA
10027,2016,PAN_PRD
10027,2019,NA
10028,1995,PRI
10028,1998,PT
10028,2001,PRI
10028,2004,PRI
10028,2007,PRI_PANAL
10028,2010,PAN_PRD_MC
10028,2013,PRI_PVEM_PANAL_PD
10028,2016,PRI_PVEM_PD_PANAL
10028,2019,NA
10029,1995,PAN
10029,1998,PRI
10029,2001,PRI
10029,2004,PAN
10029,2007,PRI_PANAL
10029,2010,PRI_PVEM_PANAL_PD
10029,2013,PRI_PVEM_PANAL_PD
10029,2016,PRI_PVEM_PD_PANAL
10029,2019,NA
10030,1995,PRI
10030,1998,PAN
10030,2001,PRI
10030,2004,PRI
10030,2007,PT_MC
10030,2010,PRI_PVEM_PANAL_PD
10030,2013,PT
10030,2016,PRI
10030,2019,NA
10031,1995,PT
10031,1998,PRI
10031,2001,PRI
10031,2004,PRI
10031,2007,PRD
10031,2010,PAN_PRD_MC
10031,2013,PRI_PVEM_PANAL_PD
10031,2016,PRI
10031,2019,NA
10032,1995,PAN
10032,1998,PAN
10032,2001,PRI
10032,2004,PAN
10032,2007,PRI_PANAL
10032,2010,PAN_PRD_MC
10032,2013,PRI_PVEM_PANAL_PD
10032,2016,PRI_PVEM_PD_PANAL
10032,2019,NA
10033,1995,PRD
10033,1998,PRI
10033,2001,PRI
10033,2004,PRD_PT
10033,2007,PAN
10033,2010,PRI_PVEM_PANAL_PD
10033,2013,PRI_PVEM_PANAL_PD
10033,2016,PT
10033,2019,NA
10034,1995,PRI
10034,1998,PRI
10034,2001,PRI
10034,2004,PRI
10034,2007,PRI_PANAL
10034,2010,PRI_PVEM_PANAL_PD
10034,2013,PRI_PVEM_PANAL_PD
10034,2016,PRI
10034,2019,NA
10035,1995,PRI
10035,1998,PRI
10035,2001,PRI
10035,2004,PRI
10035,2007,PAN
10035,2010,PAN_PRD_MC
10035,2013,PRI_PVEM_PANAL_PD
10035,2016,PRI_PVEM_PD_PANAL
10035,2019,NA
10036,1995,PRI
10036,1998,PRI
10036,2001,PD
10036,2004,PRI
10036,2007,PRI_PANAL
10036,2010,PRI_PVEM_PANAL_PD
10036,2013,PRI_PVEM_PANAL_PD
10036,2016,PAN_PRD
10036,2019,NA
10037,1995,PRI
10037,1998,PAN
10037,2001,PRI
10037,2004,PAN
10037,2007,PRI_PANAL_PD
10037,2010,PAN_PRD_MC
10037,2013,PRI_PVEM_PANAL_PD
10037,2016,PRI
10037,2019,NA
10038,1995,PAN
10038,1998,PRI
10038,2001,PAN
10038,2004,PRD_PT
10038,2007,PRI_PANAL_PD
10038,2010,PAN_PRD_MC
10038,2013,PRI_PVEM_PANAL_PD
10038,2016,PRI_PVEM_PD_PANAL
10038,2019,NA
10039,1995,PRI
10039,1998,PRI
10039,2001,PAN
10039,2004,PAN
10039,2007,PRI_PANAL
10039,2010,PRI_PVEM_PANAL_PD
10039,2013,PAN
10039,2016,PAN_PRD
10039,2019,NA
