MUNICIPIO,DISTRITO,SECCION,TIPO DE CASILLA,LISTA NOMINAL,PAN,PRI,PRI-PVEM,PRD,PT,PVEM,CONV,PY,PAY,NO REGISTRADOS,NULOS,TOTAL
Panabá,10,711,0711 Básica,444,196,116,0,33,2,0,0,2,0,0,8,357
Panabá,10,711,0711 Contigua 1,445,169,145,0,34,0,0,0,3,0,0,14,365
Panabá,10,712,0712 Básica,491,236,131,0,47,0,0,0,0,0,0,10,424
Panabá,10,712,0712 Contigua 1,491,216,126,0,64,1,1,0,6,0,0,5,419
Panabá,10,713,0713 Básica,308,229,34,0,6,0,0,0,0,0,0,6,275
Panabá,10,714,0714 Básica,387,165,77,0,55,0,0,0,0,0,0,2,299
Panabá,10,714,0714 Contigua 1,388,148,100,0,56,0,0,0,1,0,0,0,305
Peto,12,715,0715 Básica,633,244,168,0,2,0,2,3,0,0,0,31,450
Peto,12,715,0715 Contigua 1,634,246,142,0,2,0,4,4,5,2,0,22,427
Peto,12,716,0716 Básica,596,197,204,0,1,0,2,5,3,0,0,17,429
Peto,12,716,0716 Contigua 1,596,226,170,0,0,0,4,2,0,0,0,17,419
Peto,12,717,0717 Básica,697,261,173,0,0,0,6,7,0,0,0,29,476
Peto,12,718,0718 Básica,622,194,179,0,4,0,4,2,0,0,0,18,401
Peto,12,718,0718 Contigua 1,622,219,172,0,4,0,4,0,3,0,0,8,410
Peto,12,719,0719 Básica,631,209,213,0,4,0,1,0,0,0,0,5,432
Peto,12,719,0719 Contigua 1,632,184,225,0,2,1,2,2,1,0,0,4,421
Peto,12,720,0720 Básica,664,236,169,0,6,0,5,2,0,0,0,3,421
Peto,12,720,0720 Contigua 1,664,272,154,0,22,0,4,1,0,0,0,0,453
Peto,12,721,0721 Básica,464,157,124,0,2,0,2,2,0,0,0,0,287
Peto,12,721,0721 Contigua 1,465,150,140,0,3,0,0,5,2,0,0,3,303
Peto,12,722,0722 Básica,543,197,148,0,2,0,0,2,0,0,0,0,349
Peto,12,723,0723 Básica,626,244,131,0,6,0,4,1,0,0,0,14,400
Peto,12,723,0723 Contigua 1,626,257,117,0,10,2,0,0,1,0,0,30,417
Peto,12,724,0724 Básica,384,166,90,0,6,0,5,3,0,0,0,1,271
Peto,12,724,0724 Contigua 1,385,188,87,0,1,0,1,1,3,1,0,7,289
Peto,12,725,0725 Básica,404,139,143,0,1,1,3,6,4,2,0,20,319
Peto,12,726,0726 Básica,161,65,50,0,0,0,1,1,0,0,0,4,121
Peto,12,727,0727 Básica,171,63,60,0,1,0,1,0,2,0,0,14,141
Peto,12,728,0728 Básica,435,222,76,0,1,2,1,1,0,1,0,7,311
Peto,12,729,0729 Básica,336,155,73,0,1,0,0,0,4,0,0,0,233
Peto,12,730,0730 Básica,533,279,104,0,2,0,0,1,0,0,0,23,409
Peto,12,731,0731 Básica,56,10,25,0,1,0,0,0,0,0,0,5,41
Peto,12,732,0732 Básica,347,115,117,0,2,0,0,1,0,0,0,7,242
Peto,12,733,0733 Básica,95,14,48,0,2,0,0,0,0,0,0,6,70
Progreso,8,734,0734 Básica,447,38,0,292,1,0,0,0,1,0,0,0,332
Progreso,8,734,0734 Contigua 1,447,68,0,267,4,3,0,1,1,1,0,21,366
Progreso,8,735,0735 Básica,154,29,0,96,1,0,0,0,0,0,0,1,127
Progreso,8,736,0736 Básica,174,42,0,89,0,0,0,0,1,0,0,3,135
Progreso,8,737,0737 Básica,529,47,0,327,2,0,0,2,1,0,0,23,402
Progreso,8,737,0737 Contigua 1,529,83,0,275,1,0,0,2,1,2,0,18,382
Progreso,8,737,0737 Contigua 2,529,101,0,289,0,0,0,0,1,0,0,12,403
Progreso,8,738,0738 Básica,458,34,0,109,3,0,0,1,2,0,0,9,158
Progreso,8,739,0739 Básica,534,41,0,220,5,1,0,7,0,0,0,6,280
Progreso,8,739,0739 Contigua 1,534,33,0,247,7,1,0,11,4,0,0,0,303
Progreso,8,740,0740 Básica,543,34,0,249,1,0,0,11,3,0,0,0,298
Progreso,8,740,0740 Contigua 1,543,45,0,210,3,1,0,12,3,0,0,14,288
Progreso,8,740,0740 Contigua 2,543,33,0,249,3,1,0,7,3,0,0,0,296
Progreso,8,741,0741 Básica,649,50,0,289,3,0,0,18,2,0,0,23,385
Progreso,8,741,0741 Contigua 1,649,54,0,261,5,1,0,16,1,0,0,0,338
Progreso,8,741,0741 Contigua 2,649,31,0,292,1,2,0,12,5,0,0,14,357
Progreso,8,742,0742 Básica,719,64,0,320,4,0,0,11,2,0,0,11,412
Progreso,8,742,0742 Contigua 1,719,80,0,322,11,1,0,7,11,0,0,10,442
Progreso,8,743,0743 Básica,410,33,0,160,19,0,0,4,2,2,0,11,231
Progreso,8,743,0743 Contigua 1,410,39,0,153,18,1,0,1,0,0,0,7,219
Progreso,8,744,0744 Básica,401,43,0,190,15,1,0,2,2,0,0,5,258
Progreso,8,744,0744 Contigua 1,402,45,0,185,9,2,0,1,2,0,0,4,248
Progreso,8,745,0745 Básica,482,53,0,207,16,0,0,1,2,0,0,16,295
Progreso,8,745,0745 Contigua 1,483,52,0,212,12,0,0,2,2,2,0,7,289
Progreso,8,746,0746 Básica,681,100,0,300,7,0,0,2,1,0,0,11,421
Progreso,8,746,0746 Contigua 1,681,99,0,258,11,1,0,2,3,0,0,14,388
Progreso,8,747,0747 Básica,630,72,0,278,6,3,0,0,0,0,0,14,373
Progreso,8,748,0748 Básica,633,54,0,284,8,1,0,1,2,0,0,18,368
Progreso,8,748,0748 Contigua 1,634,54,0,267,7,2,0,5,5,0,0,17,357
Progreso,8,749,0749 Básica,512,62,0,251,5,0,0,0,1,0,0,15,334
Progreso,8,749,0749 Contigua 1,513,52,0,257,1,1,0,0,4,0,2,11,328
Progreso,8,750,0750 Básica,512,74,0,256,7,0,0,0,2,0,0,15,354
Progreso,8,750,0750 Contigua 1,513,58,0,250,5,1,0,2,4,0,0,15,335
Progreso,8,751,0751 Básica,68,7,0,27,2,0,0,0,0,0,0,0,36
Progreso,8,752,0752 Básica,88,20,0,41,1,0,0,0,1,0,0,2,65
Progreso,8,753,0753 Básica,586,60,0,291,3,0,0,7,2,0,0,14,377
Progreso,8,753,0753 Contigua 1,586,44,0,275,6,1,0,3,4,0,0,18,351
Progreso,8,753,0753 Contigua 2,586,58,0,264,5,0,0,2,2,0,0,18,349
Progreso,8,753,0753 Contigua 3,586,64,0,265,3,0,0,1,4,0,0,13,350
Progreso,8,754,0754 Básica,706,51,0,333,6,0,0,0,3,0,0,12,405
Progreso,8,754,0754 Contigua 1,706,70,0,320,10,1,0,3,8,0,0,10,422
Progreso,8,754,0754 Contigua 2,707,65,0,311,5,0,0,8,2,0,0,19,410
Progreso,8,755,0755 Básica,504,47,0,246,1,0,0,1,2,0,0,10,307
Progreso,8,755,0755 Contigua 1,504,48,0,231,7,0,0,1,1,1,0,8,297
Progreso,8,755,0755 Contigua 2,505,38,0,219,0,0,0,0,4,0,0,11,272
Progreso,8,756,0756 Básica,476,42,0,222,12,1,0,4,1,0,0,8,290
Progreso,8,756,0756 Contigua 1,477,62,0,200,8,1,0,2,3,1,0,6,283
Progreso,8,757,0757 Básica,606,67,0,268,13,0,0,3,3,0,0,11,365
Progreso,8,757,0757 Contigua 1,606,52,0,262,7,0,0,2,3,0,0,11,337
Progreso,8,757,0757 Contigua 2,606,48,0,245,12,3,0,3,5,0,0,7,323
Progreso,8,758,0758 Básica,620,48,0,266,8,0,0,4,2,1,0,17,346
Progreso,8,758,0758 Contigua 1,620,47,0,299,10,2,0,1,6,0,0,10,375
Progreso,8,758,0758 Contigua 2,620,55,0,265,7,0,0,3,3,0,0,11,344
Progreso,8,759,0759 Básica,328,14,0,125,3,1,0,9,1,0,0,0,153
Progreso,8,760,0760 Básica,633,47,0,257,6,1,0,6,2,0,0,17,336
Progreso,8,761,0761 Básica,431,36,0,143,3,1,0,2,2,0,0,12,199
Progreso,8,761,0761 Contigua 1,432,30,0,161,9,0,0,3,1,0,0,3,207
Progreso,8,762,0762 Básica,515,71,0,256,5,1,0,7,3,0,0,23,366
Progreso,8,763,0763 Básica,544,38,0,224,4,1,0,12,2,1,0,0,282
Progreso,8,763,0763 Contigua 1,545,37,0,228,2,0,0,8,4,0,0,14,293
Progreso,8,763,0763 Contigua 2,545,36,0,264,4,1,0,11,1,1,0,13,331
Progreso,8,764,0764 Básica,590,65,0,293,7,5,0,2,4,0,0,17,393
Progreso,8,764,0764 Contigua 1,590,89,0,260,3,0,0,1,3,0,0,0,356
Quintana Roo,10,765,0765 Básica,386,20,150,0,145,0,0,0,2,0,0,13,330
Quintana Roo,10,765,0765 Contigua 1,386,27,143,0,146,0,0,0,3,0,0,9,328
Río Lagartos,10,766,0766 Básica,432,109,199,0,71,0,0,0,5,1,0,6,391
Río Lagartos,10,766,0766 Contigua 1,433,95,214,0,64,0,0,0,1,0,0,17,391
Río Lagartos,10,767,0767 Básica,528,106,197,0,166,0,0,0,0,0,0,11,480
Río Lagartos,10,768,0768 Básica,619,256,106,0,131,0,0,0,0,0,0,16,509
Sacalum,14,769,0769 Básica,508,224,196,0,1,0,1,0,5,1,0,17,445
Sacalum,14,769,0769 Contigua 1,509,0,0,0,0,0,0,0,0,0,0,0,0
Sacalum,14,770,0770 Básica,634,0,0,0,0,0,0,0,0,0,0,0,0
Sacalum,14,770,0770 Contigua 1,634,280,229,0,0,1,1,0,10,0,0,21,542
Sacalum,14,771,0771 Básica,404,0,0,0,0,0,0,0,0,0,0,0,0
Samahil,7,772,0772 Básica,550,132,219,0,133,0,0,0,2,0,0,0,486
Samahil,7,772,0772 Contigua 1,550,127,230,0,134,0,0,0,2,0,0,6,499
Samahil,7,772,0772 Contigua 2,551,199,152,0,123,0,0,0,1,0,0,6,481
Samahil,7,773,0773 Básica,520,81,100,0,310,2,0,0,0,1,0,3,497
Samahil,7,774,0774 Básica,386,121,106,0,74,1,1,0,0,0,0,6,309
Samahil,7,774,0774 Contigua 1,386,102,125,0,53,1,0,0,0,0,0,35,316
Sanahcat,14,775,0775 Básica,558,92,224,0,3,139,0,0,6,0,3,17,484
Sanahcat,14,775,0775 Contigua 1,559,0,0,0,0,0,0,0,0,0,0,0,0
San Felipe,10,776,0776 Básica,387,235,119,0,0,0,0,0,0,0,0,1,355
San Felipe,10,776,0776 Contigua 1,388,213,141,0,0,0,0,0,1,0,0,3,358
San Felipe,10,777,0777 Básica,392,206,147,0,0,0,0,0,0,0,0,1,354
Santa Elena,13,778,0778 Básica,632,0,0,0,0,0,0,0,0,0,0,0,0
Santa Elena,13,778,0778 Contigua 1,632,0,0,0,0,0,0,0,0,0,0,0,0
Santa Elena,13,779,0779 Básica,384,168,137,0,0,0,0,0,0,0,0,9,314
Santa Elena,13,779,0779 Contigua 1,385,0,0,0,0,0,0,0,0,0,0,0,0
Santa Elena,13,780,0780 Básica,172,0,0,0,0,0,0,0,0,0,0,0,0
Seyé,15,781,0781 Básica,693,194,151,0,1,0,1,6,9,134,0,17,513
Seyé,15,781,0781 Contigua 1,693,235,145,0,5,0,2,6,2,98,0,17,510
Seyé,15,782,0782 Básica,390,91,130,0,1,1,0,1,1,65,0,14,304
Seyé,15,782,0782 Contigua 1,391,88,116,0,2,0,0,0,3,61,0,0,270
Seyé,15,783,0783 Básica,570,141,218,0,2,0,2,0,5,49,0,9,426
Seyé,15,783,0783 Contigua 1,570,132,201,0,1,0,0,4,1,70,0,16,425
Seyé,15,783,0783 Contigua 2,571,144,180,0,0,0,0,5,1,65,0,0,395
Seyé,15,784,0784 Básica,639,163,210,0,1,2,0,8,0,70,0,0,454
Seyé,15,784,0784 Contigua 1,639,150,211,0,0,0,0,4,3,75,0,10,453
Seyé,15,785,0785 Básica,403,115,107,0,1,0,0,1,2,56,0,17,299
Seyé,15,785,0785 Extraordinaria 1,166,9,58,0,1,0,1,0,0,40,0,12,121
Sinanché,9,786,0786 Básica,473,164,218,0,0,3,0,0,1,0,0,6,392
Sinanché,9,786,0786 Contigua 1,473,151,219,0,0,3,0,0,2,0,0,9,384
Sinanché,9,787,0787 Básica,448,185,166,0,0,1,0,0,5,0,0,12,369
Sinanché,9,787,0787 Contigua 1,449,155,210,0,0,3,1,0,3,0,0,2,374
Sinanché,9,788,0788 Básica,329,146,141,0,1,0,0,0,0,0,0,2,290
Sotuta,15,789,0789 Básica,449,179,133,0,0,0,0,0,0,3,0,8,323
Sotuta,15,789,0789 Contigua 1,449,178,150,0,0,1,0,0,1,0,0,8,338
Sotuta,15,790,0790 Básica,520,182,180,0,0,1,0,0,3,0,0,11,377
Sotuta,15,791,0791 Básica,608,285,171,0,0,1,0,0,4,0,0,9,470
Sotuta,15,792,0792 Básica,462,191,115,0,0,0,0,0,0,0,0,3,309
Sotuta,15,792,0792 Contigua 1,463,178,137,0,0,1,0,0,4,0,0,12,332
Sotuta,15,793,0793 Básica,404,192,115,0,0,3,0,0,3,0,0,3,316
Sotuta,15,793,0793 Contigua 1,404,189,119,0,0,1,3,0,3,0,0,5,320
Sotuta,15,794,0794 Básica,324,129,114,0,0,0,0,0,0,0,5,1,249
Sotuta,15,795,0795 Básica,390,152,102,0,0,0,0,0,4,0,0,4,262
Sucilá,10,796,0796 Básica,537,206,242,0,0,1,0,0,3,0,0,10,462
Sucilá,10,796,0796 Contigua 1,538,231,221,0,0,0,1,0,0,0,0,0,453
Sucilá,10,797,0797 Básica,670,272,282,0,2,0,0,0,1,0,0,15,572
Sucilá,10,797,0797 Contigua 1,671,253,307,0,0,0,0,0,1,0,0,14,575
Sudzal,15,798,0798 Básica,423,224,130,0,0,0,0,7,0,0,0,3,364
Sudzal,15,798,0798 Contigua 1,424,221,129,0,1,0,0,13,3,0,0,5,372
Sudzal,15,799,0799 Básica,253,106,91,0,1,0,0,24,0,0,0,2,224
Suma de Hidalgo,9,800,0800 Básica,380,6,165,0,136,0,0,0,1,0,0,6,314
Suma de Hidalgo,9,800,0800 Contigua 1,381,10,140,0,160,0,0,0,0,0,0,14,324
Suma de Hidalgo,9,801,0801 Básica,718,15,334,0,214,0,0,0,0,0,0,24,587
Tahdziú,12,802,0802 Básica,520,170,150,0,120,8,0,0,9,0,0,15,472
Tahdziú,12,802,0802 Contigua 1,521,171,114,0,150,6,0,0,2,0,0,12,455
Tahdziú,12,802,0802 Contigua 2,521,170,165,0,102,10,0,0,5,0,0,9,461
Tahmek,15,803,0803 Básica,599,208,267,0,9,1,2,0,2,0,0,8,497
Tahmek,15,803,0803 Contigua 1,599,191,275,0,12,3,0,0,2,0,0,12,495
Tahmek,15,804,0804 Básica,732,284,284,0,1,0,1,0,4,0,0,18,592
Tahmek,15,804,0804 Contigua 1,733,285,324,0,0,0,1,0,1,0,0,5,616
Teabo,12,805,0805 Básica,699,258,294,0,1,1,1,4,2,0,0,5,566
Teabo,12,805,0805 Contigua 1,700,301,263,0,1,0,1,0,2,0,0,10,578
Teabo,12,806,0806 Básica,587,247,211,0,1,1,0,5,2,0,0,8,475
Teabo,12,806,0806 Contigua 1,587,232,228,0,5,0,2,63,0,0,0,10,540
Teabo,12,806,0806 Contigua 2,587,228,207,0,1,1,3,2,8,0,0,16,466
Tecoh,14,807,0807 Básica,702,289,235,0,0,2,1,0,4,0,0,17,548
Tecoh,14,807,0807 Contigua 1,703,0,0,0,0,0,0,0,0,0,0,0,0
Tecoh,14,807,0807 Contigua 2,703,318,245,0,0,6,1,0,3,0,0,15,588
Tecoh,14,808,0808 Básica,490,252,142,0,0,2,1,0,1,0,0,11,409
Tecoh,14,808,0808 Contigua 1,490,217,145,0,1,3,0,1,3,0,0,8,378
Tecoh,14,809,0809 Básica,598,0,0,0,0,0,0,0,0,0,0,0,0
Tecoh,14,809,0809 Contigua 1,598,288,185,0,1,3,0,0,7,0,0,7,491
Tecoh,14,810,0810 Básica,735,394,174,0,1,5,2,0,7,0,0,13,596
Tecoh,14,810,0810 Contigua 1,736,345,211,0,0,9,1,0,4,0,0,15,585
Tecoh,14,811,0811 Básica,382,90,207,0,0,0,0,0,5,0,0,9,311
Tecoh,14,812,0812 Básica,682,315,215,0,3,7,0,0,4,0,0,32,576
Tecoh,14,813,0813 Básica,307,288,173,0,1,0,0,0,6,0,0,0,468
Tecoh,14,814,0814 Básica,656,249,200,0,8,4,1,0,6,1,0,29,498
Tecoh,14,814,0814 Contigua 1,656,312,168,0,2,0,0,0,6,0,0,21,509
Tecoh,14,815,0815 Básica,445,190,116,0,0,1,2,0,3,0,0,29,341
Tecoh,14,815,0815 Contigua 1,445,0,0,0,0,0,0,0,0,0,0,0,0
Tecoh,14,816,0816 Básica,193,0,0,0,0,0,0,0,0,0,0,0,0
Tekal de Venegas,15,817,0817 Básica,560,224,206,0,0,0,0,0,2,0,0,21,453
Tekal de Venegas,15,817,0817 Contigua 1,561,232,236,0,2,1,0,0,1,0,0,3,475
Tekal de Venegas,15,818,0818 Básica,539,221,191,0,0,0,0,0,4,0,0,5,421
Tekantó,9,819,0819 Básica,394,210,109,0,0,0,0,0,0,0,0,9,328
Tekantó,9,819,0819 Contigua 1,394,164,157,0,1,0,0,0,3,0,0,0,325
Tekantó,9,820,0820 Básica,333,158,112,0,0,0,0,0,0,0,0,4,274
Tekantó,9,821,0821 Básica,337,141,139,0,0,0,0,0,1,0,0,4,285
Tekantó,9,822,0822 Básica,423,172,166,0,0,0,0,0,1,0,0,3,342
Tekantó,9,822,0822 Contigua 1,423,198,146,0,0,0,1,0,3,1,0,4,353
Tekantó,9,823,0823 Básica,57,19,30,0,0,0,0,0,0,0,0,2,51
Tekantó,9,824,0824 Básica,288,140,123,0,0,0,0,0,1,0,0,0,264
Tekantó,9,825,0825 Básica,89,27,50,0,0,1,0,0,3,0,0,0,81
Tekax,12,826,0826 Básica,502,184,101,0,3,1,0,7,2,1,0,4,303
Tekax,12,826,0826 Contigua 1,503,220,69,0,1,1,0,1,1,0,0,8,301
Tekax,12,826,0826 Contigua 2,503,181,84,0,1,3,0,1,0,0,0,20,290
Tekax,12,827,0827 Básica,605,121,187,0,1,1,0,3,0,0,0,11,324
Tekax,12,827,0827 Contigua 1,606,227,161,0,6,2,0,6,0,0,0,0,402
Tekax,12,827,0827 Contigua 2,606,205,187,0,5,1,1,5,2,0,0,15,421
Tekax,12,828,0828 Básica,602,185,154,0,7,1,0,1,2,1,0,11,362
Tekax,12,828,0828 Contigua 1,602,192,166,0,3,1,6,1,0,0,0,0,369
Tekax,12,829,0829 Básica,634,208,191,0,3,0,0,5,2,0,0,9,418
Tekax,12,829,0829 Contigua 1,635,186,184,0,5,0,0,3,3,1,0,0,382
Tekax,12,830,0830 Básica,682,180,183,0,0,1,2,7,2,0,0,15,390
Tekax,12,830,0830 Contigua 1,683,202,194,0,2,0,0,4,0,0,0,9,411
Tekax,12,831,0831 Básica,403,137,143,0,1,2,0,7,2,0,0,8,300
Tekax,12,831,0831 Contigua 1,404,134,140,0,3,3,0,3,2,0,0,7,292
Tekax,12,832,0832 Básica,492,224,92,0,0,1,0,3,0,0,0,13,333
Tekax,12,832,0832 Contigua 1,492,196,117,0,2,0,0,1,0,0,0,4,320
Tekax,12,833,0833 Básica,646,246,147,0,7,1,0,5,1,0,0,11,418
Tekax,12,833,0833 Contigua 1,647,252,135,0,2,0,0,4,0,0,0,0,393
Tekax,12,834,0834 Básica,469,148,172,0,5,2,1,4,2,0,0,6,340
Tekax,12,834,0834 Contigua 1,470,147,157,0,7,1,1,2,1,0,0,3,319
Tekax,12,835,0835 Básica,570,190,145,0,4,0,1,20,0,0,0,19,379
Tekax,12,835,0835 Contigua 1,571,155,190,0,0,1,0,7,2,1,0,12,368
Tekax,12,835,0835 Contigua 2,571,157,185,0,5,1,2,17,2,0,0,16,385
Tekax,12,836,0836 Básica,613,174,198,0,0,0,2,3,4,0,0,14,395
Tekax,12,836,0836 Contigua 1,613,181,163,0,2,1,0,0,3,0,0,18,368
Tekax,12,837,0837 Básica,592,182,284,0,1,6,0,3,4,0,0,9,489
Tekax,12,838,0838 Básica,401,177,123,0,0,1,0,3,4,0,0,12,320
Tekax,12,838,0838 Contigua 1,402,163,158,0,0,0,0,0,4,0,0,4,329
Tekax,12,839,0839 Básica,400,93,218,0,0,0,0,0,2,1,0,0,314
Tekax,12,839,0839 Contigua 1,400,103,187,0,0,0,0,0,0,0,0,10,300
Tekax,12,840,0840 Básica,562,199,182,0,2,4,1,2,4,0,0,12,406
Tekax,12,840,0840 Contigua 1,562,190,171,0,2,1,3,8,7,0,0,16,398
Tekax,12,840,0840 Contigua 2,562,184,206,0,3,1,0,4,7,0,0,15,420
Tekax,12,840,0840 Extraordinaria 1,171,10,143,0,1,0,0,0,0,0,0,0,154
Tekax,12,841,0841 Básica,264,109,118,0,1,0,0,1,2,0,0,13,244
Tekax,12,842,0842 Básica,416,124,159,0,1,0,0,0,2,0,0,6,292
Tekax,12,842,0842 Contigua 1,417,107,151,0,1,0,1,1,3,0,0,20,284
Tekax,12,842,0842 Extraordinaria 1,350,92,175,0,2,1,0,10,4,0,0,3,287
Tekax,12,843,0843 Básica,575,137,172,0,5,7,1,2,3,0,0,26,353
Tekax,12,844,0844 Básica,506,198,117,0,0,0,6,0,0,0,0,0,321
Tekax,12,844,0844 Contigua 1,507,210,123,0,2,0,2,0,2,0,0,13,352
Tekax,12,845,0845 Básica,74,23,16,0,0,0,0,0,0,0,0,0,39
Tekit,14,846,0846 Básica,567,292,0,112,0,1,0,2,79,1,0,5,492
Tekit,14,846,0846 Contigua 1,568,296,130,0,0,1,7,63,0,0,0,6,503
Tekit,14,846,0846 Contigua 2,568,258,0,138,0,0,0,0,73,0,0,10,479
Tekit,14,847,0847 Básica,616,261,0,188,0,1,0,0,76,0,0,9,535
Tekit,14,847,0847 Contigua 1,617,219,252,0,0,0,0,2,62,0,0,2,537
Tekit,14,848,0848 Básica,597,247,0,203,0,1,3,0,77,0,0,4,535
Tekit,14,848,0848 Contigua 1,579,268,0,146,0,2,0,4,94,1,0,9,524
Tekit,14,848,0848 Contigua 2,579,278,0,132,0,0,0,1,79,0,0,23,513
Tekit,14,849,0849 Básica,463,194,123,0,0,1,0,2,51,0,0,4,375
Tekit,14,849,0849 Contigua 1,444,183,0,149,0,0,0,2,42,1,0,7,384
Tekom,11,851,0851 Básica,431,184,201,0,0,0,0,0,2,0,0,8,395
Tekom,11,851,0851 Contigua 1,431,171,219,0,0,0,0,0,6,0,0,6,402
Tekom,11,852,0852 Básica,745,327,317,0,5,0,0,0,0,0,0,28,677
Tekom,11,853,0853 Básica,166,124,34,0,0,0,0,0,0,0,0,1,159
Tekom,11,854,0854 Básica,101,55,40,0,0,0,0,0,0,0,0,1,96
Telchac Pueblo,9,855,0855 Básica,405,23,188,0,0,0,118,0,2,0,0,12,343
Telchac Pueblo,9,855,0855 Contigua 1,406,0,0,0,0,0,0,0,0,0,0,0,0
Telchac Pueblo,9,856,0856 Básica,536,68,188,0,1,1,158,0,1,1,0,3,421
Telchac Pueblo,9,857,0857 Básica,607,97,209,0,3,0,170,1,3,0,0,0,483
Telchac Pueblo,9,858,0858 Básica,679,40,276,0,0,0,208,0,0,0,0,16,540
Telchac Puerto,8,859,0859 Básica,666,123,277,0,122,0,13,0,0,0,0,15,550
Telchac Puerto,8,860,0860 Básica,472,49,165,0,161,4,11,0,2,0,0,7,399
Temax,9,861,0861 Básica,721,261,318,0,0,3,0,0,0,0,0,14,596
Temax,9,861,0861 Contigua 1,722,313,264,0,0,2,0,0,6,1,0,7,593
Temax,9,862,0862 Básica,433,163,183,0,1,4,0,0,1,1,0,0,353
Temax,9,862,0862 Contigua 1,434,177,158,0,0,4,0,0,4,0,0,6,349
Temax,9,863,0863 Básica,478,208,188,0,0,5,0,0,2,0,0,8,411
Temax,9,863,0863 Contigua 1,478,203,172,0,0,2,0,0,0,0,0,21,398
Temax,9,864,0864 Básica,510,226,176,0,0,1,0,0,1,0,0,3,407
Temax,9,864,0864 Contigua 1,511,190,215,0,0,0,0,0,0,0,0,13,418
Temax,9,865,0865 Básica,121,41,57,0,0,2,0,0,2,0,0,2,104
Temax,9,866,0866 Básica,237,101,85,0,1,1,0,0,0,0,0,7,195
Temozón,10,867,0867 Básica,664,296,136,0,129,3,2,0,1,0,0,12,579
Temozón,10,867,0867 Contigua 1,665,301,121,0,123,1,0,0,7,0,0,21,574
Temozón,10,868,0868 Básica,504,186,113,0,107,0,2,0,5,0,0,20,433
Temozón,10,868,0868 Contigua 1,504,151,135,0,117,0,4,0,5,0,0,0,412
Temozón,10,869,0869 Básica,629,239,152,0,108,0,0,0,0,0,0,37,536
Temozón,10,869,0869 Contigua 1,630,220,165,0,103,2,1,0,6,1,0,29,527
Temozón,10,870,0870 Básica,641,246,187,0,22,2,3,0,14,3,0,35,512
Temozón,10,870,0870 Contigua 1,641,283,177,0,20,1,3,0,16,1,0,0,501
Temozón,10,871,0871 Básica,257,86,62,0,69,0,0,0,0,0,0,12,229
Temozón,10,872,0872 Básica,192,83,58,0,28,2,2,0,3,0,0,2,178
Temozón,10,873,0873 Básica,528,185,230,0,56,1,0,0,8,0,0,2,482
Temozón,10,874,0874 Básica,525,172,171,0,74,4,4,0,6,0,0,17,448
Temozón,10,874,0874 Contigua 1,526,186,175,0,54,2,8,1,12,0,0,14,452
Temozón,10,874,0874 Contigua 2,526,179,197,0,41,2,0,5,0,0,0,11,435
Tepakán,15,875,0875 Básica,426,36,174,0,128,0,0,0,0,0,0,8,346
Tepakán,15,876,0876 Básica,497,44,170,0,184,1,0,4,0,0,0,15,418
Tepakán,15,876,0876 Contigua 1,497,38,181,0,151,0,0,1,7,0,0,10,388
Tepakán,15,877,0877 Básica,102,9,38,0,43,0,0,0,2,0,0,3,95
Tetiz,8,878,0878 Básica,554,166,179,0,83,2,0,0,4,0,0,13,447
Tetiz,8,878,0878 Contigua 1,555,167,162,0,84,2,1,0,2,0,0,21,439
Tetiz,8,878,0878 Extraordinaria 1,377,115,144,0,28,2,0,0,2,0,0,20,311
Tetiz,8,879,0879 Básica,645,182,157,0,129,2,2,0,4,0,0,6,482
Tetiz,8,879,0879 Contigua 1,645,162,194,0,104,0,0,0,0,0,0,25,485
Teya,9,880,0880 Básica,535,183,238,0,0,0,0,0,0,0,0,14,435
Teya,9,881,0881 Básica,386,0,0,0,0,0,0,0,0,0,0,0,0
Teya,9,881,0881 Contigua 1,386,0,0,0,0,0,0,0,0,0,0,0,0
Ticul,13,882,0882 Básica,734,273,227,0,8,3,0,3,6,0,0,19,539
Ticul,13,882,0882 Contigua 1,734,300,197,0,12,0,0,3,3,0,0,14,529
Ticul,13,883,0883 Básica,510,185,141,0,8,1,0,2,4,0,0,4,345
Ticul,13,883,0883 Contigua 1,511,167,130,0,5,1,0,12,6,0,0,10,331
Ticul,13,884,0884 Básica,522,241,120,0,8,1,0,2,0,0,0,0,372
Ticul,13,884,0884 Contigua 1,523,210,181,0,11,0,1,5,0,0,0,4,412
Ticul,13,884,0884 Contigua 2,523,190,186,0,10,2,0,5,3,0,0,8,404
Ticul,13,885,0885 Básica,507,216,152,0,5,2,1,6,0,0,0,4,386
Ticul,13,885,0885 Contigua 1,507,219,135,0,10,1,0,7,0,1,0,4,377
Ticul,13,885,0885 Contigua 2,508,228,144,0,12,0,1,4,2,0,0,5,396
Ticul,13,886,0886 Básica,549,225,150,0,21,2,1,5,2,2,1,4,413
Ticul,13,886,0886 Contigua 1,549,209,153,0,14,3,0,4,2,0,0,12,397
Ticul,13,887,0887 Básica,540,224,143,0,6,2,0,8,2,0,0,2,387
Ticul,13,887,0887 Contigua 1,540,216,146,0,20,0,0,4,2,0,0,7,395
Ticul,13,888,0888 Básica,557,200,186,0,7,0,0,4,0,2,0,0,399
Ticul,13,888,0888 Contigua 1,557,205,178,0,7,0,0,4,0,1,0,11,406
