CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,3,233,380,42,26,8,58,50,52,64,5,1,1,1,1,921,34,956,1516
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,2,182,129,4,11,6,22,41,13,24,1,0,0,0,0,433,19,452,870
5,13,HIDALGO,9,METEPEC,1,ACATLAN,3,1,89,44,5,5,5,22,20,16,17,2,0,0,0,0,225,10,235,294
5,13,HIDALGO,9,METEPEC,1,ACATLAN,4,1,85,85,10,2,3,25,14,14,14,0,0,0,0,1,252,9,262,260
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,2,95,210,27,14,9,41,110,30,28,8,1,1,0,0,574,42,616,945
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,3,416,166,102,20,9,19,36,28,51,9,5,1,0,0,862,57,919,1248
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,2,256,247,22,11,10,31,69,37,43,6,2,4,0,0,738,27,765,1318
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,3,321,467,47,38,7,25,37,58,38,2,5,4,2,1,1051,31,1083,1856
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,4,566,396,36,44,19,43,150,58,49,12,3,2,1,0,1379,77,1456,2632
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,3,392,350,26,26,13,42,98,47,31,13,1,1,0,0,1040,54,1094,1709
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,3,413,344,42,55,13,54,192,81,171,19,2,3,0,0,1389,79,1468,2037
