Distrito,Municipio,CC1,CC2,CC3,ALIANZA
1,PANUCO,PAN-PRD,,,
1,OZULUAMA,,,,PAN-PRD
1,PUEBLO VIEJO,,,,
1,TAMPICO ALTO,,,,
1,TEMPOAL,PT-PARM,,,
1,EL HIGO,,,,
,,,,,
2,TANTOYUCA,PRI-DSPPN,PT-CDPPN-PARM,,
2,CITLALTEPETL,PRI-PARM-PSN,,,
2,CHALMA,,,,
2,CHICONAMEL,PT-CDPPN,PRI-PARM,,
2,CHINAMPA DE GOROSTIZA,PRI-PARM-PSN-PAS,,,
2,CHONTLA,PRI-PARM-PSN,,,
2,IXCATEPEC ,PRI-PARM ,PAN-PT,,
2,PLATON SANCHEZ ,PRI-PARM-PSN   ,,,
2,TAMALIN,PAN-PRD,PRI-PARM-PSN-PAS,,
2,TANTIMA,PAN-PT,PRI-PARM-PSN,,
2,TEPETZINTLA,PAN-CDPPN ,PRI-PARM-PSN-DSPPN,,
,,,,,
,,,,,
3,CHICONTEPEC,PAN-PVEM,PRI-DSPPN,,
3,BENITO JUAREZ,PRI-DSPPN,,,
3,HUAYACOCOTLA,PRI-PARM-PAS,,,
3,ILAMATLAN,PRI-PARM-PSN-PAS,PAN-PRD,,
3,IXHUATLAN DE MADERO,PRI-PSN-PAS,,,
3,TEXCATEPEC,PRI-PARM-PSN,,,
3,TLACHICHILCO,PRI-PARM-PSN-DSPPN-PAS,,,
3,ZACUALPAN,PRI-PARM-PSN-DSPPN-PAS,,,
3,ZONTECOMATLAN,PRI-PARM-PSN-DSPPN-PAS,,,
,,,,,
4,TEMAPACHE,PRI-PAS,,,
4,CASTILLO DE TEAYO,PAN-PRD-CDPPN,PRI-PARM-PSN-DSPPN-PAS,,
4,TIHUATLAN,PAN-PRD-CDPPN,,,
,,,,,
5,TUXPAN,PRI-PSN,,,
5,NARANJOS AMATLAN,,,,
5,CERRO AZUL,PAN-PRD,,,
5,TAMIAHUA,PAN-PRD-CDPPN,,,
5,TANCOCO,,,,
,,,,,
6,POZA RICA,PRI-PARM-PAS,PT-CDPPN,,
6,CAZONES DE HERRERA,PRI-PARM-DSPPN-PAS,PAN-PRD,PT-CDPPN,
6,COATZINTLA,PRI-PARM-DSPPN-PAS,CDPPN-PSN,,
,,,,,
7,PAPANTLA,PARM-DSPPN-PAS,,,
7,COAHUITLAN,PRI-PARM-PSN-DSPPN,,,
7,COXQUIHUI,PRI-PSN,,,
7,COYUTLA,PRI-DSPPN,,,
7,CHUMATLAN,PRI-PARM-PSN,,,
7,ESPINAL,PRI-PARM-PSN,,,
7,FILOMENO MATA,PRI-PARM-DSPPN,,,
7,GUTIERREZ ZAMORA,,,,
7,MECATLAN,PRI-DSPPN,,,
7,TECOLUTLA,PAN-CDPPN,PRI-PARM-DSPPN,,
7,ZOZOCOLCO DE HIDALGO,PRI-PSN ,,,
,,,,,
8,MARTINEZ DE LA TORRE,PRI-PARM-PAS,PT-PVEM-CDPPN,,
8,JALACINGO,PRI-PARM-PSN-DSPPN-PAS,,,
8,NAUTLA,PRD-PT-PVEM-CDPPN,PRI-PARM-PSN-DSPPN-PAS,,
8,TLAPACOYAN,PRI-PARM-PSN-DSPPN-PAS,,,
8,VEGA DE ALATORRE,PRI-PARM-PSN-DSPPN-PAS,,,
,,,,,
9,MISANTLA,PT-PVEM-PAS,PRD-CDPPN-PSN-PARM,,
9,ACATLAN,PRI-PSN-DSPPN,,,
9,ALTO LUCERO,PAS-PVEM,PRI-PARM-PSN-DSPPN,,
9,COACOATZINTLA,PRI-DSPPN,,,
9,COLIPA,PRI-PAS,,,
9,CHICONQUIACO,,,,
9,JUCHIQUE DE FERRER,PRI-PAS,,,
9,LANDERO Y COSS,PRI-PSN-PAS,,,
9,MIAHUATLAN,PRI-PARM-PSN,,,
9,NAOLINCO,PVEM-PARM-CDPPN,,,
9,TENOCHTITLAN,PRI-PARM-PSN-PAS,,,
9,TEPETLAN,PT-PVEM,PRI-PARM-PSN,,
9,TONAYAN,PRI-PSN,,,
9,YECUATLA,PRI-PSN,PT-CDPPN,,
,,,,,
10,PEROTE,PAN-PRD,PRI-PSN,,
10,ACAJETE,PRI-PSN-DSPPN,,,
10,ALTOTONGA,PRI-PARM-PSN,,,
10,ATZALAN,PRI-PSN,,,PAN-PRD
10,AYAHUALULCO,PRI-PARM-PSN,,,
10,IXHUACAN DE LOS REYES,PAN-PRD,PRI-PARM-PSN-DSPPN,,
