ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_MC,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRD_MC,C_COMUN_PRD_MC_PUP,C_COMUN_PRD_MC,C_COMUN_PRD_PUP,C_COMUN_MC_PUP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,63,12557,6138,286,615,192,144,,136,2489,78,26,,135,80,49,8,64,185,7,5,39,25,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23276,1,1111,24388,31395,
20,OAXACA,24,COSOLAPA,10,17,234,4051,67,208,190,137,,97,1243,55,41,,3,1,6,1,58,125,13,2,20,15,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6582,1,665,7248,9877,
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,39,1217,1242,6,9,7,,2,68,3,,,6,2,0,0,2,9,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613,10,39,2662,3242,
20,OAXACA,170,SAN JOSE TENANGO,16,26,91,2834,160,,2484,1890,25,426,628,143,,,21,5,6,12,,,,,29,83,4,3,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8865,2,332,9199,11608,
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,56,1587,12355,1266,951,296,479,53,97,4373,108,,,9,12,5,8,,,,,59,12,4,12,,,,,62,125,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21878,2,400,22280,26770,
20,OAXACA,307,SAN PEDRO IXCATLAN,9,14,53,2072,34,39,57,116,,48,3704,40,,,2,0,0,0,31,16,2,0,18,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243,0,103,6346,7556,
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,74,201,1023,4039,459,6772,1795,1392,235,37553,19071,1404,141,146,60,9,18,4,,,,,530,205,47,171,,,,,,,,,,,,,,,,,767,,,,,,,,,,,,,,,,,,,,,,,75841,29,2966,78836,113778,
20,OAXACA,11,AYOTZINTEPEC,3,10,17,726,618,6,13,3,909,5,92,5,,,12,7,0,4,7,5,5,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438,0,150,2588,4970,
20,OAXACA,44,LOMA BONITA,32,59,350,4508,6281,377,541,193,72,2448,2485,332,,,,,,,266,62,111,13,97,36,19,26,132,84,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18458,0,806,19264,28951,
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,35,77,4276,2643,270,113,80,49,75,8001,82,19,4,8,13,1,0,,,,,48,14,2,31,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15808,7,370,16185,19015,
