Municipio,Seccion,Tipo,PAN,PRI,PRD,PT,PVEM,CDPPN,PCD,PSN,PARM,PAS,DSPPN,No Registrados,Nulos,Total
BALANCAN,1,BA,101,174,112,0,1,0,1,1,0,0,0,0,15,405
BALANCAN,1,C1*,70,179,129,4,3,0,2,0,0,0,0,0,15,402
BALANCAN,2,BA,72,127,74,2,3,0,0,2,0,1,0,0,13,294
BALANCAN,2,C1,85,130,90,4,0,1,0,2,0,0,0,1,12,325
BALANCAN,3,BA*,99,126,115,1,1,0,0,0,0,0,0,0,4,346
BALANCAN,3,C1,66,137,118,0,1,1,0,0,0,0,0,0,3,326
BALANCAN,4,BA*,84,123,123,0,0,0,1,1,1,0,0,0,2,335
BALANCAN,4,C1,85,112,114,2,0,0,0,1,0,0,0,0,11,325
BALANCAN,5,BA,112,116,124,0,1,0,0,0,0,0,1,0,8,362
BALANCAN,5,C1,126,126,113,7,0,0,0,0,1,0,0,0,13,386
BALANCAN,6,BA,175,160,159,0,1,0,1,1,1,0,0,0,0,498
BALANCAN,7,BA,88,158,94,1,0,0,0,0,1,6,0,0,12,360
BALANCAN,7,C1*,76,152,104,1,1,0,3,0,1,0,0,0,9,347
BALANCAN,8,BA,75,209,64,1,1,0,0,1,1,0,0,0,0,352
BALANCAN,9,BA,127,130,52,1,0,0,1,1,0,0,0,0,24,336
BALANCAN,9,C1*,126,145,47,3,3,0,0,1,0,0,0,0,12,337
BALANCAN,10,BA,23,63,13,0,0,0,0,0,0,0,0,0,3,102
BALANCAN,11,BA,77,64,79,0,0,0,0,0,0,0,0,0,9,229
BALANCAN,12,BA*,67,147,108,0,1,1,0,1,0,0,0,0,13,338
BALANCAN,13,BA,15,132,58,0,1,0,0,1,0,0,0,0,18,225
BALANCAN,13,C1,12,128,70,0,1,1,0,1,0,0,0,0,14,227
BALANCAN,14,BA*,35,274,105,0,0,0,0,0,0,0,0,0,11,425
BALANCAN,15,BA*,11,134,79,1,0,0,0,0,0,0,0,0,6,231
BALANCAN,15,C1,12,129,71,0,1,0,0,0,0,1,0,0,13,227
BALANCAN,16,BA*,21,198,107,6,0,0,1,0,1,0,0,0,5,339
BALANCAN,17,BA*,16,114,63,1,0,0,0,1,1,0,0,0,9,205
BALANCAN,17,C1*,27,110,59,1,0,0,1,0,0,0,0,0,16,214
BALANCAN,18,BA,59,126,62,3,1,0,0,0,1,0,0,0,14,266
BALANCAN,18,C1,69,115,41,3,2,0,0,0,0,0,0,0,18,248
BALANCAN,19,BA,40,27,20,0,1,0,0,0,0,0,0,0,9,97
BALANCAN,20,BA*,93,144,82,1,0,0,1,1,1,0,0,0,21,344
BALANCAN,21,BA,38,79,24,0,0,0,0,0,0,0,0,0,3,144
BALANCAN,22,BA*,57,232,127,1,0,1,0,0,2,1,0,0,15,436
BALANCAN,23,BA*,38,126,94,2,0,0,0,0,2,0,0,0,9,271
BALANCAN,23,C1*,42,116,96,1,0,0,0,0,1,0,0,0,5,261
BALANCAN,24,BA,27,213,131,2,3,0,0,0,2,0,0,0,28,406
BALANCAN,24,C1,27,204,169,5,1,0,1,0,2,0,0,0,18,427
BALANCAN,25,BA,120,153,62,0,3,0,0,1,0,0,0,0,10,349
BALANCAN,26,BA,10,18,6,0,0,0,0,0,0,0,0,0,1,35
BALANCAN,27,BA,49,225,87,1,0,0,1,0,0,0,0,0,4,367
,,,,,,,,,,,,,,,,
BALANCAN,28,BA,76,248,50,0,2,1,0,0,1,0,0,0,5,383
BALANCAN,29,BA*,37,116,111,5,1,2,0,0,4,0,0,0,6,282
BALANCAN,30,BA,63,104,56,0,0,0,2,0,0,0,0,0,16,241
BALANCAN,30,C1,32,120,87,1,0,0,1,0,0,0,0,0,4,245
BALANCAN,31,BA,14,55,8,0,0,1,0,0,1,0,0,0,1,80
BALANCAN,32,BA,32,117,13,1,0,0,0,0,0,0,0,0,3,166
BALANCAN,33,BA,65,108,21,1,0,0,0,0,2,1,0,0,10,208
BALANCAN,34,BA,17,141,21,1,0,0,0,0,2,1,0,0,0,183
BALANCAN,35,BA,23,175,179,0,0,0,0,0,3,0,0,0,4,384
BALANCAN,35,C1*,12,204,150,1,1,2,0,0,0,0,0,0,6,376
BALANCAN,36,BA*,54,253,85,0,1,0,1,0,1,0,0,0,4,399
BALANCAN,37,BA*,26,169,120,1,0,0,0,0,0,0,0,0,13,329
BALANCAN,37,C1,44,172,110,1,1,0,0,0,0,1,0,0,5,334
BALANCAN,38,BA,29,214,185,1,0,0,0,2,2,0,0,0,9,442
BALANCAN,39,BA,163,192,37,1,0,1,0,2,1,0,0,0,13,410
BALANCAN,40,BA,107,218,109,1,0,0,1,0,2,0,0,1,10,449
BALANCAN,41,BA*,66,222,82,1,3,1,0,0,0,2,1,1,13,392
BALANCAN,42,BA,50,111,112,1,1,0,0,0,2,0,0,0,17,294
BALANCAN,42,C1,44,102,118,0,0,0,1,2,2,0,0,0,12,281
BALANCAN,43,BA,40,123,64,1,2,1,0,0,0,0,0,0,9,240
BALANCAN,43,C1,41,101,64,0,0,1,0,0,0,0,0,0,13,220
BALANCAN,44,BA,54,120,137,2,0,0,0,0,1,0,0,0,4,318
BALANCAN,44,EX,22,64,44,0,0,0,0,0,3,0,0,0,6,139
BALANCAN,45,BA,46,82,67,1,0,0,0,0,0,0,0,0,0,196
BALANCAN,45,EX,61,122,79,1,1,0,0,1,0,0,0,0,12,277
BALANCAN,6,EM,32,75,35,1,1,0,0,0,0,0,0,0,6,150
,,,,,,,,,,,,,,,,
CARDENAS,46,BA*,55,111,88,4,1,4,0,1,1,0,1,0,4,270
CARDENAS,46,C1,66,87,78,6,3,5,0,0,0,0,0,0,8,253
CARDENAS,47,BA,56,81,111,7,1,0,1,0,1,0,3,0,11,272
CARDENAS,47,C1,61,92,123,7,2,0,2,1,1,0,2,0,4,295
CARDENAS,47,C2,51,95,105,11,1,1,1,0,3,0,2,0,5,275
CARDENAS,48,BA,39,36,92,3,1,0,0,1,0,0,0,0,3,175
CARDENAS,48,C1,35,39,95,11,0,0,0,0,0,0,3,0,4,187
CARDENAS,49,BA,72,116,116,2,2,0,0,0,0,0,5,0,5,318
CARDENAS,50,BA,65,58,122,8,0,2,0,0,0,0,4,0,2,261
CARDENAS,50,C1,59,71,134,3,1,0,1,0,0,0,2,0,5,276
CARDENAS,51,BA,61,86,81,3,0,0,1,2,0,0,3,0,7,244
CARDENAS,51,C1*,60,73,68,4,2,2,1,1,2,0,1,0,6,220
CARDENAS,52,BA,60,84,102,4,1,0,0,1,2,0,0,0,3,257
CARDENAS,52,C1,46,84,76,6,0,1,0,0,1,0,2,0,12,228
CARDENAS,53,BA,55,72,131,2,3,1,0,0,0,0,2,0,2,268
CARDENAS,53,C1,70,73,139,5,0,0,1,0,0,0,0,0,8,296
CARDENAS,54,BA*,49,71,93,12,0,0,0,0,0,0,1,0,3,229
CARDENAS,54,C1,45,75,110,4,1,0,0,0,0,0,0,0,0,235
