Municipio,Sección,Casilla,Lista Nominal,PAN,PRI-PVEM,PRD,PT,PC,PAS,PMP,FC,No Registrados,Nulos,Total
BALANCAN,1,BA,554,7,141,163,7,8,0,0,1,0,10,337
BALANCAN,1,C1,554,3,122,194,4,1,0,0,0,0,5,329
BALANCAN,1,C2,554,4,144,173,6,0,0,1,0,0,6,334
BALANCAN,2,BA,639,6,156,163,0,1,0,1,0,0,15,342
BALANCAN,2,C1,640,12,148,193,4,3,0,0,2,0,18,380
BALANCAN,3,BA,574,8,176,179,3,1,0,0,0,0,6,373
BALANCAN,3,C1,575,7,136,199,3,3,2,0,0,0,3,353
BALANCAN,4,BA,557,10,144,157,2,0,0,0,0,0,8,321
BALANCAN,4,C1,557,14,144,143,0,3,0,0,0,0,10,314
BALANCAN,5,BA,649,17,160,205,2,0,0,1,1,0,9,395
BALANCAN,5,C1,649,23,156,209,2,0,0,1,0,0,11,402
BALANCAN,6,BA,387,35,93,120,1,5,0,0,0,0,9,263
BALANCAN,6,C1,388,17,95,132,3,2,0,0,0,0,5,254
BALANCAN,7,BA,555,11,137,196,3,4,0,0,0,0,6,357
BALANCAN,7,C1,555,7,166,204,3,6,0,0,0,393,7,786
BALANCAN,8,BA,434,7,105,151,1,0,2,0,0,0,6,272
BALANCAN,8,C1,434,3,73,173,0,0,0,0,0,0,3,252
BALANCAN,9,BA,578,12,163,139,3,0,0,0,0,0,12,329
BALANCAN,9,C1,579,13,162,132,3,0,2,1,0,0,7,320
BALANCAN,10,BA,193,4,74,33,1,1,0,0,0,0,4,117
BALANCAN,11,BA,422,6,92,112,4,1,0,0,0,0,5,220
BALANCAN,12,BA,534,7,103,214,10,0,0,0,0,0,8,342
BALANCAN,13,BA,418,5,104,82,3,0,0,1,0,0,2,197
BALANCAN,13,C1,418,5,95,108,1,0,0,0,0,0,8,217
BALANCAN,14,BA,733,7,144,215,0,0,0,0,0,0,4,370
BALANCAN,15,BA,409,3,72,127,0,0,0,0,0,0,3,205
BALANCAN,15,C1,409,5,79,131,0,1,0,0,0,0,2,218
BALANCAN,16,BA,687,3,150,155,3,1,0,0,0,0,12,324
BALANCAN,17,BA,381,6,70,103,0,0,0,0,0,0,7,186
BALANCAN,17,C1,382,8,55,117,2,0,0,1,0,0,6,189
