MUNICIPIO,DISTRITO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NO REGISTRADOS,NULOS,TOTAL,LISTA NOMINAL
OTHON P. BLANCO,I,300,300-B,92,140,29,8,2,0,11,282,461
OTHON P. BLANCO,I,300,300-C,86,169,31,8,3,0,0,297,461
OTHON P. BLANCO,I,301,301-B,32,59,16,3,1,0,1,112,164
OTHON P. BLANCO,I,302,302-B,41,172,62,11,3,0,10,299,574
OTHON P. BLANCO,I,308,308-B,62,137,44,8,2,0,10,263,460
OTHON P. BLANCO,I,308,308-C,58,132,43,12,7,0,6,258,460
OTHON P. BLANCO,I,309,309-B,60,158,57,9,0,0,9,293,607
OTHON P. BLANCO,I,309,309-C,67,191,76,9,5,0,6,354,607
OTHON P. BLANCO,I,310,310-B,71,171,58,9,3,0,7,319,580
OTHON P. BLANCO,I,310,310-C,73,212,59,12,5,0,11,372,580
OTHON P. BLANCO,I,311,311-B,64,143,61,7,4,0,15,294,554
OTHON P. BLANCO,I,311,311-C,54,157,64,12,3,0,5,295,554
OTHON P. BLANCO,I,312,312-B,63,150,46,13,0,0,14,286,537
OTHON P. BLANCO,I,312,312-C,72,124,60,14,8,0,9,287,537
OTHON P. BLANCO,I,313,313-B,49,166,37,11,4,0,4,271,453
OTHON P. BLANCO,I,314,314-B,52,151,53,15,7,1,3,282,486
OTHON P. BLANCO,I,324,324-B,29,54,19,8,0,0,3,113,183
OTHON P. BLANCO,I,325,325-B,42,123,33,15,3,0,4,220,405
OTHON P. BLANCO,I,325,325-C,40,135,50,9,2,0,5,241,406
OTHON P. BLANCO,I,326,326-B,87,182,47,9,1,0,10,336,551
OTHON P. BLANCO,I,326,326-C,69,167,38,12,5,0,9,300,551
OTHON P. BLANCO,I,327,327-B,106,249,54,15,6,0,6,436,718
OTHON P. BLANCO,I,328,328-B,91,135,27,10,0,0,6,269,416
OTHON P. BLANCO,I,328,328-C,87,119,18,4,6,0,6,240,416
OTHON P. BLANCO,I,345,345-B,87,200,53,38,4,0,7,389,605
OTHON P. BLANCO,I,346,346-B,50,149,38,8,4,0,11,260,490
OTHON P. BLANCO,I,346,346-C,58,152,43,12,2,0,14,281,490
OTHON P. BLANCO,I,347,347-B,106,182,44,14,0,0,6,352,619
OTHON P. BLANCO,I,347,347-C,102,176,51,11,2,0,8,350,620
OTHON P. BLANCO,I,348,348-B,85,239,77,9,6,0,9,425,736
OTHON P. BLANCO,I,349,349-B,44,126,39,9,5,0,3,226,399
OTHON P. BLANCO,I,349,349-C,57,133,31,12,6,0,4,243,398
OTHON P. BLANCO,I,350,350-B,82,91,44,6,4,0,7,234,393
OTHON P. BLANCO,I,351,351-B,88,105,22,5,4,0,6,230,356
OTHON P. BLANCO,I,352,352-B,125,253,64,14,11,0,9,476,
OTHON P. BLANCO,I,353,353-B,77,133,35,6,0,0,7,258,428
OTHON P. BLANCO,I,353,353-C,62,117,41,9,1,0,12,242,428
OTHON P. BLANCO,I,354,354-B,67,162,29,14,1,0,7,280,445
OTHON P. BLANCO,I,354,354-C,58,154,31,16,2,0,7,268,445
OTHON P. BLANCO,I,369,369-B,94,160,31,16,12,0,4,317,513
OTHON P. BLANCO,I,370,370-B,66,252,69,13,2,0,7,409,654
OTHON P. BLANCO,I,371,371-B,93,197,51,22,16,0,16,395,663
OTHON P. BLANCO,I,371,371-C,92,195,45,21,5,0,11,369,664
OTHON P. BLANCO,I,372,372-B,77,166,23,7,3,0,6,282,476
OTHON P. BLANCO,I,372,372-ES,,,,,,,,,
OTHON P. BLANCO,I,373,373-B,1,10,3,1,0,0,1,16,41
OTHON P. BLANCO,I,381,381-B,63,171,32,10,3,0,6,285,515
OTHON P. BLANCO,I,382,382-B,70,168,29,17,5,0,13,302,473
OTHON P. BLANCO,I,382,382-C,51,177,38,12,6,1,7,292,468
