ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,19,52,7137,3693,850,247,779,345,300,3566,233,142,370,148,98,25,7,,,,181,,,,18121,16,879,19016,28856,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_1.PDF
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,8,45,9286,3193,470,166,641,315,228,4514,324,296,124,121,39,12,3,,,,,,,,19732,30,647,20409,29642,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_2.PDF
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,48,5377,4805,447,262,665,331,300,5176,249,426,79,183,93,23,5,,,,,,,,18421,0,965,19386,28545,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_3.PDF
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,23,57,5819,5346,963,928,519,272,380,5345,306,305,61,240,176,34,10,,,,,,491,,21195,408,742,22345,30794,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_4.PDF
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,21,55,5098,5603,484,303,607,308,311,6409,247,252,70,193,82,16,1,,,,,,,728,20712,17,824,21553,31220,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_5.PDF
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,32,62,6530,6222,678,277,702,365,735,5725,566,275,152,336,78,40,2,,,,,,,,22683,13,1131,23827,32466,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_6.PDF
4,CAMPECHE,7,TENABO,35,66,5150,7069,457,405,463,341,602,8350,292,474,62,238,97,43,19,,,,,,,,24062,11,934,25007,31655,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_7.PDF
4,CAMPECHE,8,CD DEL CARMEN,17,53,3369,3507,518,107,416,153,224,7439,196,273,40,123,49,29,2,,316,,,542,,,17303,24,768,18095,31518,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_8.PDF
4,CAMPECHE,9,CD DEL CARMEN,24,53,2785,5319,477,233,386,145,194,7491,275,292,40,226,67,33,25,1677,,,,,,,19665,8,780,20453,31316,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_9.PDF
4,CAMPECHE,10,CD DEL CARMEN,16,43,3869,2995,435,141,372,155,179,7926,218,272,35,133,38,10,1,,,531,,,,,17310,8,682,18000,28478,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_10.PDF
4,CAMPECHE,11,CD DEL CARMEN,30,54,2857,3498,629,243,690,387,221,9452,277,357,31,179,43,20,4,,,,,,,,18888,10,732,19630,31658,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_11.PDF
4,CAMPECHE,12,SABANCUY,29,54,2767,6301,290,242,1179,264,260,7284,194,152,25,204,83,32,5,,,,,,,,19282,2,1230,20514,31001,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_12.PDF
4,CAMPECHE,13,ESCARCEGA,28,57,2572,4585,523,283,1849,445,203,7985,408,57,53,269,89,15,2,,,,,,,,19338,9,1101,20448,31219,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_13.PDF
4,CAMPECHE,14,CANDELARIA,30,61,6752,6853,292,120,314,177,255,3818,88,29,105,258,120,36,4,,,,,,,,19221,0,1206,20427,30987,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_14.PDF
4,CAMPECHE,15,CHAMPOTON,27,57,3650,4787,1267,253,895,267,381,7891,839,150,54,204,96,13,5,,,,,,,,20752,9,1221,21982,32102,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_15.PDF
4,CAMPECHE,16,CHAMPOTON,29,60,2651,7624,1058,280,736,247,566,7357,383,111,26,297,102,31,3,,,,,,,,21472,5,1240,22717,32168,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_16.PDF
4,CAMPECHE,17,CALKINI,25,58,827,6958,1659,363,1330,2670,1523,7425,214,422,155,454,62,70,13,,,,,,,,24145,49,906,25100,31726,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_17.PDF
4,CAMPECHE,18,HOPELCHEN,32,54,4430,9691,472,285,866,257,241,2418,82,45,385,249,107,41,3,,,,,,,,19572,0,622,20194,26997,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_18.PDF
4,CAMPECHE,19,HECELCHAKAN,29,55,4761,5754,693,548,355,519,2429,5117,4284,97,60,160,34,62,10,,,,,,,,24883,651,816,26350,31034,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_19.PDF
4,CAMPECHE,20,PALIZADA,29,57,2171,6484,741,336,388,951,250,7453,203,182,112,412,141,43,6,,,,,,,,19873,1,1463,21337,31055,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_20.PDF
4,CAMPECHE,21,XPUJIL,26,54,2436,5888,637,174,1072,290,280,4077,215,2826,73,324,144,30,2,,,,,,,,18468,15,1361,19844,27619,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_21.PDF
