CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,1,COLIMA,,,0,M,10,17,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,,,,,JE2015L_06_01_0000_1_M_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,1,B,137,151,5,8,5,99,20,2,0,4,0,0,0,0,1,0,0,0,0,0,0,6,438,688,ACTA DE CASILLA,,,JE2015L_06_01_0001_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,1,C01,166,141,6,3,1,101,26,1,1,11,0,0,0,0,0,0,1,0,0,0,0,6,464,687,ACTA DE CASILLA,,,JE2015L_06_01_0001_1_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,1,C02,131,181,7,5,4,94,19,1,2,3,0,0,0,0,1,1,1,0,0,0,0,2,452,687,ACTA DE CASILLA,,,JE2015L_06_01_0001_2_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,1,C03,136,151,11,6,4,103,20,9,1,3,0,0,0,0,1,0,3,0,0,0,0,5,453,687,ACTA DE CASILLA,,,JE2015L_06_01_0001_3_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,1,C04,156,155,6,2,2,110,18,2,0,4,0,0,1,0,0,0,1,0,0,0,0,2,459,687,ACTA DE CASILLA,,,JE2015L_06_01_0001_4_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,1,C05,136,166,3,4,6,118,18,2,1,1,0,0,0,0,0,0,1,0,0,0,0,5,461,687,ACTA DE CASILLA,,,JE2015L_06_01_0001_5_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,1,C06,128,156,8,5,4,112,30,4,0,3,0,0,0,0,3,1,1,0,1,0,0,3,459,687,ACTA DE CASILLA,,,JE2015L_06_01_0001_6_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,2,B,79,96,1,1,4,60,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,254,392,ACTA DE CASILLA,,,JE2015L_06_01_0002_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,2,C01,75,86,2,3,5,56,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,243,392,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,3,B,123,85,6,1,9,53,14,6,1,2,1,0,1,0,5,0,1,0,0,0,0,7,315,529,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,3,C01,118,74,6,2,5,64,18,1,1,4,0,2,2,0,4,0,2,0,0,0,0,9,312,529,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,3,C02,127,109,7,0,4,43,15,2,0,3,0,0,0,0,2,1,2,0,0,0,0,11,326,529,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,4,B,177,148,3,5,2,91,36,5,0,10,1,1,0,0,0,0,1,0,0,0,0,4,484,679,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,5,B,135,111,10,8,3,66,8,4,0,2,2,0,0,0,0,0,0,0,0,0,0,6,355,547,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,6,B,102,140,3,4,2,92,11,1,0,3,0,0,1,0,0,0,2,0,0,0,0,3,364,572,ACTA DE CASILLA,,,JE2015L_06_01_0006_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,6,C01,134,115,2,2,3,81,13,1,1,5,1,0,0,0,1,0,0,0,0,0,0,2,361,571,ACTA DE CASILLA,,,JE2015L_06_01_0006_1_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,6,C02,151,129,2,4,1,84,11,2,0,8,0,2,1,0,0,0,0,0,0,0,1,5,401,571,RECUENTO(SRA),,,JE2015L_06_01_9_VR.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,7,B,87,64,0,2,3,50,21,2,1,6,0,1,0,0,0,0,1,0,0,0,1,4,243,395,ACTA DE CASILLA,,,JE2015L_06_01_0007_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,7,C01,99,89,5,0,2,38,8,0,2,2,0,3,0,0,0,1,2,0,0,0,0,4,255,395,ACTA DE CASILLA,,,JE2015L_06_01_0007_1_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,8,B,129,128,5,2,1,81,20,1,0,9,0,0,0,0,1,0,3,0,0,0,0,6,386,550,ACTA DE CASILLA,,,JE2015L_06_01_0008_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,8,C01,117,118,6,0,1,79,24,5,0,3,0,2,0,0,0,0,1,0,0,0,0,6,362,550,ACTA DE CASILLA,,,JE2015L_06_01_0008_1_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,9,B,82,107,2,1,1,76,13,2,0,5,0,2,1,0,2,0,1,0,0,0,1,3,299,447,ACTA DE CASILLA,,,JE2015L_06_01_0009_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,9,C01,99,104,5,2,3,60,14,3,1,2,0,0,0,0,0,0,2,0,0,0,0,7,302,446,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,10,B,117,120,19,2,9,52,8,4,1,2,0,1,0,1,3,2,2,0,0,0,2,9,354,584,ACTA DE CASILLA,,,JE2015L_06_01_0010_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,10,C01,127,89,11,2,6,68,8,4,2,5,0,2,1,0,3,1,1,0,0,0,1,7,338,584,RECUENTO(SRA),,,JE2015L_06_01_9_GPO1.pdf
5,6,COLIMA,1,COLIMA,1,COLIMA,11,B,122,145,5,5,2,72,14,1,2,7,0,0,1,0,2,1,1,0,0,0,2,7,389,584,ACTA DE CASILLA,,,JE2015L_06_01_0011_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,12,B,75,98,2,1,6,73,12,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,272,397,ACTA DE CASILLA,,,JE2015L_06_01_0012_1_B_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,12,C01,76,87,5,2,0,74,8,3,0,4,0,0,0,0,2,2,0,0,0,0,0,3,266,397,ACTA DE CASILLA,,,JE2015L_06_01_0012_1_C_0_2.jpg
5,6,COLIMA,1,COLIMA,1,COLIMA,13,B,156,151,7,2,4,114,25,3,1,5,0,0,0,0,2,0,0,0,0,0,1,4,475,712,ACTA DE CASILLA,,,JE2015L_06_01_0013_1_B_0_2.jpg
