ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,1,COLIMA,212,494,63783,51449,3116,1710,2939,23604,5633,1056,287,1679,157,359,98,9,803,228,310,8,21,9,54,2777,160089,265425,0.6031
6,COLIMA,2,MANZANILLO,158,409,47774,39751,2055,7083,2065,10161,3949,1262,991,1110,149,255,57,13,1348,132,172,17,24,14,36,2829,121247,233106,0.5201
