id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,Nulos,No Registrados,PAN,PRI,PRD-PT-PC,PVEM,PANAL,PAS,PRI-PVEM,Total
23,3/2/2008,12,Ayuntamientos,23,0,1,B,Basica,0,1,OTHON P BLANCO,365,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,398,22,0,97,52,52,2,36,0,0,261
23,3/2/2008,12,Ayuntamientos,23,0,1,C,Contigua,0,1,OTHON P BLANCO,651,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,405,20,0,79,177,43,16,67,3,0,405
23,3/2/2008,12,Ayuntamientos,23,0,1,C,Contigua,0,1,OTHON P BLANCO,443,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,406,9,0,54,123,10,5,55,2,0,258
23,3/2/2008,12,Ayuntamientos,23,0,1,B,Basica,0,2,FELIPE CARRILLO PUERTO,487,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,224,7,0,38,0,41,0,17,0,191,294
23,3/2/2008,12,Ayuntamientos,23,0,1,B,Basica,0,2,FELIPE CARRILLO PUERTO,639,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,226,17,0,41,0,54,0,27,0,261,400
23,3/2/2008,12,Ayuntamientos,23,0,1,E,Extraordinaria,1,2,FELIPE CARRILLO PUERTO,362,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,230,10,0,6,0,108,0,1,0,166,291
23,3/2/2008,12,Ayuntamientos,23,0,1,B,Basica,0,2,FELIPE CARRILLO PUERTO,571,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,231,10,0,26,0,126,0,3,0,204,369
23,3/2/2008,12,Ayuntamientos,23,0,3,E,Extraordinaria,3,2,FELIPE CARRILLO PUERTO,387,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,234,2,0,32,0,143,0,7,0,140,324
23,3/2/2008,12,Ayuntamientos,23,0,1,E,Extraordinaria,1,2,FELIPE CARRILLO PUERTO,518,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,237,4,0,89,0,94,0,10,0,133,330
23,3/2/2008,12,Ayuntamientos,23,0,1,C,Contigua,0,2,FELIPE CARRILLO PUERTO,550,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,242,5,0,31,0,85,0,15,0,219,355
23,3/2/2008,12,Ayuntamientos,23,0,1,B,Basica,0,2,FELIPE CARRILLO PUERTO,373,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,250,11,0,36,0,98,0,10,0,138,293
23,3/2/2008,12,Ayuntamientos,23,0,1,E,Extraordinaria,1,2,FELIPE CARRILLO PUERTO,573,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,251,19,0,76,0,146,0,5,0,108,354
23,3/2/2008,12,Ayuntamientos,23,0,2,E,Extraordinaria,2,2,FELIPE CARRILLO PUERTO,411,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,251,5,0,26,0,143,0,8,0,110,292
23,3/2/2008,12,Ayuntamientos,23,0,1,B,Basica,0,3,JOSE MARIA MORELOS,583,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,262,17,0,105,271,25,14,10,2,0,444
23,3/2/2008,12,Ayuntamientos,23,0,37,C,Contigua,0,6,BENITO JUAREZ,749,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,9,0,20,0,135,0,10,0,93,267
23,3/2/2008,12,Ayuntamientos,23,0,44,C,Contigua,0,6,BENITO JUAREZ,749,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,4,0,18,0,103,0,8,2,65,200
23,3/2/2008,12,Ayuntamientos,23,0,45,C,Contigua,0,6,BENITO JUAREZ,749,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,11,0,28,0,114,0,12,1,92,258
23,3/2/2008,12,Ayuntamientos,23,0,55,C,Contigua,0,6,BENITO JUAREZ,749,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,11,0,9,0,132,0,12,1,99,264
23,3/2/2008,12,Ayuntamientos,23,0,1,C,Contigua,0,6,BENITO JUAREZ,623,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,24,7,0,23,0,108,0,12,2,110,262
23,3/2/2008,12,Ayuntamientos,23,0,1,B,Basica,0,6,BENITO JUAREZ,527,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,43,6,0,14,0,83,0,14,2,90,209
23,3/2/2008,12,Ayuntamientos,23,0,1,C,Contigua,0,6,BENITO JUAREZ,528,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,43,6,0,20,0,85,0,14,2,84,211
