CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD,C_COMUN_PRI_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,Sonora,18,SANTA ANA,1,ACONCHI,1,B,1,0,B,111,221,1,0,4,2,4,26,0,,6,7,3,2,0,1,1,0,0,,,,,,,,,,,,,,,,389,0,7,396,542,Grupo de Recuento,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,1,C,1,0,C01,152,173,1,1,1,5,2,29,0,,6,2,5,0,0,0,2,0,0,,,,,,,,,,,,,,,,379,0,7,386,541,Acta Casilla,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,1,C,2,0,C02,134,181,3,0,4,3,6,40,0,,6,5,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,383,0,8,391,541,Acta Casilla,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,2,B,1,0,B,171,101,0,1,2,6,1,5,2,,6,3,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,300,0,6,306,404,Acta Casilla,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,2,C,1,0,C01,171,80,1,0,0,6,1,13,0,,6,1,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,282,0,15,297,403,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,3,B,1,0,B,110,0,2,0,11,3,0,72,8,0,2,,,,,1,0,0,1,,89,2,,,,,,,,,,,,,301,0,22,323,660,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,3,C,1,0,C01,105,0,0,0,1,0,0,93,0,0,0,,,,,0,0,0,0,,118,0,,,,,,,,,,,,,317,0,8,325,659,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,4,B,1,0,B,48,0,1,0,9,0,0,48,1,1,2,,,,,2,1,0,4,,49,1,,,,,,,,,,,,,167,0,8,175,356,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,5,B,1,0,B,100,0,1,0,12,3,0,73,9,4,0,,,,,2,1,0,1,,84,3,,,,,,,,,,,,,293,0,4,297,621,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,6,B,1,0,B,73,0,1,0,11,4,0,106,5,3,0,,,,,0,0,0,0,,82,8,,,,,,,,,,,,,293,0,15,308,635,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,6,C,1,0,C01,85,0,2,0,14,3,0,77,8,1,7,,,,,3,2,0,0,,96,6,,,,,,,,,,,,,304,0,4,308,634,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,7,B,1,0,B,78,0,0,0,17,4,0,106,3,1,1,,,,,4,0,1,1,,75,6,,,,,,,,,,,,,297,0,17,314,701,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,7,C,1,0,C01,92,0,1,0,16,2,0,121,5,5,1,,,,,3,0,0,1,,81,3,,,,,,,,,,,,,331,0,3,334,701,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,B,1,0,B,89,0,1,0,18,2,0,121,6,3,1,,,,,3,2,1,1,,70,5,,,,,,,,,,,,,323,1,7,331,659,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,C,1,0,C01,84,0,4,0,13,1,0,105,4,7,3,,,,,5,3,0,0,,85,7,,,,,,,,,,,,,321,1,10,332,659,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,C,2,0,C02,85,0,5,0,20,1,0,127,2,2,0,,,,,2,2,0,2,,75,7,,,,,,,,,,,,,330,0,12,342,659,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,C,3,0,C03,71,0,1,0,20,0,0,122,4,3,1,,,,,2,3,0,0,,92,5,,,,,,,,,,,,,324,0,9,333,658,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,9,B,1,0,B,70,0,3,0,17,0,0,134,6,4,3,,,,,4,2,1,2,,90,7,,,,,,,,,,,,,343,0,8,351,658,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,9,C,1,0,C01,69,0,1,0,12,0,0,94,5,4,1,,,,,1,2,0,2,,79,9,,,,,,,,,,,,,279,0,7,286,658,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,9,C,2,0,C02,65,0,2,0,18,5,0,103,4,0,2,,,,,3,2,1,2,,92,0,,,,,,,,,,,,,299,5,12,316,658,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,9,C,3,0,C03,77,0,1,0,18,1,0,105,3,2,0,,,,,4,2,0,1,,101,7,,,,,,,,,,,,,322,0,7,329,657,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,B,1,0,B,73,0,3,0,19,3,0,104,8,1,2,,,,,4,2,0,1,,66,12,,,,,,,,,,,,,298,0,11,309,617,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,C,1,0,C01,56,0,2,0,18,4,0,107,4,10,2,,,,,3,1,0,0,,98,8,,,,,,,,,,,,,313,0,8,321,617,Acta Casilla,,,
