ESTADO,DISTRITO,MUNICIPIO,SECCION,TIPO,LISTA NOM.,PAN,PRI,PRD,PT,PVEM,NO REGISTRADOS,NULOS,TOTAL
16,2,1,1,1,852,0,0,0,0,0,0,0,0
16,2,1,1,2,0,0,0,0,0,0,0,0,0
16,2,1,2,2,0,0,0,0,0,0,0,0,0
16,2,1,2,1,883,107,76,36,5,3,0,4,231
16,2,1,3,1,853,0,0,0,0,0,0,0,0
16,2,1,3,2,0,0,0,0,0,0,0,0,0
16,2,1,4,1,831,0,0,0,0,0,0,0,0
16,2,1,4,2,0,0,0,0,0,0,0,0,0
16,2,1,5,1,607,0,0,0,0,0,0,0,0
16,2,1,6,1,305,0,0,0,0,0,0,0,0
16,2,1,7,1,502,0,0,0,0,0,0,0,0
16,2,1,8,1,293,0,0,0,0,0,0,0,0
16,2,1,9,1,185,0,0,0,0,0,0,0,0
16,2,1,10,1,683,0,0,0,0,0,0,0,0
16,16,2,11,2,0,11,129,141,3,0,0,11,295
16,16,2,11,1,1648,10,138,141,3,3,0,19,314
16,16,2,11,2,0,9,178,130,0,0,0,7,324
16,16,2,12,1,807,8,132,241,5,0,0,12,398
16,16,2,12,4,0,3,43,18,0,0,0,2,66
16,16,2,13,2,0,6,147,177,0,1,0,14,345
16,16,2,13,2,0,2,170,163,1,0,0,0,336
16,16,2,13,1,1932,4,167,170,3,0,0,0,344
16,16,2,14,1,1224,185,138,79,5,0,0,2,409
16,16,2,14,2,0,18,137,167,0,0,0,0,322
16,16,2,15,1,477,8,114,145,2,0,0,12,281
16,16,2,16,4,0,0,20,41,7,0,0,3,71
16,16,2,16,2,0,3,108,97,1,0,0,0,209
16,16,2,16,2,0,3,126,94,2,0,0,0,225
16,16,2,16,1,1887,3,105,76,3,1,2,1,191
16,16,2,17,1,613,0,0,0,0,0,0,0,0
16,16,2,17,4,0,0,0,0,0,0,0,0,0
16,16,2,18,4,0,10,12,37,1,0,0,6,66
16,16,2,18,2,0,6,37,125,0,0,0,6,174
16,16,2,18,1,853,8,38,129,2,1,0,4,182
16,16,2,19,1,651,0,0,0,0,0,0,0,0
16,16,2,20,1,382,2,64,80,5,0,0,2,153
16,16,2,21,1,86,1,40,14,1,0,0,0,56
